datetime,date,slot,hour,minute,state,charge_mw,discharge_mw,net_power_mw,soc_mwh,charge_energy_mwh,discharge_energy_mwh,pred_price,actual_price,slot_revenue
2026-01-27 00:00:00,2026-01-27,0,0,0,待机,0.0,0.0,0.0,0.0,0.0,0.0,671.66,360.0,0.0
2026-01-27 00:15:00,2026-01-27,1,0,15,待机,0.0,0.0,0.0,0.0,0.0,0.0,671.66,510.0,0.0
2026-01-27 00:30:00,2026-01-27,2,0,30,待机,0.0,0.0,0.0,0.0,0.0,0.0,671.66,610.0,0.0
2026-01-27 00:45:00,2026-01-27,3,0,45,待机,0.0,0.0,0.0,0.0,0.0,0.0,671.66,460.0,0.0
2026-01-27 01:00:00,2026-01-27,4,1,0,待机,0.0,-0.0,-0.0,0.0,0.0,-0.0,641.38,360.0,-0.0
2026-01-27 01:15:00,2026-01-27,5,1,15,待机,0.0,0.0,0.0,-0.0,0.0,0.0,641.38,460.0,0.0
2026-01-27 01:30:00,2026-01-27,6,1,30,待机,0.0,0.0,0.0,-0.0,0.0,0.0,641.38,350.0,0.0
2026-01-27 01:45:00,2026-01-27,7,1,45,待机,0.0,-0.0,-0.0,-0.0,0.0,-0.0,641.38,360.0,-0.0
2026-01-27 02:00:00,2026-01-27,8,2,0,待机,0.0,0.0,0.0,-0.0,0.0,0.0,611.21,400.0,0.0
2026-01-27 02:15:00,2026-01-27,9,2,15,待机,0.0,0.0,0.0,-0.0,0.0,0.0,611.21,400.0,0.0
2026-01-27 02:30:00,2026-01-27,10,2,30,待机,0.0,0.0,0.0,-0.0,0.0,0.0,611.21,400.0,0.0
2026-01-27 02:45:00,2026-01-27,11,2,45,待机,0.0,0.0,0.0,-0.0,0.0,0.0,611.21,370.0,0.0
2026-01-27 03:00:00,2026-01-27,12,3,0,待机,0.0,0.0,0.0,-0.0,0.0,0.0,614.01,400.0,0.0
2026-01-27 03:15:00,2026-01-27,13,3,15,待机,0.0,0.0,0.0,-0.0,0.0,0.0,614.01,400.0,0.0
2026-01-27 03:30:00,2026-01-27,14,3,30,待机,0.0,0.0,0.0,0.0,0.0,0.0,614.01,350.0,0.0
2026-01-27 03:45:00,2026-01-27,15,3,45,待机,0.0,0.0,0.0,0.0,0.0,0.0,614.01,350.0,0.0
2026-01-27 04:00:00,2026-01-27,16,4,0,充电,65.0,0.0,-65.0,15.5,16.25,0.0,574.72,350.0,-5687.5
2026-01-27 04:15:00,2026-01-27,17,4,15,充电,130.0,0.0,-130.0,46.5,32.5,0.0,574.72,350.0,-11375.0
2026-01-27 04:30:00,2026-01-27,18,4,30,充电,130.0,0.0,-130.0,77.51,32.5,0.0,574.72,350.0,-11375.0
2026-01-27 04:45:00,2026-01-27,19,4,45,充电,65.0,0.0,-65.0,93.01,16.25,0.0,574.72,350.0,-5687.5
2026-01-27 05:00:00,2026-01-27,20,5,0,待机,0.0,0.0,0.0,93.01,0.0,0.0,613.5,350.0,0.0
2026-01-27 05:15:00,2026-01-27,21,5,15,待机,0.0,0.0,0.0,93.01,0.0,0.0,613.5,350.0,0.0
2026-01-27 05:30:00,2026-01-27,22,5,30,待机,0.0,0.0,0.0,93.01,0.0,0.0,613.5,360.0,0.0
2026-01-27 05:45:00,2026-01-27,23,5,45,待机,0.0,0.0,0.0,93.01,0.0,0.0,613.5,380.0,0.0
2026-01-27 06:00:00,2026-01-27,24,6,0,放电,0.0,65.0,65.0,75.97,0.0,16.25,640.18,400.0,6500.0
2026-01-27 06:15:00,2026-01-27,25,6,15,放电,0.0,130.0,130.0,41.91,0.0,32.5,640.18,390.0,12675.0
2026-01-27 06:30:00,2026-01-27,26,6,30,放电,0.0,94.9,94.9,17.03,0.0,23.725,640.18,400.0,9490.0
2026-01-27 06:45:00,2026-01-27,27,6,45,放电,0.0,65.0,65.0,-0.0,0.0,16.25,640.18,400.0,6500.0
2026-01-27 07:00:00,2026-01-27,28,7,0,待机,0.0,0.0,0.0,-0.0,0.0,0.0,617.36,350.0,0.0
2026-01-27 07:15:00,2026-01-27,29,7,15,待机,0.0,0.0,0.0,-0.0,0.0,0.0,617.36,400.0,0.0
2026-01-27 07:30:00,2026-01-27,30,7,30,待机,0.0,0.0,0.0,-0.0,0.0,0.0,617.36,400.0,0.0
2026-01-27 07:45:00,2026-01-27,31,7,45,待机,0.0,0.0,0.0,0.0,0.0,0.0,617.36,430.0,0.0
2026-01-27 08:00:00,2026-01-27,32,8,0,待机,0.0,0.0,0.0,-0.0,0.0,0.0,487.33,450.0,0.0
2026-01-27 08:15:00,2026-01-27,33,8,15,待机,0.0,-0.0,-0.0,0.0,0.0,-0.0,487.33,400.0,-0.0
2026-01-27 08:30:00,2026-01-27,34,8,30,待机,0.0,-0.0,-0.0,0.0,0.0,-0.0,487.33,400.0,-0.0
2026-01-27 08:45:00,2026-01-27,35,8,45,待机,0.0,-0.0,-0.0,0.0,0.0,-0.0,487.33,320.0,-0.0
2026-01-27 09:00:00,2026-01-27,36,9,0,待机,0.0,0.0,0.0,-0.0,0.0,0.0,439.02,265.06,0.0
2026-01-27 09:15:00,2026-01-27,37,9,15,待机,-0.0,0.0,0.0,0.0,-0.0,0.0,439.02,439.51,0.0
2026-01-27 09:30:00,2026-01-27,38,9,30,待机,0.0,0.0,0.0,0.0,0.0,0.0,439.02,350.0,0.0
2026-01-27 09:45:00,2026-01-27,39,9,45,充电,65.0,0.0,-65.0,15.5,16.25,0.0,439.02,205.56,-3340.35
2026-01-27 10:00:00,2026-01-27,40,10,0,充电,130.0,0.0,-130.0,46.5,32.5,0.0,361.8,236.11,-7673.58
2026-01-27 10:15:00,2026-01-27,41,10,15,充电,195.0,0.0,-195.0,93.01,48.75,0.0,361.8,316.88,-15447.9
2026-01-27 10:30:00,2026-01-27,42,10,30,充电,195.0,0.0,-195.0,139.51,48.75,0.0,361.8,322.97,-15744.79
2026-01-27 10:45:00,2026-01-27,43,10,45,充电,195.0,0.0,-195.0,186.02,48.75,0.0,361.8,322.97,-15744.79
2026-01-27 11:00:00,2026-01-27,44,11,0,充电,195.0,0.0,-195.0,232.52,48.75,0.0,382.37,615.0,-29981.25
2026-01-27 11:15:00,2026-01-27,45,11,15,充电,195.0,0.0,-195.0,279.03,48.75,0.0,382.37,655.0,-31931.25
2026-01-27 11:30:00,2026-01-27,46,11,30,充电,195.0,0.0,-195.0,325.53,48.75,0.0,382.37,355.35,-17323.31
2026-01-27 11:45:00,2026-01-27,47,11,45,充电,195.0,0.0,-195.0,372.04,48.75,0.0,382.37,585.0,-28518.75
2026-01-27 12:00:00,2026-01-27,48,12,0,充电,195.0,0.0,-195.0,418.54,48.75,0.0,379.41,320.0,-15600.0
2026-01-27 12:15:00,2026-01-27,49,12,15,充电,195.0,0.0,-195.0,465.05,48.75,0.0,379.41,300.0,-14625.0
2026-01-27 12:30:00,2026-01-27,50,12,30,充电,195.0,0.0,-195.0,511.55,48.75,0.0,379.41,336.95,-16426.31
2026-01-27 12:45:00,2026-01-27,51,12,45,充电,195.0,0.0,-195.0,558.05,48.75,0.0,379.41,339.9,-16570.12
2026-01-27 13:00:00,2026-01-27,52,13,0,充电,195.0,0.0,-195.0,604.56,48.75,0.0,365.97,280.0,-13650.0
2026-01-27 13:15:00,2026-01-27,53,13,15,充电,195.0,0.0,-195.0,651.06,48.75,0.0,365.97,287.16,-13999.05
2026-01-27 13:30:00,2026-01-27,54,13,30,充电,195.0,0.0,-195.0,697.57,48.75,0.0,365.97,290.0,-14137.5
2026-01-27 13:45:00,2026-01-27,55,13,45,充电,195.0,0.0,-195.0,744.07,48.75,0.0,365.97,270.28,-13176.15
2026-01-27 14:00:00,2026-01-27,56,14,0,充电,130.0,0.0,-130.0,775.08,32.5,0.0,409.85,220.0,-7150.0
2026-01-27 14:15:00,2026-01-27,57,14,15,充电,65.0,0.0,-65.0,790.58,16.25,0.0,409.85,302.46,-4914.97
2026-01-27 14:30:00,2026-01-27,58,14,30,待机,0.0,0.0,0.0,790.58,0.0,0.0,409.85,280.0,0.0
2026-01-27 14:45:00,2026-01-27,59,14,45,待机,0.0,0.0,0.0,790.58,0.0,0.0,409.85,270.28,0.0
2026-01-27 15:00:00,2026-01-27,60,15,0,充电,39.511,0.0,-39.511,800.0,9.8779,0.0,407.61,240.0,-2370.69
2026-01-27 15:15:00,2026-01-27,61,15,15,待机,-0.0,0.0,0.0,800.0,-0.0,0.0,407.61,240.94,0.0
2026-01-27 15:30:00,2026-01-27,62,15,30,待机,0.0,0.0,0.0,800.0,0.0,0.0,407.61,279.99,0.0
2026-01-27 15:45:00,2026-01-27,63,15,45,放电,0.0,65.0,65.0,782.97,0.0,16.25,407.61,320.0,5200.0
2026-01-27 16:00:00,2026-01-27,64,16,0,放电,0.0,130.0,130.0,748.9,0.0,32.5,601.46,352.88,11468.6
2026-01-27 16:15:00,2026-01-27,65,16,15,放电,0.0,195.0,195.0,697.79,0.0,48.75,601.46,500.0,24375.0
2026-01-27 16:30:00,2026-01-27,66,16,30,放电,0.0,195.0,195.0,646.69,0.0,48.75,601.46,1025.0,49968.75
2026-01-27 16:45:00,2026-01-27,67,16,45,放电,0.0,195.0,195.0,595.58,0.0,48.75,601.46,1025.0,49968.75
2026-01-27 17:00:00,2026-01-27,68,17,0,放电,0.0,195.0,195.0,544.48,0.0,48.75,746.45,1025.0,49968.75
2026-01-27 17:15:00,2026-01-27,69,17,15,放电,0.0,195.0,195.0,493.38,0.0,48.75,746.45,500.0,24375.0
2026-01-27 17:30:00,2026-01-27,70,17,30,放电,0.0,195.0,195.0,442.27,0.0,48.75,746.45,1020.0,49725.0
2026-01-27 17:45:00,2026-01-27,71,17,45,放电,0.0,195.0,195.0,391.17,0.0,48.75,746.45,400.0,19500.0
2026-01-27 18:00:00,2026-01-27,72,18,0,放电,0.0,195.0,195.0,340.07,0.0,48.75,600.52,500.0,24375.0
