date,strat_equivalent_cycles,strat_gross_yuan,strat_aux_cost_yuan,strat_net_yuan,strat_revenue_per_cycle,strat_charge_cost,strat_discharge_revenue,actual_equivalent_cycles,actual_gross_yuan,actual_aux_cost_yuan,actual_net_yuan,actual_revenue_per_cycle,actual_charge_cost,actual_discharge_revenue
2026-01-27,1.1758,277440.0,6146.0,271294.0,230731.0,364626.0,642066.0,0.7083,38810.0,7925.0,30885.0,43604.0,251207.0,290017.0
2026-01-28,0.4111,-443873.0,9777.0,-453650.0,-1103503.0,697700.0,253827.0,0.8976,62684.0,10844.0,51840.0,57754.0,413834.0,476518.0
2026-01-29,1.0352,32040.0,9796.0,22243.0,21487.0,629766.0,661806.0,0.7854,-246649.0,12717.0,-259366.0,-330234.0,556186.0,309537.0
2026-01-30,1.6849,347891.0,5429.0,342462.0,203254.0,233442.0,581333.0,0.794,17344.0,7655.0,9689.0,12203.0,198507.0,215851.0
2026-01-31,0.6094,122257.0,2370.0,119887.0,196730.0,37318.0,159575.0,1.0086,148772.0,3056.0,145717.0,144475.0,45116.0,193888.0
2026-02-01,1.7052,526990.0,2214.0,524776.0,307750.0,-42744.0,484246.0,1.0359,241952.0,4922.0,237031.0,228816.0,-5673.0,236279.0
2026-02-02,1.365,66461.0,2432.0,64028.0,46907.0,169271.0,235732.0,1.23,-81527.0,2201.0,-83728.0,-68072.0,234665.0,153138.0
2026-02-03,0.7516,-10287.0,883.0,-11170.0,-14862.0,35107.0,24819.0,1.076,53832.0,652.0,53180.0,49424.0,2627.0,56459.0
2026-02-04,1.6948,179955.0,332.0,179623.0,105985.0,-60000.0,119955.0,1.1742,-1751.0,20.0,-1771.0,-1508.0,20199.0,18448.0
2026-02-05,1.2376,579414.0,4539.0,574875.0,464508.0,-33788.0,545626.0,1.2931,426858.0,5383.0,421475.0,325942.0,115634.0,542492.0
2026-02-06,1.365,-96148.0,3964.0,-100112.0,-73342.0,377779.0,281632.0,0.3761,-65654.0,8341.0,-73995.0,-196743.0,92255.0,26601.0
2026-02-07,1.1942,276052.0,1088.0,274963.0,230249.0,-32344.0,243708.0,0.8018,245811.0,1251.0,244560.0,305014.0,-35926.0,209885.0
2026-02-08,1.1977,76644.0,927.0,75717.0,63219.0,7322.0,83965.0,0.7231,58819.0,847.0,57972.0,80171.0,8291.0,67110.0
2026-02-09,0.5784,-35222.0,-112.0,-35110.0,-60702.0,43350.0,8128.0,0.9079,-15952.0,-238.0,-15714.0,-17308.0,-6361.0,-22313.0
2026-02-10,2.2406,499948.0,2324.0,497623.0,222094.0,11369.0,511316.0,1.1544,283054.0,2338.0,280716.0,243170.0,6642.0,289696.0
2026-02-11,0.4111,11426.0,309.0,11118.0,27045.0,-9735.0,1691.0,0.8276,113614.0,-476.0,114090.0,137856.0,-12529.0,101085.0
2026-02-12,1.9079,283365.0,1399.0,281967.0,147789.0,-41931.0,241434.0,1.5077,190473.0,306.0,190167.0,126131.0,18914.0,209387.0
2026-02-13,1.365,93540.0,141.0,93399.0,68424.0,-43603.0,49937.0,0.497,24866.0,-196.0,25063.0,50429.0,40.0,24906.0
2026-02-14,0.4111,60514.0,-550.0,61064.0,148538.0,-59613.0,901.0,1.2862,-5261.0,-237.0,-5024.0,-3906.0,-43559.0,-48820.0
2026-02-15,1.9079,491663.0,2070.0,489593.0,256614.0,-41931.0,449732.0,1.6811,354103.0,823.0,353281.0,210149.0,23537.0,377640.0
2026-02-16,1.3196,215261.0,2544.0,212717.0,161198.0,94167.0,309428.0,0.9121,220391.0,4231.0,216160.0,236992.0,-15404.0,204987.0
2026-02-17,1.0758,4256.0,-117.0,4373.0,4065.0,-47289.0,-43033.0,0.4664,25990.0,-166.0,26156.0,56081.0,-26403.0,-413.0
2026-02-18,0.8318,34041.0,-591.0,34631.0,41634.0,-60000.0,-25959.0,0.999,17428.0,-676.0,18104.0,18122.0,-47058.0,-29630.0
2026-02-19,0.9443,22094.0,-652.0,22746.0,24088.0,-60000.0,-37906.0,0.0008,-32.0,-1180.0,1148.0,1435000.0,0.0,-32.0
2026-02-20,2.0102,-21791.0,-652.0,-21140.0,-10516.0,-58616.0,-80408.0,0.0,0.0,-1107.0,1107.0,,0.0,0.0
2026-02-21,0.6883,-8047.0,278.0,-8325.0,-12095.0,20046.0,11998.0,0.0,0.0,1311.0,-1311.0,,0.0,0.0
2026-02-22,1.9151,138411.0,197.0,138214.0,72171.0,-42250.0,96161.0,2.1295,119307.0,-363.0,119671.0,56197.0,-53576.0,65731.0
2026-02-23,1.1368,253679.0,1391.0,252287.0,221927.0,-35017.0,218661.0,0.7842,144025.0,3354.0,140671.0,179382.0,-15354.0,128671.0
2026-02-24,0.4111,58281.0,374.0,57907.0,140859.0,-60000.0,-1719.0,0.7572,86362.0,-72.0,86434.0,114149.0,23109.0,109471.0
2026-02-25,1.7916,117693.0,860.0,116833.0,65212.0,16499.0,134192.0,0.3973,77086.0,638.0,76448.0,192419.0,-7084.0,70002.0
2026-02-26,1.4813,67468.0,3087.0,64381.0,43462.0,147362.0,214830.0,1.6882,52056.0,2937.0,49118.0,29095.0,204004.0,256060.0
2026-02-27,1.365,109596.0,2965.0,106631.0,78118.0,201298.0,310893.0,0.9801,-238725.0,3311.0,-242036.0,-246950.0,350648.0,111923.0
2026-02-28,1.365,123896.0,2835.0,121061.0,88689.0,165121.0,289017.0,1.022,-28582.0,2129.0,-30711.0,-30050.0,226480.0,197898.0
2026-03-01,1.365,-297545.0,5358.0,-302903.0,-221907.0,632211.0,334666.0,0.9042,12067.0,3390.0,8677.0,9596.0,259979.0,272046.0
2026-03-02,0.4111,36702.0,260.0,36442.0,88645.0,-34740.0,1962.0,0.6778,55687.0,-86.0,55773.0,82285.0,2700.0,58387.0
