date,week,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end_mwh,avg_charge_price,avg_discharge_price,gross_yuan,aux_cost_yuan,net_yuan,pf_net_yuan,realization_pct
2026-01-27,2026-W05,04:00–21:00,06:00–22:45,1033.63,940.6,0.0,352.76,682.61,277440.0,6146.0,271294.0,475018.0,57.1
2026-01-28,2026-W05,08:45–24:00,10:45–23:00,1200.0,328.85,800.0,581.42,771.86,-443873.0,9777.0,-453650.0,598879.0,-75.7
2026-01-29,2026-W05,09:00–24:00,08:00–17:00,656.43,828.15,558.1,959.38,799.14,32040.0,9796.0,22243.0,666540.0,3.3
2026-01-30,2026-W05,01:45–20:00,03:45–24:00,896.25,1347.94,0.0,260.47,431.28,347891.0,5429.0,342462.0,57067.0,600.1
2026-01-31,2026-W05,11:30–21:45,16:45–23:00,1179.88,487.5,614.5,31.63,327.33,122257.0,2370.0,119887.0,496746.0,24.1
2026-02-01,2026-W05,09:00–17:00,00:00–24:00,854.88,1364.13,0.0,-50.0,354.99,526990.0,2214.0,524776.0,402819.0,130.3
2026-02-02,2026-W06,00:00–23:00,01:15–24:00,1200.0,1092.0,0.0,141.06,215.87,66461.0,2432.0,64028.0,228478.0,28.0
2026-02-03,2026-W06,00:00–23:00,01:15–20:00,1200.0,601.25,514.4,29.26,41.28,-10287.0,883.0,-11170.0,300875.0,-3.7
2026-02-04,2026-W06,05:45–17:15,00:00–24:00,1200.0,1355.85,237.9,-50.0,88.47,179955.0,332.0,179623.0,163337.0,110.0
2026-02-05,2026-W06,11:15–16:15,00:00–22:15,838.63,990.05,0.0,-40.29,551.11,579414.0,4539.0,574875.0,647996.0,88.7
2026-02-06,2026-W06,00:00–16:30,01:30–20:30,1200.0,1092.0,-0.0,314.82,257.9,-96148.0,3964.0,-100112.0,124580.0,-80.4
2026-02-07,2026-W06,04:00–16:00,05:15–21:30,1049.88,955.39,0.0,-30.81,255.09,276052.0,1088.0,274963.0,376042.0,73.1
2026-02-08,2026-W06,01:00–24:00,04:00–21:15,1200.0,958.15,140.3,6.1,87.63,76644.0,927.0,75717.0,133576.0,56.7
2026-02-09,2026-W07,03:30–24:00,06:45–23:00,1200.0,462.7,800.0,36.12,17.57,-35222.0,-112.0,-35110.0,185945.0,-18.9
2026-02-10,2026-W07,02:45–15:00,00:00–21:15,1131.13,1792.48,-0.0,10.05,285.26,499948.0,2324.0,497623.0,550067.0,90.5
2026-02-11,2026-W07,10:00–22:00,17:00–19:15,1200.0,328.85,800.0,-8.11,5.14,11426.0,309.0,11118.0,238868.0,4.7
2026-02-12,2026-W07,09:45–15:00,00:00–23:00,838.63,1526.3,0.0,-50.0,158.18,283365.0,1399.0,281967.0,275406.0,102.4
2026-02-13,2026-W07,00:00–20:30,01:15–23:30,1200.0,1092.0,-0.0,-36.34,45.73,93540.0,141.0,93399.0,193813.0,48.2
2026-02-14,2026-W07,01:45–19:00,05:00–07:15,1200.0,328.85,800.0,-49.68,2.74,60514.0,-550.0,61064.0,70252.0,86.9
2026-02-15,2026-W07,10:00–16:15,03:30–24:00,838.63,1526.3,0.0,-50.0,294.65,491663.0,2070.0,489593.0,539198.0,90.8
2026-02-16,2026-W08,00:00–15:00,02:15–23:15,1160.06,1055.65,0.0,81.17,293.12,215261.0,2544.0,212717.0,282953.0,75.2
2026-02-17,2026-W08,09:00–16:30,13:15–23:00,945.77,860.65,-0.0,-50.0,-50.0,4256.0,-117.0,4373.0,50689.0,8.6
2026-02-18,2026-W08,00:00–24:00,02:00–17:15,1200.0,665.44,447.2,-50.0,-39.01,34041.0,-591.0,34631.0,27996.0,123.7
2026-02-19,2026-W08,00:00–23:15,04:30–20:00,1200.0,755.41,800.0,-50.0,-50.18,22094.0,-652.0,22746.0,6306.0,360.7
2026-02-20,2026-W08,04:30–24:00,01:30–22:00,1172.32,1608.15,232.5,-50.0,-50.0,-21791.0,-652.0,-21140.0,6051.0,-349.4
2026-02-21,2026-W08,01:00–22:00,03:00–19:45,1200.0,550.66,800.0,16.7,21.79,-8047.0,278.0,-8325.0,211792.0,-3.9
2026-02-22,2026-W08,10:00–16:30,02:00–23:15,845.0,1532.1,0.0,-50.0,62.76,138411.0,197.0,138214.0,216056.0,64.0
2026-02-23,2026-W09,05:15–16:00,07:00–22:30,999.34,909.4,0.0,-35.04,240.45,253679.0,1391.0,252287.0,347143.0,72.7
