date,week,charge_mwh,discharge_mwh,gross_yuan,aux_cost_yuan,net_yuan,avg_charge_price,avg_discharge_price,opt_charge_4h_cont_price,opt_discharge_4h_cont_price,opt_charge_nc_price,opt_discharge_nc_price,chg_slots,dis_slots,m11_unit_power_rev_yuan_mw,m12_energy_rev_yuan_mwh,m13_net_energy_rev_yuan_mwh,m21_spread_utilization_pct,m22_discharge_capture_pct,m23_charge_capture_pct,m24_avg_spread_yuan_mwh,m25_rte_breakeven_yuan_mwh,m26_top_dis_capture_pct,m27_bot_chg_capture_pct
2026-01-27,2026-W05,1033.63,940.6,277440.0,6146.0,271294.0,352.76,682.61,286.12,711.12,290.27,805.71,28,26,1422.77,140.53,137.42,77.6,84.4,40.6,329.85,61.44,43.6,32.4
2026-01-28,2026-W05,1200.0,328.85,-443873.0,9777.0,-453650.0,581.42,771.86,486.75,1089.0,390.83,1115.12,33,13,-2276.27,-290.33,-296.73,31.6,50.0,36.5,190.45,69.47,22.0,39.3
2026-01-29,2026-W05,656.43,828.15,32040.0,9796.0,22243.0,959.38,799.14,485.25,1021.0,355.31,1162.12,19,23,164.31,21.58,14.98,-29.9,52.1,56.2,-160.25,71.92,19.6,17.8
2026-01-30,2026-W05,896.25,1347.94,347891.0,5429.0,342462.0,260.47,431.28,208.75,684.02,228.4,616.81,25,36,1784.06,155.02,152.6,35.9,71.9,13.5,170.81,38.81,14.5,67.1
2026-01-31,2026-W05,1179.88,487.5,122257.0,2370.0,119887.0,31.63,327.33,-50.0,395.0,-48.28,453.12,29,14,626.96,73.32,71.9,66.5,76.0,38.5,295.7,29.46,10.0,50.4
2026-02-01,2026-W05,854.88,1364.13,526990.0,2214.0,524776.0,-50.0,354.99,-50.0,391.25,-50.0,384.56,25,34,2702.51,237.49,236.49,91.8,86.5,0.0,404.99,31.95,31.8,46.8
2026-02-02,2026-W06,1200.0,1092.0,66460.0,2432.0,64028.0,141.06,215.87,-50.0,522.5,-50.0,494.17,36,30,340.82,29.0,27.94,13.1,52.1,49.0,74.81,19.43,13.2,22.2
2026-02-03,2026-W06,1200.0,601.25,-10287.0,883.0,-11170.0,29.26,41.28,-50.0,197.8,-49.95,238.75,38,16,-52.76,-5.71,-6.2,4.9,52.1,52.1,12.02,3.72,10.8,28.4
2026-02-04,2026-W06,1200.0,1355.85,179955.0,332.0,179623.0,-50.0,88.47,-50.0,180.0,-50.0,145.59,31,37,922.85,70.41,70.28,60.2,77.1,0.0,138.47,7.96,33.8,12.2
2026-02-05,2026-W06,838.63,990.05,579414.0,4539.0,574875.0,-40.29,551.11,-50.0,714.94,-45.0,648.43,20,28,2971.35,316.85,314.37,77.3,79.2,18.8,591.4,49.6,39.9,85.3
2026-02-06,2026-W06,1200.0,1092.0,-96148.0,3964.0,-100112.0,314.82,257.9,28.11,660.29,42.81,591.74,33,32,-493.07,-41.95,-43.68,-9.0,47.9,53.1,-56.91,23.21,13.4,20.3
2026-02-07,2026-W06,1049.88,955.39,276052.0,1088.0,274963.0,-30.81,255.09,-50.0,330.0,-50.0,324.0,31,25,1415.65,137.66,137.12,75.2,71.9,53.1,285.89,22.96,49.3,32.5
2026-02-08,2026-W06,1200.0,958.15,76644.0,927.0,75717.0,6.1,87.63,-50.0,283.75,-50.08,277.38,39,26,393.04,35.51,35.08,24.4,65.6,51.0,81.53,7.89,20.4,36.8
2026-02-09,2026-W07,1200.0,462.7,-35222.0,-112.0,-35110.0,36.12,17.57,-50.0,82.92,-50.0,182.97,30,14,-180.63,-21.18,-21.12,-14.0,85.4,85.4,-18.56,1.58,42.1,12.2
2026-02-10,2026-W07,1131.13,1792.48,499948.0,2324.0,497623.0,10.05,285.26,-50.0,481.52,-48.21,338.06,28,43,2563.83,171.0,170.21,51.8,80.2,31.2,275.21,25.67,29.9,44.5
2026-02-11,2026-W07,1200.0,328.85,11426.0,309.0,11118.0,-8.11,5.14,-50.0,164.34,-50.09,232.15,32,9,58.6,7.47,7.27,6.2,68.8,63.5,13.26,0.46,0.0,29.3
2026-02-12,2026-W07,838.63,1526.3,283365.0,1399.0,281967.0,-50.0,158.18,-50.0,274.38,-50.57,287.13,21,37,1453.16,119.82,119.23,64.2,58.3,3.1,208.18,14.24,25.6,17.4
2026-02-13,2026-W07,1200.0,1092.0,93540.0,141.0,93399.0,-36.34,45.73,-50.0,169.95,-50.25,126.22,34,33,479.69,40.81,40.75,37.3,75.0,67.7,82.07,4.12,30.0,24.4
2026-02-14,2026-W07,1200.0,328.85,60514.0,-550.0,61064.0,-49.68,2.74,-50.25,-13.75,-50.21,-2.93,34,9,310.33,39.58,39.94,143.6,97.9,85.4,52.42,0.25,100.0,40.6
2026-02-15,2026-W07,838.63,1526.3,491663.0,2070.0,489593.0,-50.0,294.65,-50.0,336.88,-50.0,327.63,22,38,2521.35,207.9,207.02,89.1,69.8,0.0,344.65,26.52,38.8,46.5
2026-02-16,2026-W08,1160.06,1055.65,215261.0,2544.0,212717.0,81.17,293.12,-50.0,340.0,-46.43,340.0,28,30,1103.9,97.15,96.0,54.3,55.2,31.2,211.94,26.38,27.7,13.5
2026-02-17,2026-W08,945.77,860.65,4256.0,-117.0,4373.0,-50.0,-50.0,-50.0,177.5,-50.0,114.17,24,24,21.83,2.36,2.42,-0.0,0.0,0.0,-0.0,-4.5,0.0,27.8
2026-02-18,2026-W08,1200.0,665.44,34041.0,-591.0,34631.0,-50.0,-39.01,-50.09,-21.88,-50.04,-30.43,33,23,174.57,18.25,18.56,39.0,96.9,4.2,10.99,-3.51,22.0,8.1
2026-02-19,2026-W08,1200.0,755.41,22094.0,-652.0,22746.0,-50.0,-50.18,-50.32,-50.0,-50.16,-50.0,33,20,113.3,11.3,11.63,,3.1,3.1,-0.18,-4.52,0.0,29.2
2026-02-20,2026-W08,1172.32,1608.15,-21792.0,-652.0,-21140.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,32,40,-111.75,-7.84,-7.6,,0.0,0.0,0.0,-4.5,43.4,20.8
2026-02-21,2026-W08,1200.0,550.66,-8047.0,278.0,-8325.0,16.7,21.79,-50.0,265.6,-50.0,268.38,34,16,-41.27,-4.6,-4.76,1.6,74.0,74.0,5.08,1.96,0.0,36.6
2026-02-22,2026-W08,845.0,1532.1,138411.0,197.0,138214.0,-50.0,62.76,-50.0,212.39,-50.0,110.31,20,39,709.8,58.23,58.14,43.0,74.0,0.0,112.76,5.65,29.3,30.8
2026-02-23,2026-W09,999.34,909.4,253679.0,1391.0,252287.0,-35.04,240.45,-50.0,313.12,-50.0,305.22,28,23,1300.92,132.9,132.17,75.9,75.0,41.7,275.49,21.64,34.0,26.8
2026-02-24,2026-W09,1200.0,328.85,58281.0,374.0,57907.0,-50.0,-5.23,-51.0,255.0,-50.69,287.5,29,9,298.88,38.12,37.88,14.6,72.9,5.2,44.77,-0.47,0.0,37.4
2026-02-25,2026-W09,1200.0,1433.25,117693.0,860.0,116833.0,13.75,93.63,-50.0,308.12,-50.0,235.59,31,39,603.55,44.69,44.37,22.3,66.7,66.7,79.88,8.43,30.6,0.0
2026-02-26,2026-W09,838.63,1185.05,67468.0,3087.0,64381.0,175.72,181.28,12.69,415.55,9.92,425.37,22,30,345.99,33.34,31.81,1.4,33.3,31.2,5.57,16.32,14.6,23.3
2026-02-27,2026-W09,1200.0,1092.0,109596.0,2965.0,106631.0,167.75,284.7,61.8,406.18,61.22,451.96,33,29,562.03,47.82,46.52,34.0,75.0,36.5,116.95,25.62,14.9,32.1
2026-02-28,2026-W09,1200.0,1092.0,123896.0,2835.0,121061.0,137.6,264.67,66.99,395.71,80.27,385.06,31,28,635.36,54.06,52.82,38.7,78.1,18.8,127.07,23.82,20.8,32.5
2026-03-01,2026-W09,1200.0,1092.0,-297545.0,5358.0,-302903.0,526.84,306.47,251.75,748.59,252.81,660.83,34,32,-1525.87,-129.82,-132.16,-44.4,44.8,78.1,-220.37,27.58,0.0,8.1
2026-03-02,2026-W10,1200.0,328.85,36702.0,260.0,36442.0,-28.95,5.97,-50.81,195.42,-50.65,240.1,33,13,188.22,24.01,23.84,14.2,68.8,66.7,34.92,0.54,0.0,24.4
2026-03-03,2026-W10,838.63,1526.3,414232.0,1906.0,412326.0,-50.0,243.92,-50.0,338.99,-50.18,321.94,20,37,2124.27,175.16,174.35,75.6,59.4,35.4,293.92,21.95,31.9,24.4
2026-03-04,2026-W10,682.5,621.08,-20891.0,4269.0,-25160.0,275.5,269.11,274.34,451.79,212.14,512.99,16,18,-107.13,-16.03,-19.3,-3.6,17.7,21.9,-6.39,24.22,0.0,54.8
2026-03-05,2026-W10,926.25,842.89,272734.0,1457.0,271277.0,-50.0,268.63,-50.0,302.5,-50.0,303.33,23,21,1398.63,154.16,153.34,90.4,65.6,0.0,318.63,24.18,26.9,36.8
2026-03-06,2026-W10,945.77,860.65,36172.0,4789.0,31383.0,296.34,367.68,308.58,411.88,262.75,530.33,24,23,185.5,20.02,17.37,69.1,62.5,41.7,71.34,33.09,13.2,40.2
2026-03-07,2026-W10,1200.0,1020.12,192392.0,821.0,191571.0,-24.1,160.25,-50.0,198.12,-50.0,222.69,35,28,986.63,86.66,86.29,74.3,74.0,49.0,184.35,14.42,30.3,22.0
2026-03-08,2026-W10,1061.55,1037.89,285075.0,2365.0,282710.0,-6.12,268.41,-50.0,320.78,-50.0,319.97,27,29,1461.92,135.79,134.66,74.0,42.7,31.2,274.53,24.16,45.4,50.5
2026-03-09,2026-W11,1199.16,328.09,51238.0,1054.0,50184.0,-10.5,117.79,-50.0,433.12,-50.11,433.5,38,14,262.76,33.55,32.86,26.6,71.9,56.2,128.29,10.6,19.8,40.7
2026-03-10,2026-W11,936.13,1615.03,489259.0,1954.0,487306.0,-33.28,283.65,-50.0,304.7,-50.0,312.05,28,39,2509.02,191.78,191.01,89.4,70.8,35.4,316.93,25.53,39.2,54.5
2026-03-11,2026-W11,1179.88,1073.69,-173860.0,4419.0,-178279.0,381.91,257.75,40.56,744.04,33.73,684.78,30,28,-891.59,-77.15,-79.11,-17.6,34.4,61.5,-124.16,23.2,19.1,8.3
2026-03-12,2026-W11,1200.0,328.85,39188.0,-157.0,39345.0,-11.77,76.23,-50.69,128.58,-50.72,167.11,36,9,200.97,25.63,25.74,49.1,85.4,81.2,88.0,6.86,70.4,11.7
2026-03-13,2026-W11,844.46,768.46,-75375.0,2747.0,-78122.0,150.95,67.79,-47.18,489.38,-49.61,477.92,28,25,-386.54,-46.73,-48.43,-15.5,33.3,37.5,-83.16,6.1,0.0,5.9
2026-03-14,2026-W11,838.63,1526.3,415488.0,4872.0,410616.0,269.4,420.24,258.26,523.35,236.11,521.49,20,36,2130.71,175.69,173.63,56.9,58.3,6.2,150.84,37.82,28.3,27.1
2026-03-15,2026-W11,1200.0,1092.0,-9231.0,4203.0,-13434.0,303.58,325.15,226.54,439.6,237.4,445.6,33,31,-47.34,-4.03,-5.86,10.1,76.0,74.0,21.57,29.26,13.4,8.7
