week,days,charge_mwh,discharge_mwh,net_wan,pf_net_wan,actual_spot_wan,realization_pct,vs_actual_wan,net_yuan,pf_net_yuan,actual_spot_yuan
2026-W05,6,5821.07,5297.17,82.7,269.71,21.58,30.7,61.12,827012.0,2697069.0,215796.0
2026-W06,7,7888.51,7044.69,105.79,197.49,61.77,53.6,44.02,1057924.0,1974884.0,617693.0
2026-W07,7,7608.39,7057.48,139.97,205.35,94.26,68.2,45.71,1399654.0,2053549.0,942579.0
2026-W08,7,7723.15,7028.0599999999995,38.32,80.18,38.1,47.8,0.22,383216.0,801843.0,381035.0
2026-W09,7,7837.97,7132.55,41.62,162.72,8.86,25.6,32.76,416197.0,1627233.0,88601.0
2026-W10,7,6854.7,6237.78,120.06,187.56,84.11,64.0,35.95,1200550.0,1875625.0,841070.0
2026-W11,7,7398.26,6732.42,71.76,180.36,56.38,39.8,15.38,717616.0,1803648.0,563826.0
2026-W12,7,7680.41,6989.17,149.68,223.61,126.13,66.9,23.56,1496847.0,2236109.0,1261285.0
2026-W13,7,7722.74,7027.68,90.33,195.36,65.74,46.2,24.59,903291.0,1953636.0,657430.0
2026-W14,7,8056.6,7331.51,128.21,197.49,92.6,64.9,35.62,1282119.0,1974864.0,925950.0
2026-W15,7,7704.099999999999,7010.73,105.03,228.48,89.22,46.0,15.81,1050296.0,2284833.0,892242.0
2026-W16,5,5190.110000000001,4723.0,85.03,136.93,68.57,62.1,16.46,850266.0,1369280.0,685698.0
