model_key,pred_col,mae,rmse,valid_point_count,profile_corr,neg_corr_day_ratio,neg_corr_day_count,amplitude_err,direction_acc,normalized_profile_mae,peak_hour_error,valley_hour_error,valid_shape_days,turning_point_match_rate,block_rank_acc,composite_score,mae_norm,corr_loss_norm,neg_corr_norm,amp_err_norm,dir_loss_norm
experiments/v1.0/test_predictions_hourly.csv,pred,81.946539,125.667016,744,0.776,0.0,0,138.7384,0.6466,0.4717,5.4194,3.8387,31,0.6753,0.5032,0.867607,0.470428,1.0,1.0,1.0,1.0
experiments/v2.0/test_predictions_hourly.csv,pred,138.599446,203.266856,2688,0.7142,0.026786,3,241.4068,0.632,0.5637,6.1875,3.0536,112,0.6593,0.4804,0.948913,0.795653,1.0,1.0,1.0,1.0
experiments/v25.0/test_predictions_hourly.csv,pred,139.329703,215.83697,2688,0.7004,0.044643,5,210.5828,0.5862,0.5596,6.375,3.4464,112,0.7387,0.5589,0.949961,0.799846,1.0,1.0,1.0,1.0
experiments/v3.0/test_predictions_hourly.csv,pred,163.452826,225.479241,2688,0.6969,0.044643,5,248.8742,0.6176,0.5833,5.0982,2.6161,112,0.7284,0.4714,0.984582,0.938328,1.0,1.0,1.0,1.0
experiments/v4.0/test_predictions_hourly.csv,pred,86.947424,105.158388,168,0.6943,0.0,0,69.178,0.6273,0.6025,7.2857,2.0,7,0.9048,0.3143,0.874784,0.499136,1.0,1.0,1.0,1.0
experiments/v5.0/test_predictions_hourly.csv,pred,103.816434,128.306741,168,0.6617,0.0,0,83.0508,0.5031,0.6541,10.0,1.7143,7,0.8001,0.4571,0.898994,0.595976,1.0,1.0,1.0,1.0
experiments/v6.0-12m/test_predictions_hourly.csv,pred,77.032795,99.797265,168,0.8183,0.0,0,67.6047,0.6335,0.4545,8.4286,1.4286,7,0.811,0.5143,0.860555,0.44222,1.0,1.0,1.0,1.0
experiments/v6.0/test_predictions_hourly.csv,pred,128.125262,204.994411,2688,0.6907,0.035714,4,208.906,0.6064,0.5736,5.6875,3.1518,112,0.6811,0.5339,0.933881,0.735525,1.0,1.0,1.0,1.0
experiments/v7.0-12m/test_predictions_hourly.csv,pred,85.199061,111.754739,168,0.7407,0.0,0,81.8352,0.6087,0.526,8.4286,1.4286,7,0.8144,0.4286,0.872275,0.4891,1.0,1.0,1.0,1.0
experiments/v7.0/test_predictions_hourly.csv,pred,140.977418,223.609424,2688,0.6941,0.035714,4,232.4327,0.6048,0.5748,5.8571,3.4375,112,0.6504,0.5196,0.952326,0.809305,1.0,1.0,1.0,1.0
experiments/v8.0-12m-7h/test_predictions_hourly.csv,pred,76.86224,96.720802,168,0.7984,0.0,0,67.6259,0.5404,0.4513,8.8571,1.5714,7,0.7917,0.5429,0.86031,0.441241,1.0,1.0,1.0,1.0
experiments/v8.0-12m-sudun-mean/test_predictions_hourly.csv,pred,144.423363,230.05529,2184,0.5639,0.054945,5,260.4284,0.4257,0.6855,6.4286,4.8022,91,0.7981,0.4681,0.957272,0.829087,1.0,1.0,1.0,1.0
experiments/v8.0-12m-sudun-n1/test_predictions_hourly.csv,pred,144.198659,232.631622,2184,0.5664,0.032967,3,245.7219,0.4238,0.6834,6.8791,5.4396,91,0.7952,0.4637,0.956949,0.827797,1.0,1.0,1.0,1.0
experiments/v8.0-12m-sudun15m/test_predictions_15min.csv,pred,120.291746,181.281552,10752,,,0,,,,,,0,,,0.922639,0.690555,1.0,1.0,1.0,1.0
experiments/v8.0-12m-sudun500/test_predictions_hourly.csv,pred,108.781464,155.60239,2688,0.6335,0.045045,5,164.0233,0.4818,0.6359,5.0991,5.3874,111,0.8027,0.4721,0.90612,0.624478,1.0,1.0,1.0,1.0
experiments/v8.0-12m-unified/test_predictions_hourly.csv,pred,94.183643,135.342334,2664,0.7278,0.018018,2,133.4761,0.5691,0.5431,5.3874,3.6937,111,0.7646,0.564,0.885169,0.540677,1.0,1.0,1.0,1.0
experiments/v8.0-12m-v18aug/test_predictions_hourly.csv,pred,81.807066,104.300928,168,0.7202,0.0,0,59.6798,0.6025,0.5419,11.5714,2.2857,7,0.835,0.5143,0.867407,0.469627,1.0,1.0,1.0,1.0
experiments/v8.0-12m/test_predictions_hourly.csv,pred,99.371239,140.972519,2664,0.6925,0.018018,2,150.3398,0.5088,0.5798,5.1351,4.7027,111,0.8315,0.5568,0.892614,0.570457,1.0,1.0,1.0,1.0
experiments/v8.0-8m-sudun15m/test_predictions_15min.csv,pred,122.067679,184.974784,10752,,,0,,,,,,0,,,0.925188,0.70075,1.0,1.0,1.0,1.0
experiments/v8.0-cloud-smoke/test_predictions_hourly.csv,pred,104.121401,134.095805,168,0.771,0.0,0,157.9259,0.7081,0.5236,6.0,1.5714,7,0.5012,0.6286,0.899432,0.597726,1.0,1.0,1.0,1.0
