feature,importance
reserve_neg_capacity_min,2687.49919667622
reserve_neg_capacity_q25,1344.7829933786286
d_minus7_load_q25,795.0188142004297
wind_forecast_morning_evening_diff,788.9163354981051
d_minus2_renew_range,721.5854276373058
wind_forecast_std,699.0907199047913
d_minus1_unified_std,620.6218282932285
solar_forecast_q75,582.7322787323407
d_minus2_unified_range,503.447391301656
d_minus2_nodal_max,467.3183277443599
reserve_neg_capacity_std,462.45974783890716
d_minus1_nodal_trough_hour,455.15554172208067
wind_forecast_trough_hour,441.1180753930239
d_minus7_unified_max,436.7212294900877
d_minus7_renew_std,419.12012798566366
d_minus7_renew_range,409.7207391384068
reserve_neg_capacity_range,407.8648232083954
d_minus2_nodal_morning_evening_diff,387.4291091535339
wind_forecast_range,378.15554833273865
d_minus2_unified_q75,374.05096061644144
d_minus1_nodal_q75,363.3093315796651
reserve_pos_capacity_range,356.85276600788217
wind_forecast_q75,356.385067941912
d_minus7_nodal_mean,348.7989886405994
d_minus1_nodal_std,288.3547804560337
reserve_pos_capacity_peak_hour,281.6714478373756
d_minus2_load_q25,276.5214669504203
d_minus1_unified_q75,269.91710878316366
d_minus1_nodal_range,266.6752386951383
d_minus7_nodal_min,259.85960758641795
d_minus2_renew_max,241.9730294904966
d_minus1_renew_morning_evening_diff,223.99228883218385
d_minus2_unified_morning_evening_diff,209.75795145344455
d_minus2_nodal_q25,205.02818170376915
reserve_pos_capacity_max,199.62085880660294
d_minus1_unified_max,199.3336506999906
wind_forecast_max,198.3544483459049
d_minus7_renew_q25,197.62911476692952
d_minus7_unified_q75,196.66636437713169
d_minus7_nodal_morning_evening_diff,196.11228782561375
d_minus2_nodal_std,194.41340728908563
d_minus2_load_max,188.5386317557078
d_minus2_unified_mean,184.22219982366778
solar_forecast_max,179.04263697802028
solar_forecast_q25,177.66301414277405
d_minus2_renew_morning_evening_diff,171.80182035110192
solar_forecast_morning_evening_diff,168.93565124482848
net_load_peak_hour,167.75269164524283
d_minus2_load_min,163.48793285732907
reserve_neg_capacity_mean,155.79356909250657
d_minus1_unified_q25,155.18401885642118
d_minus2_load_morning_evening_diff,148.58020796102724
load_forecast_mean,148.39652746873938
reserve_neg_capacity_q75,146.54346436465948
d_minus7_load_q75,143.19936819921713
d_minus7_nodal_q75,141.58223238003498
d_minus2_load_range,137.40838796852503
load_forecast_morning_evening_diff,130.52047752559872
reserve_neg_capacity_max,129.3029166859113
d_minus7_nodal_range,126.3303483711348
load_forecast_std,125.63716434729007
d_minus1_nodal_peak_hour,124.19920626674049
solar_forecast_mean,122.54957226736195
wind_forecast_min,122.13855387468286
d_minus1_unified_trough_hour,120.800212400083
d_minus2_load_std,120.44469395680454
reserve_pos_capacity_min,114.0075438375352
d_minus7_load_range,110.65997399129584
d_minus2_nodal_range,110.28241645557085
renewable_forecast_q25,109.97730293637142
east_send_forecast_morning_evening_diff,109.58010812940483
d_minus7_unified_morning_evening_diff,107.05249299115654
net_load_morning_evening_diff,106.23873741469166
d_minus2_nodal_peak_hour,105.14315672043449
reserve_neg_capacity_trough_hour,103.76639016173706
d_minus2_unified_q25,103.43063119941338
d_minus2_unified_peak_hour,100.3418282805942
load_forecast_range,99.38028056270643
d_minus7_renew_min,94.49476198712576
d_minus7_load_std,93.8564623092825
load_forecast_peak_hour,93.27203433775581
d_minus2_unified_min,91.9900032906059
d_minus2_renew_std,90.77423203675389
renewable_forecast_mean,90.0902494284202
net_load_min,89.17032405295782
d_minus1_unified_min,88.40413880574243
renewable_forecast_std,87.70335929805879
d_minus7_renew_trough_hour,86.08333865874738
reserve_pos_capacity_std,82.15615402697573
d_minus1_renew_std,82.07605908748589
d_minus1_nodal_max,82.039849360143
d_minus1_nodal_morning_evening_diff,81.91652706586441
renewable_forecast_peak_hour,81.08190258254697
d_minus2_unified_max,81.02831841209917
reserve_pos_capacity_q25,80.50925696635386
d_minus7_renew_morning_evening_diff,80.34294303265051
renewable_forecast_max,80.15606731455773
d_minus1_unified_morning_evening_diff,78.82340281911459
d_minus1_load_q75,77.94212710719836
d_minus7_nodal_max,77.14712739438107
d_minus2_renew_mean,75.4974190220119
d_minus7_load_trough_hour,75.33309314624057
d_minus1_load_range,75.17372498370241
d_minus7_unified_q25,73.09680739943185
d_minus1_load_mean,70.73135078635318
d_minus1_nodal_q25,70.0260276398767
d_minus7_unified_min,68.23813003457482
solar_forecast_std,66.86489115512357
reserve_pos_capacity_morning_evening_diff,66.35583937335468
d_minus7_nodal_trough_hour,60.98444857305731
d_minus7_unified_trough_hour,60.73163980990934
renewable_forecast_min,60.21087775635533
d_minus1_renew_range,60.10039184387018
renewable_forecast_range,58.54226345294616
d_minus7_load_min,57.21007809854616
reserve_neg_capacity_morning_evening_diff,56.8169237060938
d_minus1_load_morning_evening_diff,56.30880185934572
renewable_forecast_trough_hour,55.744957252405584
load_forecast_min,54.95466007082723
d_minus7_unified_mean,54.629094984789845
d_minus2_unified_std,53.616690750415366
d_minus1_renew_min,51.70933720120229
d_minus7_load_morning_evening_diff,51.36195959947178
d_minus7_unified_range,50.88041338673907
d_minus2_load_q75,49.88352125440724
load_forecast_trough_hour,47.82400660661369
d_minus1_nodal_min,46.4389186274776
east_send_forecast_q75,44.96484984154445
net_load_max,44.46539021540102
load_forecast_max,43.90211455593817
d_minus1_load_std,43.24737610249073
solar_forecast_range,43.15749657458946
d_minus2_nodal_mean,43.04326087528203
solar_forecast_peak_hour,42.83141438383609
d_minus7_unified_std,41.33712822012603
net_load_q75,40.29492150534691
d_minus1_load_min,40.29440066831316
d_minus2_renew_q25,39.40528874436859
net_load_std,39.33485989573744
d_minus1_renew_mean,38.08354870498066
d_minus2_load_trough_hour,37.595579573418945
net_load_range,37.372799124219455
net_load_trough_hour,36.618172832833196
renewable_forecast_morning_evening_diff,34.976694808994516
dayofweek,34.82805007774211
d_minus2_nodal_q75,34.73884653557616
d_minus7_renew_max,33.56398740957957
reserve_pos_capacity_mean,33.242394016397746
net_load_mean,32.809687037822634
d_minus2_nodal_trough_hour,32.787573375525454
renewable_forecast_q75,32.71722783533177
d_minus2_load_peak_hour,32.10260617731625
net_load_q25,31.82305526791606
d_minus7_nodal_peak_hour,28.503419726504944
d_minus1_renew_trough_hour,28.300038587104858
d_minus2_nodal_min,28.167979809529704
d_minus2_unified_trough_hour,28.147084972662082
d_minus1_nodal_mean,27.769285417982665
d_minus1_unified_peak_hour,26.034045727690682
solar_forecast_trough_hour,25.89500626688823
east_send_forecast_std,25.730371184807154
d_minus2_renew_min,25.267751421412882
d_minus1_renew_peak_hour,22.000450852627676
d_minus1_renew_q75,21.727740980253586
d_minus7_nodal_q25,21.53235699760262
d_minus1_load_trough_hour,20.40883633415152
d_minus1_renew_q25,18.64132884862082
d_minus1_renew_max,18.38732819892489
d_minus2_renew_q75,18.17541587766982
d_minus1_load_peak_hour,18.157506660069487
wind_forecast_peak_hour,17.901330755521336
load_forecast_q75,17.210366756800255
solar_forecast_min,16.22785386504256
d_minus1_unified_mean,15.990123125207957
east_send_forecast_peak_hour,15.54876214480744
wind_forecast_mean,15.45992587506771
d_minus2_renew_trough_hour,15.448658197226667
east_send_forecast_mean,14.881857146213724
d_minus7_load_mean,14.850936395669294
d_minus1_unified_range,14.000100204352975
d_minus2_load_mean,13.950402385435154
d_minus7_nodal_std,12.384346251164905
month,12.14758730318863
east_send_forecast_q25,12.039444400321612
wind_forecast_q25,11.282087634973083
east_send_forecast_trough_hour,9.922783724963665
d_minus7_load_max,9.80691376235336
d_minus7_renew_peak_hour,9.044883228605613
d_minus7_unified_peak_hour,8.101561465727826
reserve_neg_capacity_peak_hour,7.821599556607907
price_dayahead_preclear_energy_q75,7.38807901320979
east_send_forecast_min,6.887032021768391
d_minus1_load_max,4.994216540840609
east_send_forecast_range,4.8705639776667295
reserve_pos_capacity_q75,3.984712521443174
d_minus2_renew_peak_hour,3.8021523569525453
d_minus7_renew_mean,3.655065886792727
d_minus7_load_peak_hour,3.4983293537335243
price_dayahead_preclear_energy_morning_evening_diff,3.235668957563964
d_minus1_load_q25,3.154412963131776
load_forecast_q25,2.7650604130526713
reserve_pos_capacity_trough_hour,1.8602581474988256
d_minus7_renew_q75,1.8414512391547844
price_dayahead_preclear_energy_mean,1.358780026435852
price_dayahead_preclear_energy_range,0.6530699878931046
price_dayahead_preclear_energy_min,0.3033730243844257
price_dayahead_preclear_energy_max,0.051158870570361614
east_send_forecast_max,0.04772289842367172
price_dayahead_preclear_energy_std,0.00017064700659830123
price_dayahead_preclear_energy_peak_hour,0.0
price_dayahead_preclear_energy_trough_hour,0.0
price_dayahead_preclear_energy_q25,0.0
is_weekend,0.0
