date,pred_native_15m,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end,gross,aux_cost,net,pf_gross,pf_aux_cost,pf_net
2026-01-27,False,02:45–15:00,05:15–22:30,1160.06,1055.65,-0.0,249165.0,6146.0,243019.0,481164.0,6146.0,475018.0
2026-01-28,False,00:00–24:00,01:45–18:15,1200.0,390.0,735.9,-453324.0,9777.0,-463100.0,608656.0,9777.0,598879.0
2026-01-29,False,07:30–24:00,01:00–17:00,1200.0,1287.0,531.5,402706.0,9796.0,392910.0,676336.0,9796.0,666540.0
2026-01-30,False,09:00–20:45,02:00–23:15,984.88,1403.24,0.0,300816.0,5429.0,295387.0,62496.0,5429.0,57067.0
2026-01-31,False,10:00–24:00,11:00–21:45,1196.13,746.04,359.0,142618.0,2370.0,140248.0,499116.0,2370.0,496746.0
2026-02-01,False,01:15–16:00,00:00–24:00,1015.89,1266.9,0.0,434485.0,2214.0,432271.0,405033.0,2214.0,402819.0
2026-02-02,False,05:00–23:00,07:00–24:00,1052.91,958.15,0.0,127218.0,2432.0,124786.0,230911.0,2432.0,228478.0
2026-02-03,False,08:30–24:00,11:00–19:30,1200.0,585.0,531.5,10086.0,883.0,9204.0,301758.0,883.0,300875.0
2026-02-04,False,00:15–17:00,01:15–12:00,1128.99,771.23,800.0,128618.0,332.0,128287.0,163669.0,332.0,163337.0
2026-02-05,False,10:00–16:15,00:00–22:15,838.63,1526.3,0.0,739351.0,4539.0,734812.0,652534.0,4539.0,647996.0
2026-02-06,False,–,–,0.0,0.0,0.0,0.0,3964.0,-3964.0,128544.0,3964.0,124580.0
2026-02-07,False,06:00–17:00,06:30–24:00,1069.16,972.94,0.0,269811.0,1088.0,268723.0,377130.0,1088.0,376042.0
2026-02-08,False,06:00–24:00,07:15–22:00,1153.81,828.15,232.5,96178.0,927.0,95251.0,134503.0,927.0,133576.0
2026-02-09,False,06:45–24:00,00:00–15:30,1200.0,550.66,800.0,14531.0,-112.0,14643.0,185833.0,-112.0,185945.0
2026-02-10,False,04:30–15:45,02:30–21:15,984.88,1659.39,0.0,441277.0,2324.0,438953.0,552391.0,2324.0,550067.0
2026-02-11,False,03:00–17:00,04:15–22:00,1114.7,1014.38,0.0,89736.0,309.0,89427.0,239177.0,309.0,238868.0
2026-02-12,False,09:15–17:15,11:00–23:30,999.34,909.4,0.0,-12727.0,1399.0,-14125.0,276805.0,1399.0,275406.0
2026-02-13,False,00:00–17:00,01:45–22:15,1118.09,1017.46,0.0,73568.0,141.0,73426.0,193954.0,141.0,193813.0
2026-02-14,False,00:00–17:00,02:30–06:00,1200.0,328.85,800.0,51259.0,-550.0,51809.0,69701.0,-550.0,70252.0
