date,pred_native_15m,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end,gross,aux_cost,net,pf_gross,pf_aux_cost,pf_net
2026-01-27,False,04:00–21:00,06:00–22:45,1033.63,940.6,0.0,277440.0,6146.0,271294.0,481164.0,6146.0,475018.0
2026-01-28,False,08:45–24:00,10:45–23:00,1200.0,328.85,800.0,-443873.0,9777.0,-453650.0,608656.0,9777.0,598879.0
2026-01-29,False,09:00–24:00,08:00–17:00,656.43,828.15,558.1,32040.0,9796.0,22243.0,676336.0,9796.0,666540.0
2026-01-30,False,01:45–20:00,03:45–24:00,896.25,1347.94,0.0,347891.0,5429.0,342462.0,62496.0,5429.0,57067.0
2026-01-31,False,11:30–21:45,16:45–23:00,1179.88,487.5,614.5,122257.0,2370.0,119887.0,499116.0,2370.0,496746.0
2026-02-01,False,09:00–17:00,00:00–24:00,854.88,1364.13,0.0,526990.0,2214.0,524776.0,405033.0,2214.0,402819.0
2026-02-02,False,00:00–23:00,01:15–24:00,1200.0,1092.0,0.0,66461.0,2432.0,64028.0,230911.0,2432.0,228478.0
2026-02-03,False,00:00–23:00,01:15–20:00,1200.0,601.25,514.4,-10287.0,883.0,-11170.0,301758.0,883.0,300875.0
2026-02-04,False,05:45–17:15,00:00–24:00,1200.0,1355.85,237.9,179955.0,332.0,179623.0,163669.0,332.0,163337.0
2026-02-05,False,11:15–16:15,00:00–22:15,838.63,990.05,0.0,579414.0,4539.0,574875.0,652534.0,4539.0,647996.0
2026-02-06,False,00:00–16:30,01:30–20:30,1200.0,1092.0,-0.0,-96148.0,3964.0,-100112.0,128544.0,3964.0,124580.0
2026-02-07,False,04:00–16:00,05:15–21:30,1049.88,955.39,0.0,276052.0,1088.0,274963.0,377130.0,1088.0,376042.0
2026-02-08,False,01:00–24:00,04:00–21:15,1200.0,958.15,140.3,76644.0,927.0,75717.0,134503.0,927.0,133576.0
2026-02-09,False,03:30–24:00,06:45–23:00,1200.0,462.7,800.0,-35222.0,-112.0,-35110.0,185833.0,-112.0,185945.0
2026-02-10,False,02:45–15:00,00:00–21:15,1131.13,1792.48,-0.0,499948.0,2324.0,497623.0,552391.0,2324.0,550067.0
2026-02-11,False,10:00–22:00,17:00–19:15,1200.0,328.85,800.0,11426.0,309.0,11118.0,239177.0,309.0,238868.0
2026-02-12,False,09:45–15:00,00:00–23:00,838.63,1526.3,0.0,283365.0,1399.0,281967.0,276805.0,1399.0,275406.0
2026-02-13,False,00:00–20:30,01:15–23:30,1200.0,1092.0,-0.0,93540.0,141.0,93399.0,193954.0,141.0,193813.0
2026-02-14,False,01:45–19:00,05:00–07:15,1200.0,328.85,800.0,60514.0,-550.0,61064.0,69701.0,-550.0,70252.0
2026-02-15,False,10:00–16:15,03:30–24:00,838.63,1526.3,0.0,491663.0,2070.0,489593.0,541268.0,2070.0,539198.0
2026-02-16,False,00:00–15:00,02:15–23:15,1160.06,1055.65,0.0,215261.0,2544.0,212717.0,285497.0,2544.0,282953.0
2026-02-17,False,09:00–16:30,13:15–23:00,945.77,860.65,-0.0,4256.0,-117.0,4373.0,50572.0,-117.0,50689.0
2026-02-18,False,00:00–24:00,02:00–17:15,1200.0,665.44,447.2,34041.0,-591.0,34631.0,27406.0,-591.0,27996.0
2026-02-19,False,00:00–23:15,04:30–20:00,1200.0,755.41,800.0,22094.0,-652.0,22746.0,5653.0,-652.0,6306.0
2026-02-20,False,04:30–24:00,01:30–22:00,1172.32,1608.15,232.5,-21791.0,-652.0,-21140.0,5400.0,-652.0,6051.0
2026-02-21,False,01:00–22:00,03:00–19:45,1200.0,550.66,800.0,-8047.0,278.0,-8325.0,212070.0,278.0,211792.0
2026-02-22,False,10:00–16:30,02:00–23:15,845.0,1532.1,0.0,138411.0,197.0,138214.0,216253.0,197.0,216056.0
2026-02-23,False,05:15–16:00,07:00–22:30,999.34,909.4,0.0,253679.0,1391.0,252287.0,348534.0,1391.0,347143.0
2026-02-24,False,12:00–24:00,18:00–20:15,1200.0,328.85,800.0,58281.0,374.0,57907.0,74780.0,374.0,74406.0
2026-02-25,False,04:30–21:30,01:15–24:00,1200.0,1433.25,442.3,117693.0,860.0,116833.0,272253.0,860.0,271393.0
2026-02-26,False,11:00–17:00,00:00–23:15,838.63,1185.05,-0.0,67468.0,3087.0,64381.0,100220.0,3087.0,97133.0
2026-02-27,False,00:00–20:30,05:30–23:30,1200.0,1092.0,-0.0,109596.0,2965.0,106631.0,378128.0,2965.0,375163.0
2026-02-28,False,01:00–17:00,11:45–24:00,1200.0,1092.0,0.0,123896.0,2835.0,121061.0,443160.0,2835.0,440326.0
2026-03-01,False,00:00–22:00,07:30–23:30,1200.0,1092.0,-0.0,-297545.0,5358.0,-302903.0,27026.0,5358.0,21669.0
2026-03-02,False,05:30–24:00,07:00–22:30,1200.0,328.85,800.0,36702.0,260.0,36442.0,265755.0,260.0,265495.0
2026-03-03,False,10:00–15:00,04:45–24:00,838.63,1526.3,0.0,414232.0,1906.0,412326.0,403617.0,1906.0,401710.0
2026-03-04,False,13:45–17:45,18:00–24:00,682.5,621.08,0.0,-20891.0,4269.0,-25160.0,169215.0,4269.0,164946.0
2026-03-05,False,09:45–17:00,12:15–24:00,926.25,842.89,0.0,272734.0,1457.0,271277.0,324478.0,1457.0,323021.0
2026-03-06,False,08:30–16:00,11:45–21:00,945.77,860.65,0.0,36172.0,4789.0,31383.0,211836.0,4789.0,207048.0
2026-03-07,False,00:30–21:00,02:00–24:00,1200.0,1020.12,75.3,192392.0,821.0,191572.0,227119.0,821.0,226298.0
2026-03-08,False,00:00–17:00,02:30–24:00,1061.55,1037.89,0.0,285075.0,2365.0,282710.0,289472.0,2365.0,287107.0
2026-03-09,False,01:00–24:00,02:15–22:45,1199.16,328.09,800.0,51238.0,1054.0,50184.0,102471.0,1054.0,101417.0
2026-03-10,False,01:15–17:00,00:00–24:00,936.13,1615.03,0.0,489259.0,1954.0,487306.0,525050.0,1954.0,523096.0
2026-03-11,False,00:00–17:15,01:45–24:00,1179.88,1073.69,0.0,-173860.0,4419.0,-178279.0,253617.0,4419.0,249197.0
2026-03-12,False,05:00–23:30,17:45–20:00,1200.0,328.85,800.0,39188.0,-157.0,39345.0,125448.0,-157.0,125605.0
2026-03-13,False,01:15–17:00,00:00–15:45,844.46,768.46,800.0,-75375.0,2747.0,-78122.0,493332.0,2747.0,490585.0
2026-03-14,False,11:15–16:15,00:00–21:15,838.63,1526.3,-0.0,415488.0,4872.0,410616.0,-138018.0,4872.0,-142890.0
2026-03-15,False,00:00–16:00,02:00–23:00,1200.0,1092.0,0.0,-9231.0,4203.0,-13434.0,460841.0,4203.0,456638.0
2026-03-16,False,04:00–22:00,06:00–24:00,1200.0,590.15,526.1,55186.0,542.0,54644.0,165050.0,542.0,164508.0
2026-03-17,False,00:00–22:00,01:30–24:00,1200.0,976.95,646.7,99634.0,2556.0,97078.0,569951.0,2556.0,567396.0
2026-03-18,False,08:00–16:00,00:30–22:30,936.13,1468.78,0.0,374990.0,1565.0,373426.0,311284.0,1565.0,309720.0
2026-03-19,False,01:15–16:45,06:00–24:00,1160.06,1055.65,0.0,363095.0,2350.0,360746.0,451842.0,2350.0,449492.0
2026-03-20,False,08:45–17:15,10:30–22:30,999.34,909.4,-0.0,135690.0,1595.0,134095.0,208137.0,1595.0,206542.0
2026-03-21,False,05:00–22:15,06:15–20:15,1200.0,328.85,800.0,26887.0,-175.0,27063.0,104482.0,-175.0,104658.0
2026-03-22,False,10:00–22:00,03:45–24:00,984.88,1659.39,0.0,453999.0,4204.0,449795.0,437997.0,4204.0,433793.0
