date,charge_mwh,discharge_mwh,cycles,arb_net,cap_comp,net_total,pf_net_total
2026-01-27,1666.84,1516.83,4.17,151798.0,530890.0,682688.0,854473.0
2026-01-28,1671.81,1521.35,4.18,78929.0,532472.0,611402.0,997258.0
2026-01-29,1554.64,1414.72,3.89,2371.0,495152.0,497523.0,1028652.0
2026-01-30,1588.63,1445.65,3.97,-30185.0,505978.0,475793.0,709370.0
2026-01-31,1725.0,1569.75,4.31,83140.0,549412.0,632552.0,711344.0
2026-02-01,1715.98,1561.54,4.29,120271.0,546539.0,666810.0,727035.0
2026-02-02,1349.85,1228.36,3.37,22576.0,429926.0,452502.0,697625.0
2026-02-03,1822.74,1396.9,4.56,-65412.0,488915.0,423503.0,655282.0
2026-02-04,1423.09,1556.8,3.56,120970.0,544880.0,665850.0,639507.0
2026-02-05,1720.56,1565.71,4.3,199480.0,547998.0,747478.0,859680.0
2026-02-06,1569.34,1428.1,3.92,-109041.0,499835.0,390794.0,713979.0
2026-02-07,1671.66,1521.21,4.18,141298.0,532424.0,673722.0,678874.0
2026-02-08,1724.85,1569.61,4.31,-18364.0,549364.0,531000.0,640025.0
2026-02-09,1755.0,1596.07,4.39,-26690.0,558624.0,531934.0,675586.0
2026-02-10,1521.13,1385.2,3.8,101401.0,484820.0,586221.0,704436.0
2026-02-11,1724.85,1569.61,4.31,73842.0,549364.0,623206.0,673227.0
2026-02-12,1583.96,1441.4,3.96,57029.0,504490.0,561519.0,793482.0
2026-02-13,1715.59,1561.19,4.29,-16978.0,546416.0,529438.0,583910.0
2026-02-14,1676.49,1481.24,4.19,4375.0,518434.0,522809.0,567822.0
2026-02-15,1656.28,1551.58,4.14,154601.0,543053.0,697654.0,718091.0
2026-02-16,1651.99,1503.31,4.13,136309.0,526158.0,662468.0,679246.0
2026-02-17,1647.17,1498.93,4.12,-79896.0,524626.0,444730.0,532838.0
2026-02-18,1671.81,1521.35,4.18,8143.0,532472.0,540616.0,537462.0
2026-02-19,1755.0,1591.69,4.39,8564.0,557092.0,565656.0,531442.0
2026-02-20,1752.71,1600.33,4.38,8271.0,560116.0,568386.0,570930.0
2026-02-21,1755.0,1587.3,4.39,83611.0,555555.0,639166.0,601138.0
2026-02-22,1563.45,1432.49,3.91,70939.0,501372.0,572310.0,648758.0
2026-02-23,1686.81,1535.0,4.22,196744.0,537250.0,733994.0,759012.0
2026-02-24,1940.44,1384.23,4.85,14397.0,484480.0,498878.0,566146.0
2026-02-25,1554.88,1796.51,3.89,141571.0,628778.0,770350.0,725852.0
2026-02-26,1583.04,1440.56,3.96,-88983.0,504196.0,415213.0,658968.0
2026-02-27,1666.84,1516.83,4.17,145656.0,530890.0,676546.0,843056.0
2026-02-28,1657.58,1508.4,4.14,-47585.0,527940.0,480355.0,778886.0
2026-03-01,1521.13,1384.23,3.8,-177600.0,484480.0,306880.0,480106.0
2026-03-02,1852.5,1330.87,4.63,50776.0,465804.0,516580.0,699074.0
2026-03-03,1559.31,1773.88,3.9,199421.0,620858.0,820279.0,766420.0
2026-03-04,1647.94,1499.63,4.12,-6565.0,524870.0,518306.0,628212.0
2026-03-05,1667.38,1517.31,4.17,118758.0,531058.0,649816.0,620975.0
2026-03-06,1735.56,1579.36,4.34,101722.0,552776.0,654498.0,730972.0
2026-03-07,1686.51,1534.73,4.22,46229.0,537156.0,583384.0,641292.0
2026-03-08,1554.88,1414.94,3.89,90330.0,495229.0,585559.0,659196.0
2026-03-09,1618.63,1459.3,4.05,-6227.0,510755.0,504528.0,565149.0
2026-03-10,1521.13,1397.88,3.8,168235.0,489258.0,657493.0,748920.0
2026-03-11,1598.81,1454.91,4.0,-193640.0,509218.0,315578.0,688394.0
2026-03-12,1769.16,1543.15,4.42,-316.0,540102.0,539786.0,654920.0
2026-03-13,1686.81,1601.79,4.22,-25406.0,560626.0,535220.0,741918.0
2026-03-14,1476.81,1343.9,3.69,-88155.0,470365.0,382210.0,572830.0
2026-03-15,1593.6,1450.18,3.98,77706.0,507563.0,585269.0,742584.0
2026-03-16,1671.81,1503.31,4.18,7243.0,526158.0,533402.0,591740.0
2026-03-17,1710.62,1534.38,4.28,114888.0,537033.0,651921.0,805672.0
2026-03-18,1603.63,1499.63,4.01,39327.0,524870.0,564198.0,567684.0
2026-03-19,1343.6,1222.68,3.36,181531.0,427938.0,609469.0,749876.0
2026-03-20,1559.46,1419.11,3.9,1922.0,496688.0,498610.0,557478.0
2026-03-21,1872.26,1322.18,4.68,-47967.0,462763.0,414796.0,555883.0
2026-03-22,1588.63,1827.23,3.97,259489.0,639530.0,899020.0,768538.0
2026-03-23,1535.36,1397.18,3.84,42219.0,489013.0,531232.0,598897.0
2026-03-24,1632.94,1485.98,4.08,75891.0,520093.0,595984.0,619118.0
2026-03-25,1466.64,1334.64,3.67,2214.0,467124.0,469338.0,674414.0
2026-03-26,1501.31,1366.19,3.75,-23269.0,478166.0,454898.0,790554.0
2026-03-27,1618.09,1472.46,4.05,-98640.0,515361.0,416721.0,654226.0
2026-03-28,1671.66,1521.21,4.18,-69110.0,532424.0,463314.0,478252.0
2026-03-29,1647.94,1499.63,4.12,51885.0,524870.0,576756.0,721258.0
2026-03-30,1618.63,1472.95,4.05,24067.0,515532.0,539600.0,689474.0
2026-03-31,1520.59,1383.74,3.8,88968.0,484309.0,573277.0,642153.0
2026-04-01,1569.88,1428.59,3.92,25421.0,500006.0,525428.0,627073.0
2026-04-02,1716.13,1561.68,4.29,34166.0,546588.0,580754.0,605825.0
2026-04-03,1462.35,1330.74,3.66,146808.0,465759.0,612567.0,727895.0
2026-04-04,1520.59,1383.74,3.8,18148.0,484309.0,502457.0,608722.0
2026-04-05,1452.94,1322.18,3.63,207018.0,462763.0,669781.0,758046.0
2026-04-06,1569.88,1428.59,3.92,99679.0,500006.0,599686.0,699660.0
2026-04-07,1574.16,1432.49,3.94,-70917.0,501372.0,430454.0,705276.0
2026-04-08,1714.29,1560.0,4.29,52325.0,546000.0,598325.0,646032.0
2026-04-09,1618.63,1472.95,4.05,43101.0,515532.0,558634.0,680980.0
2026-04-10,1725.24,1569.96,4.31,139772.0,549486.0,689258.0,961294.0
2026-04-11,1651.46,1502.83,4.13,-109449.0,525990.0,416542.0,546558.0
2026-04-12,1588.63,1445.65,3.97,-46212.0,505978.0,459766.0,706702.0
2026-04-13,1710.77,1556.8,4.28,40305.0,544880.0,585185.0,621859.0
2026-04-14,1461.81,1330.25,3.65,-59664.0,465588.0,405924.0,703145.0
2026-04-15,1715.74,1561.33,4.29,20738.0,546466.0,567204.0,609490.0
2026-04-16,1535.21,1370.23,3.84,73674.0,479580.0,553254.0,583210.0
2026-04-17,1642.35,1521.35,4.11,119161.0,532472.0,651634.0,737306.0
