date,charge_mwh,discharge_mwh,cycles,arb_net,cap_comp,net_total,pf_net_total
2026-01-27,1895.59,1724.99,2.37,282895.0,603746.0,886642.0,993793.0
2026-01-28,1895.59,1724.99,2.37,123613.0,603746.0,727360.0,1228977.0
2026-01-29,1812.86,1649.7,2.27,134903.0,577395.0,712298.0,1197585.0
2026-01-30,1900.41,1729.38,2.38,-194224.0,605283.0,411059.0,709766.0
2026-01-31,1890.54,1720.39,2.36,208424.0,602136.0,810560.0,861324.0
2026-02-01,1900.41,1729.38,2.38,237172.0,605283.0,842455.0,890086.0
2026-02-02,1564.52,1423.71,1.96,57495.0,498298.0,555794.0,751840.0
2026-02-03,1890.77,1720.6,2.36,-11089.0,602210.0,591121.0,884832.0
2026-02-04,2008.09,1827.36,2.51,-88668.0,639576.0,550908.0,757453.0
2026-02-05,1862.38,1694.76,2.33,510174.0,593166.0,1103340.0,1238286.0
2026-02-06,1895.59,1724.99,2.37,-133333.0,603746.0,470414.0,764808.0
2026-02-07,1865.89,1697.96,2.33,298074.0,594286.0,892360.0,942774.0
2026-02-08,1755.0,1596.07,2.19,35589.0,558624.0,594214.0,687218.0
2026-02-09,1901.25,1721.36,2.38,46073.0,602476.0,648549.0,745715.0
2026-02-10,1861.54,1703.75,2.33,298689.0,596312.0,895002.0,979726.0
2026-02-11,1739.7,1583.13,2.17,146877.0,554096.0,700972.0,798790.0
2026-02-12,1881.66,1712.31,2.35,-36726.0,599308.0,562582.0,853811.0
2026-02-13,1894.82,1724.29,2.37,35921.0,603502.0,639422.0,710568.0
2026-02-14,1959.34,1783.0,2.45,33688.0,624050.0,657738.0,649120.0
2026-02-15,1900.41,1729.38,2.38,215829.0,605283.0,821112.0,909840.0
2026-02-16,1719.41,1564.66,2.15,213812.0,547631.0,761443.0,852727.0
2026-02-17,1755.0,1597.05,2.19,-16361.0,558968.0,542606.0,605294.0
2026-02-18,2032.5,1849.57,2.54,31703.0,647350.0,679052.0,688374.0
2026-02-19,1983.45,1803.75,2.48,9692.0,631312.0,641004.0,662246.0
2026-02-20,2042.38,1859.75,2.55,9783.0,650912.0,660696.0,661992.0
2026-02-21,2042.38,1858.56,2.55,197879.0,650496.0,848375.0,850622.0
2026-02-22,1842.56,1676.73,2.3,171772.0,586856.0,758628.0,817558.0
2026-02-23,1739.7,1583.13,2.17,307882.0,554096.0,861978.0,906984.0
2026-02-24,1983.45,1494.4,2.48,30773.0,523040.0,553813.0,629982.0
2026-02-25,1715.06,1871.24,2.14,283274.0,654934.0,938208.0,908812.0
2026-02-26,1510.95,1374.96,1.89,-115234.0,481236.0,366002.0,698334.0
2026-02-27,1895.36,1724.78,2.37,-30217.0,603673.0,573456.0,971152.0
2026-02-28,1900.41,1729.38,2.38,5180.0,605283.0,610463.0,861558.0
2026-03-01,1900.95,1729.86,2.38,-320883.0,605451.0,284568.0,522259.0
2026-03-02,2096.25,1702.35,2.62,-41005.0,595822.0,554818.0,890205.0
2026-03-03,1767.32,1813.5,2.21,384418.0,634725.0,1019143.0,973890.0
2026-03-04,1910.06,1738.15,2.39,38689.0,608352.0,647042.0,725362.0
2026-03-05,1944.88,1769.84,2.43,99081.0,619444.0,718525.0,828730.0
2026-03-06,1740.24,1583.61,2.18,-63270.0,554264.0,490994.0,752778.0
2026-03-07,1881.66,1712.31,2.35,38445.0,599308.0,637754.0,763435.0
2026-03-08,1881.66,1712.31,2.35,208822.0,599308.0,808130.0,822440.0
2026-03-09,1770.95,1596.78,2.21,2362.0,558873.0,561235.0,661178.0
2026-03-10,1881.66,1727.1,2.35,236225.0,604485.0,840710.0,946103.0
2026-03-11,1778.81,1618.71,2.22,-296860.0,566548.0,269688.0,644772.0
2026-03-12,1895.59,1724.99,2.37,112515.0,603746.0,716262.0,897672.0
2026-03-13,1900.41,1729.38,2.38,-45497.0,605283.0,559786.0,997222.0
2026-03-14,1764.88,1606.04,2.21,-170375.0,562114.0,391739.0,637795.0
2026-03-15,1901.25,1730.14,2.38,107354.0,605549.0,712903.0,827232.0
2026-03-16,1753.39,1595.59,2.19,41494.0,558456.0,599950.0,684162.0
2026-03-17,2047.2,1862.95,2.56,152266.0,652032.0,804298.0,1084360.0
2026-03-18,1885.0,1702.03,2.36,127408.0,595710.0,723118.0,763560.0
2026-03-19,1837.74,1685.66,2.3,225885.0,589981.0,815866.0,966800.0
2026-03-20,1724.46,1569.26,2.16,13842.0,549241.0,563083.0,659926.0
2026-03-21,2334.88,1449.83,2.92,-11398.0,507440.0,496042.0,660214.0
2026-03-22,1451.55,1995.83,1.81,407392.0,698540.0,1105932.0,963202.0
2026-03-23,1734.11,1578.04,2.17,31502.0,552314.0,583816.0,668628.0
2026-03-24,1871.49,1703.05,2.34,193696.0,596068.0,789764.0,858446.0
2026-03-25,1876.84,1707.93,2.35,94739.0,597776.0,692514.0,894095.0
2026-03-26,1725.24,1569.96,2.16,9327.0,549486.0,558813.0,944667.0
2026-03-27,1890.77,1720.6,2.36,-65233.0,602210.0,536977.0,823122.0
2026-03-28,1998.68,1818.8,2.5,-123175.0,636580.0,513405.0,649944.0
2026-03-29,1891.31,1721.09,2.36,-3677.0,602382.0,598704.0,792232.0
2026-03-30,1842.56,1676.73,2.3,-10638.0,586856.0,576218.0,856200.0
2026-03-31,1837.2,1671.85,2.3,195379.0,585148.0,780526.0,822386.0
2026-04-01,1857.02,1645.53,2.32,172269.0,575936.0,748204.0,823142.0
2026-04-02,2091.13,1681.11,2.61,-27663.0,588388.0,560726.0,688437.0
2026-04-03,1696.31,1809.81,2.12,370779.0,633434.0,1004212.0,998025.0
2026-04-04,1890.77,1543.15,2.36,92902.0,540102.0,633004.0,748129.0
2026-04-05,1745.06,1765.45,2.18,315777.0,617908.0,933684.0,953689.0
2026-04-06,1749.34,1591.9,2.19,176695.0,557165.0,733860.0,829960.0
