date,charge_mwh,discharge_mwh,cycles,arb_net,cap_comp,net_total,pf_net_total
2026-01-27,1563.27,1422.58,3.91,237810.0,497903.0,735713.0,854473.0
2026-01-28,1597.89,1454.08,3.99,232779.0,508928.0,741707.0,997258.0
2026-01-29,1528.99,1391.38,3.82,211036.0,486983.0,698019.0,1028652.0
2026-01-30,1603.78,1459.44,4.01,-115579.0,510804.0,395225.0,709370.0
2026-01-31,1482.02,1348.64,3.71,58043.0,472024.0,530067.0,711344.0
2026-02-01,1662.02,1512.44,4.16,170028.0,529354.0,699382.0,727035.0
2026-02-02,1613.27,1468.08,4.03,90013.0,513828.0,603841.0,697625.0
2026-02-03,1667.38,1384.23,4.17,-54899.0,484480.0,429582.0,655282.0
2026-02-04,1521.13,1517.31,3.8,-62113.0,531058.0,468946.0,639507.0
2026-02-05,1832.38,1432.14,4.58,5297.0,501249.0,506546.0,859680.0
2026-02-06,1357.71,1470.84,3.39,41109.0,514794.0,555903.0,713979.0
2026-02-07,1647.56,1499.28,4.12,143441.0,524748.0,668189.0,678874.0
2026-02-08,1579.37,1437.23,3.95,-8531.0,503030.0,494500.0,640025.0
2026-02-09,1701.13,1548.03,4.25,69834.0,541810.0,611644.0,675586.0
2026-02-10,1833.06,1339.03,4.58,105325.0,468660.0,573986.0,704436.0
2026-02-11,1296.66,1509.03,3.24,26039.0,528160.0,554200.0,673227.0
2026-02-12,1676.49,1525.6,4.19,-69867.0,533960.0,464093.0,793482.0
2026-02-13,1735.56,1579.36,4.34,-32775.0,552776.0,520001.0,583910.0
2026-02-14,1569.34,1428.1,3.92,-20011.0,499835.0,479824.0,567822.0
2026-02-15,1891.54,1339.73,4.73,-142231.0,468906.0,326674.0,718091.0
2026-02-16,1330.56,1592.39,3.33,274183.0,557336.0,831520.0,679246.0
2026-02-17,1720.56,1565.71,4.3,-79566.0,547998.0,468432.0,532838.0
2026-02-18,1685.74,1534.03,4.21,15545.0,536910.0,552456.0,537462.0
2026-02-19,1701.13,1502.83,4.25,10374.0,525990.0,536364.0,531442.0
2026-02-20,1614.29,1499.41,4.04,6395.0,524794.0,531188.0,570930.0
2026-02-21,1688.78,1551.58,4.22,59068.0,543053.0,602121.0,601138.0
2026-02-22,1642.2,1494.4,4.11,113102.0,523040.0,636142.0,648758.0
2026-02-23,1715.74,1561.33,4.29,83714.0,546466.0,630180.0,759012.0
2026-02-24,1715.74,1561.33,4.29,-75662.0,546466.0,470804.0,566146.0
2026-02-25,1686.81,1535.0,4.22,107512.0,537250.0,644762.0,725852.0
2026-02-26,1710.77,1556.8,4.28,16073.0,544880.0,560953.0,658968.0
2026-02-27,1642.2,1494.4,4.11,166508.0,523040.0,689548.0,843056.0
2026-02-28,1642.74,1494.89,4.11,109014.0,523212.0,632226.0,778886.0
2026-03-01,1720.03,1565.23,4.3,-191388.0,547830.0,356442.0,480106.0
2026-03-02,1486.46,1352.68,3.72,50957.0,473438.0,524395.0,699074.0
2026-03-03,1647.94,1468.08,4.12,-111963.0,513828.0,401865.0,766420.0
2026-03-04,1651.46,1534.38,4.13,29111.0,537033.0,566144.0,628212.0
2026-03-05,1735.03,1578.88,4.34,-13106.0,552608.0,539502.0,620975.0
2026-03-06,1696.31,1516.83,4.24,-212209.0,530890.0,318682.0,730972.0
2026-03-07,1671.81,1548.16,4.18,-4375.0,541856.0,537481.0,641292.0
2026-03-08,1593.75,1450.31,3.98,36878.0,507608.0,544486.0,659196.0
2026-03-09,1735.18,1579.01,4.34,-66687.0,552654.0,485966.0,565149.0
2026-03-10,1695.92,1410.2,4.24,39092.0,493570.0,532662.0,748920.0
2026-03-11,1476.66,1476.85,3.69,3004.0,516897.0,519901.0,688394.0
2026-03-12,1456.99,1325.86,3.64,28328.0,464051.0,492379.0,654920.0
2026-03-13,1894.88,1384.23,4.74,-139810.0,484480.0,344670.0,741918.0
2026-03-14,1228.63,1458.16,3.07,7050.0,510356.0,517406.0,572830.0
2026-03-15,1735.03,1578.88,4.34,109064.0,552608.0,661672.0,742584.0
2026-03-16,1686.51,1534.73,4.22,-83167.0,537156.0,453988.0,591740.0
2026-03-17,1793.66,1250.65,4.48,48961.0,437728.0,486689.0,805672.0
2026-03-18,1306.46,1570.45,3.27,44498.0,549658.0,594156.0,567684.0
2026-03-19,1608.45,1463.69,4.02,100893.0,512292.0,613184.0,749876.0
2026-03-20,1608.75,1463.96,4.02,-61976.0,512386.0,450410.0,557478.0
2026-03-21,1461.81,1330.25,3.65,17065.0,465588.0,482652.0,555883.0
2026-03-22,1827.17,1316.25,4.57,-137280.0,460688.0,323408.0,768538.0
2026-03-23,1490.74,1703.05,3.73,92938.0,596068.0,689006.0,598897.0
2026-03-24,1696.31,1543.64,4.24,36390.0,540274.0,576664.0,619118.0
2026-03-25,1647.94,1499.63,4.12,-26598.0,524870.0,498272.0,674414.0
2026-03-26,1588.63,1445.65,3.97,-29681.0,505978.0,476297.0,790554.0
2026-03-27,1436.69,1307.39,3.59,-118221.0,457587.0,339366.0,654226.0
2026-03-28,1525.8,1388.48,3.81,-90654.0,485968.0,395314.0,478252.0
2026-03-29,1696.69,1322.18,4.24,-150693.0,462763.0,312070.0,721258.0
2026-03-30,1594.22,1632.23,3.99,6545.0,571280.0,577826.0,689474.0
2026-03-31,1491.28,1397.39,3.73,-27879.0,489087.0,461208.0,642153.0
