date,charge_mwh,discharge_mwh,cycles,arb_net,cap_comp,net_total,pf_net_total
2026-01-27,1613.27,1468.08,4.03,264585.0,513828.0,778413.0,854473.0
2026-01-28,1613.27,1468.08,4.03,150001.0,513828.0,663829.0,997258.0
2026-01-29,1569.49,1428.24,3.92,118835.0,499884.0,618719.0,1028652.0
2026-01-30,1593.99,1450.53,3.98,-108809.0,507686.0,398876.0,709370.0
2026-01-31,1533.81,1395.76,3.83,-20908.0,488516.0,467608.0,711344.0
2026-02-01,1534.67,1396.55,3.84,24916.0,488792.0,513708.0,727035.0
2026-02-02,1617.71,1472.11,4.04,112168.0,515238.0,627406.0,697625.0
2026-02-03,1662.02,1512.44,4.16,-43679.0,529354.0,485675.0,655282.0
2026-02-04,1662.02,1512.44,4.16,1269.0,529354.0,530623.0,639507.0
2026-02-05,1720.56,1565.71,4.3,123117.0,547998.0,671116.0,859680.0
2026-02-06,1740.0,1583.4,4.35,-64282.0,554190.0,489908.0,713979.0
2026-02-07,1695.77,1543.15,4.24,87396.0,540102.0,627498.0,678874.0
2026-02-08,1696.31,1543.64,4.24,-13967.0,540274.0,526307.0,640025.0
2026-02-09,1676.87,1525.95,4.19,21949.0,534082.0,556032.0,675586.0
2026-02-10,1754.31,1596.43,4.39,73448.0,558750.0,632198.0,704436.0
2026-02-11,1691.25,1539.04,4.23,53184.0,538664.0,591848.0,673227.0
2026-02-12,1735.41,1579.23,4.34,200998.0,552730.0,753728.0,793482.0
2026-02-13,1735.56,1579.36,4.34,-24121.0,552776.0,528655.0,583910.0
2026-02-14,1720.03,1565.23,4.3,-17643.0,547830.0,530188.0,567822.0
2026-02-15,1735.56,1579.36,4.34,113125.0,552776.0,665901.0,718091.0
2026-02-16,1618.63,1472.95,4.05,11956.0,515532.0,527488.0,679246.0
2026-02-17,1632.94,1485.98,4.08,-100101.0,520093.0,419992.0,532838.0
2026-02-18,1695.77,1543.15,4.24,22875.0,540102.0,562978.0,537462.0
2026-02-19,1695.77,1543.15,4.24,8169.0,540102.0,548272.0,531442.0
2026-02-20,1715.98,1561.54,4.29,8373.0,546539.0,554912.0,570930.0
2026-02-21,1666.46,1516.48,4.17,62783.0,530768.0,593551.0,601138.0
2026-02-22,1755.0,1597.05,4.39,92029.0,558968.0,650996.0,648758.0
2026-02-23,1597.89,1454.08,3.99,174386.0,508928.0,683314.0,759012.0
2026-02-24,1749.49,1592.04,4.37,-100531.0,557214.0,456683.0,566146.0
2026-02-25,1755.0,1597.05,4.39,156520.0,558968.0,715488.0,725852.0
2026-02-26,1671.28,1520.86,4.18,51361.0,532301.0,583662.0,658968.0
2026-02-27,1710.77,1556.8,4.28,146150.0,544880.0,691030.0,843056.0
2026-02-28,1720.56,1565.71,4.3,75953.0,547998.0,623952.0,778886.0
2026-03-01,1720.41,1565.58,4.3,-204678.0,547953.0,343275.0,480106.0
2026-03-02,1724.85,1569.61,4.31,68986.0,549364.0,618350.0,699074.0
2026-03-03,1720.56,1565.71,4.3,110264.0,547998.0,658262.0,766420.0
2026-03-04,1667.38,1517.31,4.17,-32761.0,531058.0,498298.0,628212.0
2026-03-05,1735.03,1578.88,4.34,-1877.0,552608.0,550731.0,620975.0
2026-03-06,1755.0,1597.05,4.39,-47481.0,558968.0,511486.0,730972.0
2026-03-07,1735.03,1578.88,4.34,41387.0,552608.0,593995.0,641292.0
2026-03-08,1686.81,1535.0,4.22,35905.0,537250.0,573155.0,659196.0
2026-03-09,1715.59,1561.19,4.29,-71154.0,546416.0,475262.0,565149.0
2026-03-10,1705.18,1551.71,4.26,151323.0,543098.0,694422.0,748920.0
2026-03-11,1549.67,1410.2,3.87,-88774.0,493570.0,404796.0,688394.0
2026-03-12,1695.77,1543.15,4.24,-22335.0,540102.0,517768.0,654920.0
2026-03-13,1642.2,1494.4,4.11,90646.0,523040.0,613686.0,741918.0
2026-03-14,1543.06,1404.19,3.86,-132816.0,491466.0,358650.0,572830.0
2026-03-15,1705.03,1551.58,4.26,-223125.0,543053.0,319928.0,742584.0
2026-03-16,1716.13,1561.68,4.29,-153398.0,546588.0,393190.0,591740.0
2026-03-17,1695.77,1543.15,4.24,107385.0,540102.0,647488.0,805672.0
2026-03-18,1657.2,1508.05,4.14,6221.0,527818.0,534038.0,567684.0
2026-03-19,1582.94,1437.23,3.96,17637.0,503030.0,520668.0,749876.0
2026-03-20,1686.81,1538.25,4.22,-78288.0,538388.0,460100.0,557478.0
2026-03-21,1706.25,1552.69,4.27,-30988.0,543442.0,512454.0,555883.0
2026-03-22,1729.67,1574.0,4.32,90601.0,550900.0,641501.0,768538.0
2026-03-23,1730.06,1574.35,4.33,-864.0,551022.0,550158.0,598897.0
2026-03-24,1749.49,1592.04,4.37,8998.0,557214.0,566212.0,619118.0
2026-03-25,1744.67,1587.65,4.36,75365.0,555678.0,631042.0,674414.0
2026-03-26,1550.06,1410.55,3.88,-53552.0,493692.0,440140.0,790554.0
2026-03-27,1486.84,1353.03,3.72,-206937.0,473560.0,266624.0,654226.0
2026-03-28,1418.27,1290.63,3.55,-167444.0,451721.0,284277.0,478252.0
2026-03-29,1586.99,1444.16,3.97,17799.0,505456.0,523255.0,721258.0
2026-03-30,1653.78,1490.15,4.13,51109.0,521553.0,572662.0,689474.0
2026-03-31,1581.64,1454.08,3.95,-26624.0,508928.0,482304.0,642153.0
2026-04-01,1715.59,1561.19,4.29,-1018.0,546416.0,545398.0,627073.0
2026-04-02,1642.2,1494.4,4.11,-25883.0,523040.0,497157.0,605825.0
2026-04-03,1540.41,1401.78,3.85,131888.0,490623.0,622511.0,727895.0
2026-04-04,1538.99,1400.48,3.85,-23039.0,490168.0,467129.0,608722.0
2026-04-05,1695.92,1543.29,4.24,76828.0,540152.0,616980.0,758046.0
2026-04-06,1618.48,1472.81,4.05,9513.0,515484.0,524996.0,699660.0
2026-04-07,1686.51,1534.73,4.22,68548.0,537156.0,605704.0,705276.0
2026-04-08,1666.46,1516.48,4.17,44344.0,530768.0,575112.0,646032.0
2026-04-09,1607.14,1462.5,4.02,69525.0,511875.0,581400.0,680980.0
