date,charge_mwh,discharge_mwh,cycles,arb_net,cap_comp,net_total,pf_net_total
2026-02-01,1764.88,1224.46,4.41,-58263.0,428561.0,370298.0,727035.0
2026-02-02,1441.13,1693.0,3.6,183607.0,592550.0,776157.0,697625.0
2026-02-03,1597.89,1454.08,3.99,-19835.0,508928.0,489093.0,655282.0
2026-02-04,1528.99,1391.38,3.82,-80013.0,486983.0,406970.0,639507.0
2026-02-05,1603.78,1459.44,4.01,-18917.0,510804.0,491887.0,859680.0
2026-02-06,1482.02,1348.64,3.71,-36034.0,472024.0,435990.0,713979.0
2026-02-07,1662.02,1512.44,4.16,107396.0,529354.0,636750.0,678874.0
2026-02-08,1613.27,1468.08,4.03,-41804.0,513828.0,472024.0,640025.0
2026-02-09,1667.38,1384.23,4.17,113774.0,484480.0,598254.0,675586.0
2026-02-10,1521.13,1517.31,3.8,1960.0,531058.0,533018.0,704436.0
2026-02-11,1832.38,1432.14,4.58,3173.0,501249.0,504422.0,673227.0
2026-02-12,1357.71,1470.84,3.39,236929.0,514794.0,751723.0,793482.0
2026-02-13,1647.56,1499.28,4.12,-42990.0,524748.0,481758.0,583910.0
2026-02-14,1579.37,1437.23,3.95,18696.0,503030.0,521726.0,567822.0
2026-02-15,1701.13,1548.03,4.25,127608.0,541810.0,669418.0,718091.0
2026-02-16,1833.06,1339.03,4.58,-24429.0,468660.0,444232.0,679246.0
2026-02-17,1296.66,1509.03,3.24,44788.0,528160.0,572948.0,532838.0
2026-02-18,1676.49,1525.6,4.19,-13837.0,533960.0,520123.0,537462.0
2026-02-19,1735.56,1579.36,4.34,8653.0,552776.0,561429.0,531442.0
2026-02-20,1569.34,1428.1,3.92,7714.0,499835.0,507549.0,570930.0
2026-02-21,1891.54,1339.73,4.73,-38669.0,468906.0,430236.0,601138.0
2026-02-22,1330.56,1592.39,3.33,81070.0,557336.0,638406.0,648758.0
2026-02-23,1720.56,1565.71,4.3,167778.0,547998.0,715776.0,759012.0
2026-02-24,1685.74,1534.03,4.21,-137885.0,536910.0,399026.0,566146.0
2026-02-25,1701.13,1502.83,4.25,35470.0,525990.0,561460.0,725852.0
2026-02-26,1614.29,1499.41,4.04,20711.0,524794.0,545504.0,658968.0
2026-02-27,1688.78,1551.58,4.22,175873.0,543053.0,718926.0,843056.0
2026-02-28,1642.2,1494.4,4.11,116939.0,523040.0,639979.0,778886.0
2026-03-01,1715.74,1561.33,4.29,-226342.0,546466.0,320124.0,480106.0
2026-03-02,1715.74,1561.33,4.29,68380.0,546466.0,614846.0,699074.0
2026-03-03,1686.81,1535.0,4.22,128383.0,537250.0,665633.0,766420.0
2026-03-04,1710.77,1556.8,4.28,49754.0,544880.0,594634.0,628212.0
2026-03-05,1642.2,1494.4,4.11,-53604.0,523040.0,469436.0,620975.0
2026-03-06,1642.74,1494.89,4.11,3708.0,523212.0,526920.0,730972.0
2026-03-07,1720.03,1565.23,4.3,32191.0,547830.0,580022.0,641292.0
2026-03-08,1486.46,1352.68,3.72,-44917.0,473438.0,428521.0,659196.0
2026-03-09,1647.94,1468.08,4.12,-70590.0,513828.0,443238.0,565149.0
2026-03-10,1651.46,1534.38,4.13,127221.0,537033.0,664254.0,748920.0
2026-03-11,1735.03,1578.88,4.34,-34383.0,552608.0,518225.0,688394.0
2026-03-12,1696.31,1516.83,4.24,43352.0,530890.0,574242.0,654920.0
2026-03-13,1671.81,1548.16,4.18,-75004.0,541856.0,466852.0,741918.0
2026-03-14,1593.75,1450.31,3.98,-153441.0,507608.0,354168.0,572830.0
2026-03-15,1735.18,1579.01,4.34,-92553.0,552654.0,460100.0,742584.0
2026-03-16,1695.92,1410.2,4.24,-165423.0,493570.0,328147.0,591740.0
2026-03-17,1476.66,1476.85,3.69,62901.0,516897.0,579798.0,805672.0
2026-03-18,1456.99,1325.86,3.64,28295.0,464051.0,492346.0,567684.0
2026-03-19,1894.88,1384.23,4.74,-148945.0,484480.0,335536.0,749876.0
2026-03-20,1228.63,1458.16,3.07,156082.0,510356.0,666438.0,557478.0
2026-03-21,1735.03,1578.88,4.34,9900.0,552608.0,562508.0,555883.0
2026-03-22,1686.51,1534.73,4.22,112078.0,537156.0,649234.0,768538.0
