date,charge_mwh,discharge_mwh,cycles,arb_net,cap_comp,net_total,pf_net_total
2026-01-27,926.1,842.75,2.32,182968.0,294962.0,477930.0,779148.0
2026-01-28,1160.06,674.08,2.9,-445553.0,235928.0,-209625.0,950666.0
2026-01-29,552.5,529.45,1.38,-148060.0,185308.0,37248.0,966566.0
2026-01-30,734.49,1023.29,1.84,282372.0,358152.0,640524.0,470131.0
2026-01-31,726.28,527.83,1.82,97621.0,184740.0,282362.0,710328.0
2026-02-01,1150.56,1180.1,2.88,179635.0,413035.0,592670.0,592378.0
2026-02-02,979.67,758.41,2.45,66353.0,265444.0,331796.0,578514.0
2026-02-03,1108.27,760.04,2.77,9170.0,266014.0,275184.0,628842.0
2026-02-04,859.31,1163.55,2.15,149308.0,407242.0,556550.0,628490.0
2026-02-05,642.86,585.0,1.61,155137.0,204750.0,359887.0,748886.0
2026-02-06,847.89,771.58,2.12,-52818.0,270053.0,217235.0,484274.0
2026-02-07,760.56,692.11,1.9,164892.0,242238.0,407130.0,658384.0
2026-02-08,1345.41,842.75,3.36,9453.0,294962.0,304416.0,487080.0
2026-02-09,1472.23,1339.73,3.68,67927.0,468906.0,536832.0,661890.0
2026-02-10,838.63,1144.73,2.1,294608.0,400656.0,695264.0,782560.0
2026-02-11,775.03,705.28,1.94,79410.0,246848.0,326258.0,667488.0
2026-02-12,597.89,544.08,1.49,34465.0,190428.0,224893.0,628172.0
2026-02-13,770.03,700.73,1.93,41569.0,245256.0,286824.0,586130.0
2026-02-14,1038.06,563.06,2.6,34926.0,197071.0,231997.0,459982.0
2026-02-15,675.36,996.15,1.69,234254.0,348652.0,582906.0,755762.0
2026-02-16,721.46,656.53,1.8,115100.0,229786.0,344886.0,444503.0
2026-02-17,1091.79,993.52,2.73,2592.0,347732.0,350324.0,478693.0
2026-02-18,1026.99,801.48,2.57,33626.0,280518.0,314144.0,587626.0
2026-02-19,1291.46,926.74,3.23,18943.0,324359.0,343302.0,537828.0
2026-02-20,1189.52,1082.46,2.97,6004.0,378861.0,384865.0,529747.0
2026-02-21,728.06,906.29,1.82,71385.0,317202.0,388586.0,563656.0
2026-02-22,580.03,665.65,1.45,69522.0,232978.0,302500.0,530834.0
2026-02-23,633.6,576.58,1.58,159517.0,201803.0,361320.0,600634.0
2026-02-24,1116.49,634.43,2.79,30612.0,222050.0,252662.0,445073.0
2026-02-25,516.81,851.88,1.29,143811.0,298158.0,441969.0,648108.0
2026-02-26,565.56,514.66,1.41,2558.0,180131.0,182689.0,486814.0
2026-02-27,1277.38,916.88,3.19,-8301.0,320908.0,312607.0,623438.0
2026-02-28,1124.34,1268.69,2.81,9208.0,444042.0,453250.0,758378.0
2026-03-01,1077.17,980.23,2.69,-136365.0,343080.0,206716.0,241359.0
2026-03-02,1501.69,984.96,3.75,43529.0,344736.0,388265.0,600213.0
2026-03-03,978.24,1271.78,2.45,247527.0,445123.0,692650.0,700506.0
2026-03-04,876.96,798.04,2.19,3024.0,279314.0,282338.0,303220.0
2026-03-05,633.6,576.58,1.58,136408.0,201803.0,338211.0,687344.0
2026-03-06,731.25,665.44,1.83,23442.0,232904.0,256346.0,666092.0
2026-03-07,516.81,470.3,1.29,83628.0,164605.0,248233.0,465585.0
2026-03-08,565.56,514.66,1.41,127494.0,180131.0,307625.0,397536.0
2026-03-09,1125.92,643.01,2.81,37734.0,225054.0,262788.0,382902.0
2026-03-10,565.56,896.24,1.41,259138.0,313684.0,572822.0,779825.0
2026-03-11,516.81,470.3,1.29,-87768.0,164605.0,76837.0,624712.0
2026-03-12,1244.88,751.26,3.11,33524.0,262941.0,296465.0,539560.0
2026-03-13,984.49,1277.46,2.46,92135.0,447111.0,539246.0,639055.0
2026-03-14,623.96,567.8,1.56,-22989.0,198730.0,175741.0,208280.0
2026-03-15,794.31,722.83,1.99,-2425.0,252990.0,250566.0,684212.0
2026-03-16,1267.2,771.58,3.17,69256.0,270053.0,339309.0,534245.0
2026-03-17,1028.42,935.86,2.57,183702.0,327551.0,511253.0,793630.0
2026-03-18,906.81,1073.69,2.27,191058.0,375792.0,566850.0,475698.0
2026-03-19,1023.6,1064.56,2.56,254578.0,372596.0,627174.0,555244.0
2026-03-20,490.74,446.58,1.23,85361.0,156303.0,241664.0,496872.0
2026-03-21,1424.88,915.06,3.56,22470.0,320271.0,342741.0,459104.0
2026-03-22,740.74,1055.65,1.85,244099.0,369478.0,613576.0,637856.0
2026-03-23,711.81,647.75,1.78,31275.0,226712.0,257988.0,476045.0
2026-03-24,873.96,559.98,2.18,64364.0,195993.0,260357.0,476622.0
2026-03-25,660.71,836.58,1.65,277457.0,292803.0,570260.0,529576.0
2026-03-26,580.03,527.83,1.45,127232.0,184740.0,311972.0,737249.0
2026-03-27,1252.35,1139.64,3.13,-61551.0,398874.0,337323.0,470625.0
2026-03-28,880.74,801.48,2.2,-77048.0,280518.0,203470.0,353883.0
2026-03-29,877.35,798.39,2.19,-19417.0,279436.0,260020.0,539166.0
2026-03-30,614.31,559.03,1.54,-71186.0,195660.0,124474.0,466510.0
2026-03-31,919.31,836.58,2.3,124816.0,292803.0,417619.0,629095.0
2026-04-01,1632.94,1104.4,4.08,-57984.0,386540.0,328556.0,488538.0
2026-04-02,942.56,857.73,2.36,215101.0,300206.0,515306.0,414187.0
2026-04-03,740.74,1055.65,1.85,177778.0,369478.0,547256.0,685283.0
2026-04-04,1257.94,763.15,3.14,74739.0,267102.0,341842.0,522504.0
2026-04-05,598.06,925.81,1.5,231777.0,324034.0,555810.0,626914.0
2026-04-06,891.81,811.55,2.23,185602.0,284042.0,469644.0,596421.0
2026-04-07,978.24,757.11,2.45,-40327.0,264988.0,224662.0,565912.0
2026-04-08,760.56,825.2,1.9,40646.0,288820.0,329466.0,576223.0
2026-04-09,929.49,464.26,2.32,-22429.0,162491.0,140062.0,586827.0
2026-04-10,568.21,898.65,1.42,144572.0,314528.0,459100.0,837124.0
2026-04-11,942.53,671.12,2.36,18401.0,234892.0,253293.0,458618.0
