date,charge_mwh,discharge_mwh,cycles,arb_net,cap_comp,net_total,pf_net_total
2026-01-27,1823.51,1526.3,4.56,-214643.0,534205.0,319562.0,854473.0
2026-01-28,1872.26,1526.3,4.68,-563792.0,534205.0,-29587.0,997258.0
2026-01-29,1755.32,1526.3,4.39,-640463.0,534205.0,-106258.0,1060422.0
2026-01-30,1677.26,1672.55,4.19,186711.0,585392.0,772104.0,626823.0
2026-01-31,1677.26,1721.3,4.19,111887.0,602455.0,714342.0,711344.0
2026-02-01,1693.51,1566.63,4.23,-92306.0,548320.0,456014.0,727035.0
2026-02-02,1856.01,1526.3,4.64,-178377.0,534205.0,355828.0,711682.0
2026-02-03,1872.26,1526.3,4.68,-77856.0,534205.0,456349.0,623976.0
2026-02-04,1706.57,1542.55,4.27,124820.0,539892.0,664712.0,600144.0
2026-02-05,1677.26,1705.05,4.19,84800.0,596768.0,681568.0,966830.0
2026-02-06,1677.26,1712.88,4.19,23329.0,599508.0,622837.0,713979.0
2026-02-07,1726.01,1526.3,4.32,-46887.0,534205.0,487318.0,703390.0
2026-02-08,1872.26,1526.3,4.68,-127058.0,534205.0,407147.0,634346.0
2026-02-09,1852.82,1526.3,4.63,-84751.0,534205.0,449454.0,632360.0
2026-02-10,1677.26,1575.05,4.19,-50995.0,551268.0,500272.0,832820.0
2026-02-11,1677.26,1721.3,4.19,41342.0,602455.0,643797.0,662015.0
2026-02-12,1677.26,1664.13,4.19,87036.0,582446.0,669482.0,793482.0
2026-02-13,1774.76,1526.3,4.44,-46328.0,534205.0,487877.0,583958.0
2026-02-14,1872.26,1526.3,4.68,-490.0,534205.0,533715.0,524558.0
2026-02-15,1804.07,1526.3,4.51,-110524.0,534205.0,423681.0,844086.0
2026-02-16,1677.26,1623.8,4.19,149914.0,568330.0,718244.0,682298.0
2026-02-17,1677.26,1721.3,4.19,18131.0,602455.0,620586.0,532838.0
2026-02-18,1677.26,1615.38,4.19,24005.0,565383.0,589388.0,537462.0
2026-02-19,1823.51,1526.3,4.56,15730.0,534205.0,549935.0,531442.0
2026-02-20,1872.26,1526.3,4.68,17949.0,534205.0,552154.0,550565.0
2026-02-21,1755.32,1526.3,4.39,-52778.0,534205.0,481427.0,634601.0
2026-02-22,1677.26,1672.55,4.19,13636.0,585392.0,599028.0,648758.0
2026-02-23,1677.26,1721.3,4.19,11741.0,602455.0,614196.0,759478.0
2026-02-24,1693.51,1566.63,4.23,1992.0,548320.0,550312.0,573168.0
2026-02-25,1856.01,1526.3,4.64,-82093.0,534205.0,452112.0,699318.0
2026-02-26,1872.26,1526.3,4.68,-150019.0,534205.0,384186.0,658968.0
2026-02-27,1706.57,1542.55,4.27,-136222.0,539892.0,403670.0,843056.0
2026-02-28,1677.26,1705.05,4.19,12232.0,596768.0,609000.0,778886.0
2026-03-01,1677.26,1712.88,4.19,-35183.0,599508.0,564325.0,515820.0
2026-03-02,1726.01,1526.3,4.32,-60089.0,534205.0,474116.0,634708.0
2026-03-03,1872.26,1526.3,4.68,-174815.0,534205.0,359390.0,770524.0
2026-03-04,1852.82,1526.3,4.63,-165991.0,534205.0,368214.0,628212.0
2026-03-05,1677.26,1575.05,4.19,112645.0,551268.0,663912.0,663580.0
2026-03-06,1677.26,1721.3,4.19,139570.0,602455.0,742025.0,740043.0
