MAE,RMSE,MAPE(%),sMAPE(%),wMAPE(%),MAPE_filtered(%),count,fold,train_start,train_end,val_start,val_end,best_iteration
202.4949,288.5447,1385.5,38.1,37.2,36.63,1330,1,2022-08-01,2023-01-31 23:45:00,2023-02-01,2023-02-14 23:45:00,24
86.0976,156.3259,1023.26,49.94,35.61,40.18,1330,2,2022-09-01,2023-02-28 23:45:00,2023-03-01,2023-03-14 23:45:00,107
113.556,225.2208,35.68,30.21,34.07,31.79,1330,3,2022-10-01,2023-03-31 23:45:00,2023-04-01,2023-04-14 23:45:00,111
124.4424,190.2868,32.88,27.63,28.29,32.56,1330,4,2022-11-01,2023-04-30 23:45:00,2023-05-01,2023-05-14 23:45:00,61
216.5083,297.257,41.93,33.19,28.18,33.49,1330,5,2022-12-01,2023-05-31 23:45:00,2023-06-01,2023-06-14 23:45:00,153
174.6353,254.426,39.73,30.88,27.07,39.73,1330,6,2023-01-01,2023-06-30 23:45:00,2023-07-01,2023-07-14 23:45:00,180
208.7776,304.1772,24.39,24.98,24.23,24.39,1330,7,2023-02-01,2023-07-31 23:45:00,2023-08-01,2023-08-14 23:45:00,108
192.4494,270.82,24.35,23.42,19.41,24.35,1330,8,2023-03-01,2023-08-31 23:45:00,2023-09-01,2023-09-14 23:45:00,125
201.2638,271.9426,29.79,23.41,22.47,29.79,1330,9,2023-04-01,2023-09-30 23:45:00,2023-10-01,2023-10-14 23:45:00,352
169.4807,243.8225,2526.57,29.89,22.82,28.39,1330,10,2023-05-01,2023-10-31 23:45:00,2023-11-01,2023-11-14 23:45:00,259
243.0544,372.6516,573.38,39.68,40.09,38.31,1330,11,2023-06-01,2023-11-30 23:45:00,2023-12-01,2023-12-14 23:45:00,204
154.3971,242.5372,390.44,47.75,32.24,36.55,1330,12,2023-07-01,2023-12-31 23:45:00,2024-01-01,2024-01-14 23:45:00,449
230.6605,312.6216,4711.6,67.85,37.5,50.51,1330,13,2023-08-01,2024-01-31 23:45:00,2024-02-01,2024-02-14 23:45:00,221
176.1657,242.3303,1998.31,47.58,29.39,30.84,1330,14,2023-09-01,2024-02-29 23:45:00,2024-03-01,2024-03-14 23:45:00,161
115.5358,147.7923,473224.26,37.15,28.12,30.4,1330,15,2023-10-01,2024-03-31 23:45:00,2024-04-01,2024-04-14 23:45:00,74
113.5432,164.0401,1478.68,32.58,22.3,22.18,1330,16,2023-11-01,2024-04-30 23:45:00,2024-05-01,2024-05-14 23:45:00,103
135.9603,174.5917,297.38,27.76,25.91,31.44,1330,17,2023-12-01,2024-05-31 23:45:00,2024-06-01,2024-06-14 23:45:00,31
337.0765,405.2404,29.16,32.02,30.1,29.16,1330,18,2024-01-01,2024-06-30 23:45:00,2024-07-01,2024-07-14 23:45:00,130
536.8328,553.5577,16073.91,162.24,624.01,145.11,1330,19,2024-02-01,2024-07-31 23:45:00,2024-08-01,2024-08-14 23:45:00,1
63.3871,143.9349,337.26,92.0,46.08,31.53,1330,20,2024-03-01,2024-08-31 23:45:00,2024-09-01,2024-09-14 23:45:00,201
149.0701,235.5709,1276.77,64.06,50.15,56.49,1330,21,2024-04-01,2024-09-30 23:45:00,2024-10-01,2024-10-14 23:45:00,130
148.9307,181.996,33909.31,58.51,48.22,40.19,1330,22,2024-05-01,2024-10-31 23:45:00,2024-11-01,2024-11-14 23:45:00,27
144.6763,263.1359,46.71,39.12,32.99,28.66,1330,23,2024-06-01,2024-11-30 23:45:00,2024-12-01,2024-12-14 23:45:00,262
171.9066,283.8067,171.91,50.25,46.12,48.42,1330,24,2024-07-01,2024-12-31 23:45:00,2025-01-01,2025-01-14 23:45:00,3
98.6409,214.6024,10963.97,78.78,43.62,33.54,1330,25,2024-08-01,2025-01-31 23:45:00,2025-02-01,2025-02-14 23:45:00,187
153.8884,240.1819,17165.55,60.12,44.82,39.26,1330,26,2024-09-01,2025-02-28 23:45:00,2025-03-01,2025-03-14 23:45:00,40
94.6117,160.9031,196629.53,94.97,56.19,47.85,1330,27,2024-10-01,2025-03-31 23:45:00,2025-04-01,2025-04-14 23:45:00,229
120.5944,199.276,697.68,80.95,63.85,64.99,1330,28,2024-11-01,2025-04-30 23:45:00,2025-05-01,2025-05-14 23:45:00,177
115.5608,176.4794,4745.32,83.89,45.33,42.83,1330,29,2024-12-01,2025-05-31 23:45:00,2025-06-01,2025-06-14 23:45:00,178
102.8644,146.7468,19895.62,45.82,36.27,34.33,1330,30,2025-01-01,2025-06-30 23:45:00,2025-07-01,2025-07-14 23:45:00,13
136.7299,195.8112,103.76,54.67,33.06,30.63,1330,31,2025-02-01,2025-07-31 23:45:00,2025-08-01,2025-08-14 23:45:00,386
81.2353,125.638,526.6,78.26,45.48,39.88,1330,32,2025-03-01,2025-08-31 23:45:00,2025-09-01,2025-09-14 23:45:00,133
210.1325,309.9668,147.52,52.45,39.68,36.47,1330,33,2025-04-01,2025-09-30 23:45:00,2025-10-01,2025-10-14 23:45:00,209
81.2806,99.54,320.32,58.3,37.53,30.8,1330,34,2025-05-01,2025-10-31 23:45:00,2025-11-01,2025-11-14 23:45:00,44
