date,pred_native_15m,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end,gross,aux_cost,net,pf_gross,pf_aux_cost,pf_net
2026-01-27,False,03:00–16:00,05:15–22:30,1200.0,1092.0,-0.0,267117.0,6146.0,260971.0,481164.0,6146.0,475018.0
2026-01-28,False,09:00–24:00,16:15–18:30,1200.0,341.25,787.0,-526428.0,9777.0,-536205.0,608656.0,9777.0,598879.0
2026-01-29,False,00:45–10:45,03:15–17:00,647.38,1339.86,-0.0,676523.0,9796.0,666727.0,676336.0,9796.0,666540.0
2026-01-30,False,00:00–16:00,03:00–23:30,1200.0,1092.0,0.0,-465.0,5429.0,-5894.0,62496.0,5429.0,57067.0
2026-01-31,False,10:00–20:15,11:15–24:00,980.54,892.29,0.0,282690.0,2370.0,280320.0,499116.0,2370.0,496746.0
2026-02-01,False,00:00–17:00,01:45–23:15,1085.41,987.73,0.0,281481.0,2214.0,279267.0,405033.0,2214.0,402819.0
2026-02-02,False,06:00–17:00,08:00–21:45,984.64,896.03,0.0,154133.0,2432.0,151701.0,230911.0,2432.0,228478.0
2026-02-03,False,05:30–24:00,07:00–21:30,1200.0,914.55,186.0,50956.0,883.0,50073.0,301758.0,883.0,300875.0
2026-02-04,False,00:00–20:45,01:30–19:00,1200.0,506.3,800.0,89377.0,332.0,89046.0,163669.0,332.0,163337.0
2026-02-05,False,09:30–17:00,00:00–22:00,945.77,1623.8,0.0,589011.0,4539.0,584473.0,652534.0,4539.0,647996.0
2026-02-06,False,12:30–16:30,16:45–20:30,682.5,621.08,0.0,-35905.0,3964.0,-39869.0,128544.0,3964.0,124580.0
2026-02-07,False,04:00–15:15,07:00–23:15,1200.0,1092.0,-0.0,281865.0,1088.0,280777.0,377130.0,1088.0,376042.0
2026-02-08,False,05:30–24:00,07:00–20:15,1200.0,860.65,242.5,84960.0,927.0,84033.0,134503.0,927.0,133576.0
2026-02-09,False,01:15–24:00,06:30–20:15,1200.0,560.2,800.0,38166.0,-112.0,38278.0,185833.0,-112.0,185945.0
2026-02-10,False,01:15–16:00,00:00–21:30,1007.56,1680.03,0.0,418683.0,2324.0,416359.0,552391.0,2324.0,550067.0
2026-02-11,False,02:30–15:00,06:45–23:15,1200.0,1092.0,-0.0,112447.0,309.0,112139.0,239177.0,309.0,238868.0
2026-02-12,False,09:30–17:00,11:00–22:30,945.77,860.65,0.0,26733.0,1399.0,25335.0,276805.0,1399.0,275406.0
2026-02-13,False,00:45–24:00,02:30–22:00,1200.0,940.6,158.7,7828.0,141.0,7687.0,193954.0,141.0,193813.0
2026-02-14,False,00:00–23:15,02:45–20:15,1200.0,480.25,800.0,49860.0,-550.0,50410.0,69701.0,-550.0,70252.0
2026-02-15,False,09:45–15:15,02:45–22:45,838.63,1526.3,0.0,487367.0,2070.0,485297.0,544388.0,2070.0,542318.0
2026-02-16,False,00:00–16:45,01:15–23:00,1070.77,974.4,0.0,242893.0,2544.0,240349.0,285497.0,2544.0,282953.0
2026-02-17,False,08:00–24:00,08:30–22:30,1108.27,875.44,139.5,11642.0,-117.0,11758.0,50572.0,-117.0,50689.0
