date,pred_native_15m,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end,gross,aux_cost,net,pf_gross,pf_aux_cost,pf_net
2026-01-27,False,03:00–19:00,05:45–24:00,1200.0,1092.0,0.0,353964.0,6146.0,347818.0,481164.0,6146.0,475018.0
2026-01-28,False,00:00–22:30,02:00–18:15,1200.0,328.85,800.0,-480239.0,9777.0,-490016.0,608656.0,9777.0,598879.0
2026-01-29,False,08:00–24:00,02:30–14:15,1200.0,1206.78,679.7,-32294.0,9796.0,-42090.0,676336.0,9796.0,666540.0
2026-01-30,False,08:15–21:00,02:00–23:00,1017.86,1574.63,0.0,394308.0,5429.0,388879.0,62496.0,5429.0,57067.0
2026-01-31,False,00:00–16:15,01:15–21:15,910.06,828.15,-0.0,255002.0,2370.0,252632.0,499116.0,2370.0,496746.0
2026-02-01,False,00:30–16:00,02:30–24:00,1200.0,1092.0,0.0,303601.0,2214.0,301387.0,405033.0,2214.0,402819.0
2026-02-02,False,03:00–16:15,07:00–21:15,1131.13,1029.33,0.0,58454.0,2432.0,56021.0,230911.0,2432.0,228478.0
2026-02-03,False,10:00–24:00,16:45–19:30,1200.0,438.75,684.8,-1399.0,883.0,-2281.0,301758.0,883.0,300875.0
2026-02-04,False,05:00–17:00,00:15–12:00,1139.11,926.69,800.0,165354.0,332.0,165022.0,163669.0,332.0,163337.0
2026-02-05,False,11:30–16:30,00:00–22:15,838.63,1526.3,-0.0,783241.0,4539.0,778702.0,652534.0,4539.0,647996.0
2026-02-06,False,00:00–16:15,02:00–19:15,838.39,762.94,0.0,18990.0,3964.0,15026.0,128544.0,3964.0,124580.0
2026-02-07,False,03:00–17:00,03:30–22:30,1116.49,1016.0,0.0,301240.0,1088.0,300152.0,377130.0,1088.0,376042.0
2026-02-08,False,06:00–24:00,07:15–21:00,1200.0,828.15,276.6,96844.0,927.0,95917.0,134503.0,927.0,133576.0
2026-02-09,False,01:30–24:00,06:45–20:45,1200.0,592.7,800.0,31535.0,-112.0,31647.0,185833.0,-112.0,185945.0
2026-02-10,False,04:30–15:00,01:45–21:30,984.88,1659.39,0.0,448875.0,2324.0,446550.0,552391.0,2324.0,550067.0
2026-02-11,False,02:30–15:30,04:15–23:00,1105.06,1005.6,0.0,102128.0,309.0,101819.0,239177.0,309.0,238868.0
2026-02-12,False,01:30–17:00,03:00–23:15,1052.91,958.15,0.0,22462.0,1399.0,21063.0,276805.0,1399.0,275406.0
2026-02-13,False,00:00–24:00,01:45–22:15,1200.0,940.6,158.7,69858.0,141.0,69717.0,193954.0,141.0,193813.0
2026-02-14,False,01:30–23:00,00:00–20:15,1200.0,480.25,800.0,44313.0,-550.0,44863.0,69701.0,-550.0,70252.0
2026-02-15,False,10:00–15:00,03:00–22:15,838.63,1526.3,-0.0,478430.0,2070.0,476360.0,544388.0,2070.0,542318.0
2026-02-16,False,00:00–16:30,01:15–22:30,1145.59,1042.49,-0.0,261446.0,2544.0,258903.0,285497.0,2544.0,282953.0
2026-02-17,False,01:00–24:00,02:15–22:15,1197.74,868.13,232.5,11501.0,-117.0,11618.0,50572.0,-117.0,50689.0
2026-02-18,False,00:00–24:00,02:15–22:00,1200.0,1286.51,28.6,-4394.0,-591.0,-3803.0,27406.0,-591.0,27996.0
2026-02-19,False,02:15–22:15,00:00–19:30,1200.0,356.15,800.0,42103.0,-652.0,42755.0,5653.0,-652.0,6306.0
2026-02-20,False,07:00–24:00,01:45–23:00,1131.13,1388.13,423.9,-12850.0,-652.0,-12198.0,5400.0,-652.0,6051.0
2026-02-21,False,01:00–20:30,01:30–19:00,1200.0,733.2,800.0,11860.0,278.0,11582.0,212086.0,278.0,211808.0
2026-02-22,False,02:45–16:30,00:00–22:15,1189.52,1845.62,-0.0,123944.0,197.0,123747.0,216253.0,197.0,216056.0
2026-02-23,False,01:00–17:00,03:00–22:30,1200.0,1092.0,0.0,225738.0,1391.0,224347.0,348534.0,1391.0,347143.0
2026-02-24,False,11:00–24:00,18:00–20:15,1200.0,328.85,800.0,58281.0,374.0,57907.0,74780.0,374.0,74406.0
2026-02-25,False,01:30–24:00,00:15–22:30,1200.0,1092.0,800.0,-4068.0,860.0,-4928.0,272253.0,860.0,271393.0
