date,pred_native_15m,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end,gross,aux_cost,net,pf_gross,pf_aux_cost,pf_net
2026-01-27,False,01:45–16:00,06:45–22:00,1200.0,1092.0,0.0,228465.0,6146.0,222318.0,481164.0,6146.0,475018.0
2026-01-28,False,00:00–15:15,05:00–24:00,1200.0,1092.0,0.0,378741.0,9777.0,368964.0,608656.0,9777.0,598879.0
2026-01-29,False,01:00–22:15,08:30–24:00,886.61,806.81,0.0,-239899.0,9796.0,-249696.0,676336.0,9796.0,666540.0
2026-01-30,False,04:45–20:15,06:45–24:00,1200.0,1092.0,0.0,143712.0,5429.0,138283.0,62496.0,5429.0,57067.0
2026-01-31,False,11:00–16:00,16:45–22:30,838.63,763.15,0.0,268161.0,2370.0,265791.0,499116.0,2370.0,496746.0
2026-02-01,False,00:00–16:15,01:15–24:00,1092.02,993.74,0.0,329842.0,2214.0,327628.0,405033.0,2214.0,402819.0
2026-02-02,False,00:00–15:30,04:00–22:15,1160.06,1055.65,0.0,70847.0,2432.0,68415.0,230911.0,2432.0,228478.0
2026-02-03,False,01:00–18:00,03:00–23:15,1200.0,1092.0,-0.0,122738.0,883.0,121856.0,301758.0,883.0,300875.0
2026-02-04,False,02:45–17:00,04:15–05:30,984.88,133.09,800.0,13665.0,332.0,13333.0,163669.0,332.0,163337.0
2026-02-05,False,03:30–19:30,00:45–24:00,982.14,1656.9,0.0,685553.0,4539.0,681014.0,652534.0,4539.0,647996.0
2026-02-06,False,11:30–16:30,16:45–23:00,838.63,763.15,0.0,-69043.0,3964.0,-73007.0,128544.0,3964.0,124580.0
2026-02-07,False,02:45–16:00,07:45–22:15,1200.0,1092.0,-0.0,249948.0,1088.0,248859.0,377130.0,1088.0,376042.0
2026-02-08,False,03:30–24:00,05:00–22:00,1200.0,860.65,242.5,103791.0,927.0,102864.0,134503.0,927.0,133576.0
2026-02-09,False,00:45–21:00,06:45–18:15,1200.0,560.2,800.0,56773.0,-112.0,56885.0,185833.0,-112.0,185945.0
2026-02-10,False,05:15–16:00,01:45–22:15,984.88,1659.39,0.0,356900.0,2324.0,354576.0,552391.0,2324.0,550067.0
2026-02-11,False,00:00–14:15,01:15–22:00,1200.0,1092.0,0.0,82781.0,309.0,82472.0,239177.0,309.0,238868.0
2026-02-12,False,00:00–16:15,01:15–22:00,1200.0,1092.0,-0.0,102424.0,1399.0,101025.0,276805.0,1399.0,275406.0
2026-02-13,False,04:30–16:30,06:45–23:00,1200.0,1092.0,-0.0,84125.0,141.0,83984.0,193954.0,141.0,193813.0
2026-02-14,False,00:00–23:00,03:30–21:45,1200.0,328.85,800.0,40860.0,-550.0,41411.0,69701.0,-550.0,70252.0
2026-02-15,False,05:00–15:00,01:30–24:00,857.14,1543.15,0.0,470532.0,2070.0,468462.0,544388.0,2070.0,542318.0
2026-02-16,False,01:30–16:00,04:00–22:00,1179.88,1073.69,-0.0,222752.0,2544.0,220209.0,285497.0,2544.0,282953.0
2026-02-17,False,10:00–17:15,11:15–24:00,903.63,822.3,0.0,4066.0,-117.0,4183.0,50572.0,-117.0,50689.0
2026-02-18,False,03:00–24:00,05:00–19:00,1200.0,328.85,800.0,49486.0,-591.0,50077.0,27406.0,-591.0,27996.0
2026-02-19,False,05:00–24:00,00:00–20:00,1200.0,1092.0,800.0,5282.0,-652.0,5935.0,5653.0,-652.0,6306.0
2026-02-20,False,03:15–24:00,00:30–21:00,1200.0,1092.0,800.0,5400.0,-652.0,6052.0,5400.0,-652.0,6051.0
2026-02-21,False,01:45–20:00,00:00–24:00,1197.74,1236.19,646.7,39974.0,278.0,39696.0,212086.0,278.0,211808.0
2026-02-22,False,01:45–16:00,03:30–22:15,984.88,1513.14,0.0,126421.0,197.0,126224.0,216253.0,197.0,216056.0
2026-02-23,False,11:15–16:15,18:00–22:30,838.63,763.15,-0.0,243205.0,1391.0,241814.0,348534.0,1391.0,347143.0
2026-02-24,False,07:00–24:00,09:00–20:15,1200.0,328.85,800.0,23260.0,374.0,22886.0,74780.0,374.0,74406.0
2026-02-25,False,02:15–22:00,00:00–24:00,1104.29,1248.65,544.5,89269.0,860.0,88409.0,272253.0,860.0,271393.0
2026-02-26,False,03:45–23:00,00:00–24:00,1179.88,1593.09,0.0,61811.0,3087.0,58724.0,100220.0,3087.0,97133.0
2026-02-27,False,00:45–24:00,03:45–18:45,1200.0,328.85,800.0,-259241.0,2965.0,-262206.0,378128.0,2965.0,375163.0
2026-02-28,False,03:45–15:30,00:00–24:00,823.39,1512.44,0.0,125719.0,2835.0,122884.0,443160.0,2835.0,440326.0
2026-03-01,False,01:00–22:15,02:15–24:00,1200.0,1092.0,0.0,-103959.0,5358.0,-109317.0,27026.0,5358.0,21669.0
2026-03-02,False,04:30–18:00,10:00–12:15,1200.0,328.85,800.0,41333.0,260.0,41073.0,265755.0,260.0,265495.0
2026-03-03,False,07:30–24:00,01:15–22:15,1092.02,1623.8,139.5,365522.0,1906.0,363615.0,403617.0,1906.0,401710.0
2026-03-04,False,00:00–16:30,05:30–22:15,1200.0,1225.09,-0.0,15615.0,4269.0,11345.0,169215.0,4269.0,164946.0
2026-03-05,False,04:00–17:15,05:15–24:00,1025.41,559.98,391.2,147799.0,1457.0,146342.0,324478.0,1457.0,323021.0
2026-03-06,False,04:30–16:00,01:00–21:15,945.77,1233.8,0.0,133558.0,4789.0,128770.0,211836.0,4789.0,207048.0
2026-03-07,False,05:30–17:00,08:15–24:00,1200.0,670.1,442.3,106684.0,821.0,105864.0,227119.0,821.0,226298.0
2026-03-08,False,04:00–17:00,01:00–24:00,984.88,1318.14,0.0,394739.0,2365.0,392374.0,289472.0,2365.0,287107.0
2026-03-09,False,10:00–24:00,18:00–20:15,1200.0,328.85,800.0,50086.0,1054.0,49032.0,102471.0,1054.0,101417.0
2026-03-10,False,08:30–17:00,02:30–24:00,1052.91,1721.3,0.0,436757.0,1954.0,434804.0,525050.0,1954.0,523096.0
2026-03-11,False,00:00–23:00,02:30–21:15,1200.0,1049.96,44.1,-110635.0,4419.0,-115054.0,253617.0,4419.0,249197.0
2026-03-12,False,05:00–18:30,01:15–12:45,1200.0,370.88,800.0,40363.0,-157.0,40520.0,125448.0,-157.0,125605.0
2026-03-13,False,04:00–15:30,01:45–24:00,926.25,1379.14,237.9,375231.0,2747.0,372484.0,493332.0,2747.0,490585.0
2026-03-14,False,00:00–16:30,01:15–23:00,1125.0,1250.65,0.0,104889.0,4872.0,100017.0,-138018.0,4872.0,-142890.0
2026-03-15,False,00:30–16:00,03:00–21:15,1179.88,1073.69,0.0,34729.0,4203.0,30525.0,460841.0,4203.0,456638.0
2026-03-16,False,09:45–24:00,18:00–20:15,1200.0,341.25,787.0,89151.0,542.0,88609.0,165050.0,542.0,164508.0
2026-03-17,False,02:00–19:00,00:30–08:30,984.88,883.84,800.0,299143.0,2556.0,296587.0,569951.0,2556.0,567396.0
2026-03-18,False,10:45–24:00,00:30–20:15,1200.0,1153.15,735.9,265156.0,1565.0,263591.0,311284.0,1565.0,309720.0
2026-03-19,False,00:00–15:15,02:30–24:00,905.83,1526.3,0.0,484262.0,2350.0,481912.0,451842.0,2350.0,449492.0
2026-03-20,False,11:45–16:45,17:45–22:15,838.63,763.15,-0.0,151449.0,1595.0,149854.0,208137.0,1595.0,206542.0
2026-03-21,False,00:00–21:15,01:15–19:00,1200.0,328.85,800.0,20385.0,-175.0,20560.0,104482.0,-175.0,104658.0
2026-03-22,False,09:00–22:45,01:45–24:00,964.29,1640.65,0.0,419336.0,4204.0,415132.0,437997.0,4204.0,433793.0
2026-03-23,False,12:00–17:00,18:30–24:00,838.63,763.15,0.0,81544.0,967.0,80577.0,132240.0,967.0,131273.0
2026-03-24,False,06:00–17:00,07:15–24:00,942.56,484.57,391.2,166973.0,817.0,166156.0,332146.0,817.0,331329.0
2026-03-25,False,08:45–15:45,00:30–24:00,838.63,1136.3,0.0,481855.0,2470.0,479385.0,419262.0,2470.0,416792.0
2026-03-26,False,00:00–20:00,01:45–24:00,1200.0,1000.95,95.4,162466.0,5072.0,157394.0,466409.0,5072.0,461338.0
2026-03-27,False,02:15–21:00,06:00–24:00,864.23,877.5,0.0,203467.0,5869.0,197598.0,345203.0,5869.0,339334.0
2026-03-28,False,02:15–24:00,06:00–11:30,1200.0,552.5,565.5,-162011.0,4219.0,-166230.0,50821.0,4219.0,46602.0
2026-03-29,False,00:00–23:00,03:30–24:00,1200.0,1167.56,486.3,34809.0,3748.0,31061.0,230716.0,3748.0,226968.0
2026-03-30,False,00:00–16:15,02:00–21:30,1200.0,1555.94,-0.0,224184.0,5132.0,219052.0,282363.0,5132.0,277231.0
2026-03-31,False,06:00–16:00,08:15–24:00,1033.63,940.6,0.0,265760.0,1183.0,264577.0,304199.0,1183.0,303016.0
2026-04-01,False,00:00–17:30,01:15–22:30,984.88,896.24,0.0,284204.0,4059.0,280145.0,317224.0,4059.0,313165.0
2026-04-02,False,00:00–24:00,04:00–20:00,1200.0,328.85,800.0,16147.0,533.0,15613.0,143156.0,533.0,142623.0
2026-04-03,False,01:30–16:15,01:00–22:30,1090.36,1755.38,0.0,350716.0,1000.0,349715.0,389270.0,1000.0,388270.0
2026-04-04,False,06:45–17:45,10:30–24:00,1200.0,1092.0,0.0,102929.0,160.0,102769.0,184264.0,160.0,184104.0
2026-04-05,False,01:45–14:00,04:30–24:00,1200.0,1092.0,0.0,265609.0,928.0,264681.0,367383.0,928.0,366455.0
2026-04-06,False,00:00–16:00,01:15–24:00,926.31,842.94,0.0,289157.0,1877.0,287280.0,327511.0,1877.0,325634.0
2026-04-07,False,12:30–24:00,18:30–20:45,1200.0,328.85,800.0,24574.0,2348.0,22226.0,224778.0,2348.0,222430.0
2026-04-08,False,03:30–10:00,00:00–22:30,714.29,1413.15,-0.0,128649.0,511.0,128137.0,193651.0,511.0,193140.0
2026-04-09,False,08:45–17:15,10:30–24:00,1033.63,940.6,0.0,137493.0,1976.0,135517.0,362660.0,1976.0,360684.0
2026-04-10,False,06:00–16:00,07:15–24:00,927.91,844.4,0.0,610856.0,2411.0,608445.0,658756.0,2411.0,656345.0
2026-04-11,False,09:00–24:00,15:15–22:00,1200.0,328.85,800.0,25645.0,1638.0,24007.0,164456.0,1638.0,162819.0
2026-04-12,False,09:00–14:00,00:45–22:00,838.63,1526.3,-0.0,157226.0,1428.0,155798.0,365209.0,1428.0,363781.0
2026-04-13,False,02:00–21:30,09:45–23:30,1200.0,1092.0,-0.0,-1934.0,2333.0,-4267.0,257982.0,2333.0,255649.0
2026-04-14,False,00:00–16:00,01:15–24:00,984.88,896.24,0.0,214263.0,3529.0,210733.0,319453.0,3529.0,315924.0
2026-04-15,False,04:00–22:45,05:00–24:00,1200.0,475.1,646.7,81670.0,341.0,81329.0,189972.0,341.0,189631.0
2026-04-16,False,00:00–23:30,03:00–21:00,1200.0,1250.65,480.4,141987.0,2107.0,139880.0,252926.0,2107.0,250819.0
2026-04-17,False,00:00–16:30,02:15–22:15,1200.0,1550.25,0.0,76583.0,454.0,76130.0,345871.0,454.0,345417.0
