date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,1.0,471.7,680.39,769.99,836.48,156.09,838.63,763.15,340552.0,475018.0,0.716924411285467
2026-01-28,1.0,750.33,435.94,491.05,516.3,80.36,1200.0,341.25,-541935.0,598879.0,-0.9049156841365285
2026-01-29,1.0,751.84,487.0,546.77,582.1,95.11,1182.32,1072.5,-38870.0,666540.0,-0.05831608005521049
2026-01-30,1.0,416.66,446.88,498.38,528.55,81.67,243.75,975.98,463381.0,57067.0,8.119946729283123
2026-01-31,1.0,181.89,212.74,240.25,285.72,72.99,838.63,763.15,238423.0,496746.0,0.47996964243295365
2026-02-01,1.0,169.92,36.68,67.73,100.17,63.49,838.63,763.15,329724.0,402819.0,0.8185413299769871
2026-02-02,1.0,186.67,238.44,272.69,311.49,73.05,803.57,731.25,148784.0,228478.0,0.6511961764371187
2026-02-03,1.0,67.73,-34.72,-11.45,26.47,61.18,1200.0,328.85,4954.0,300875.0,0.01646530951391774
2026-02-04,1.0,25.46,41.29,73.99,102.96,61.67,838.63,763.15,182561.0,163337.0,1.117695317043903
2026-02-05,1.0,348.31,267.73,300.62,329.33,61.6,838.63,1526.3,760573.0,647996.0,1.1737310106852512
2026-02-06,1.0,304.23,363.86,399.2,430.03,66.17,731.25,665.44,4737.0,124580.0,0.03802375983303901
2026-02-07,1.0,83.54,40.62,63.33,93.82,53.2,838.63,763.15,279296.0,376042.0,0.7427255466144739
2026-02-08,1.0,71.13,71.18,93.97,126.86,55.68,838.63,763.15,97670.0,133576.0,0.7311942265077559
2026-02-09,1.0,-8.61,-31.55,-3.33,26.57,58.12,838.63,0.0,-6869.0,185945.0,-0.0369410309500121
2026-02-10,1.0,178.38,122.12,153.27,184.77,62.65,838.63,1526.3,429512.0,550067.0,0.780835789094783
2026-02-11,1.0,23.69,20.84,46.06,76.3,55.47,838.63,763.15,144093.0,238868.0,0.6032327477937606
2026-02-12,1.0,107.33,113.46,132.39,166.52,53.06,838.63,763.15,67639.0,275406.0,0.24559740891629087
2026-02-13,1.0,10.83,9.3,43.0,71.27,61.97,838.63,763.15,59534.0,193813.0,0.30717237749789744
2026-02-14,1.0,-42.23,5.19,30.55,64.42,59.22,984.88,133.09,43041.0,70252.0,0.6126658315777487
2026-02-15,1.0,158.85,174.46,205.17,235.93,61.47,838.63,1526.3,496779.0,539198.0,0.9213294559697922
2026-02-16,1.0,195.21,283.14,320.61,361.65,78.51,838.63,763.15,220183.0,282953.0,0.7781610373454249
2026-02-17,1.0,-8.96,62.8,88.62,120.52,57.72,838.63,763.15,3891.0,50689.0,0.07676221665450098
2026-02-18,1.0,-45.33,19.93,46.11,78.25,58.32,1200.0,909.68,27183.0,27996.0,0.9709601371624518
2026-02-19,1.0,-50.05,-36.22,-15.39,11.42,47.64,638.27,0.0,32566.0,6306.0,5.1642879797018715
2026-02-20,1.0,-50.0,-36.05,-3.12,20.73,56.78,0.0,243.75,-11536.0,6051.0,-1.9064617418608494
2026-02-21,1.0,21.31,-33.87,-8.24,17.76,51.63,267.86,0.0,13115.0,211792.0,0.061923963133640555
2026-02-22,1.0,15.12,145.2,180.97,215.33,70.13,838.63,1526.3,124434.0,216056.0,0.575934017106676
2026-02-23,1.0,106.77,91.14,111.69,137.65,46.51,838.63,763.15,241814.0,347143.0,0.6965832524348755
2026-02-24,1.0,28.69,55.18,79.69,105.16,49.98,1200.0,328.85,61833.0,74406.0,0.8310216917990485
2026-02-25,1.0,66.02,69.18,100.67,131.66,62.48,0.0,763.15,237141.0,271393.0,0.8737918811465292
2026-02-26,1.0,236.91,210.5,250.7,284.57,74.07,838.63,763.15,-47102.0,97133.0,-0.4849227348069142
2026-02-27,1.0,227.56,110.14,139.38,172.23,62.09,1200.0,341.25,-357031.0,375163.0,-0.9516690078712453
2026-02-28,1.0,217.54,151.4,191.23,229.23,77.83,495.77,1201.9,152060.0,440326.0,0.34533504721501795
2026-03-01,1.0,411.2,293.28,341.41,377.01,83.73,428.57,390.0,-58631.0,21669.0,-2.7057547648714753
2026-03-02,1.0,19.94,-0.98,34.8,60.76,61.73,838.63,0.0,41879.0,265495.0,0.15773931712461628
2026-03-03,1.0,146.31,121.39,152.3,181.56,60.17,838.63,1526.3,361567.0,401710.0,0.9000697020238481
2026-03-04,1.0,327.65,275.62,294.42,312.46,36.84,71.43,65.0,-18510.0,164946.0,-0.11221854425084574
