date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,0.0,471.7,696.34,769.33,824.35,128.01,871.13,792.73,378468.0,475018.0,0.7967445444172642
2026-01-28,0.0,750.33,451.79,489.74,506.84,55.06,1200.0,390.0,-504207.0,598879.0,-0.8419179834323794
2026-01-29,0.0,751.84,500.89,546.22,570.54,69.65,1200.0,1316.25,275969.0,666540.0,0.4140321661115612
2026-01-30,0.0,416.66,462.77,495.87,518.95,56.18,1062.32,1444.46,256929.0,57067.0,4.502234215921636
2026-01-31,0.0,181.89,225.25,245.83,273.39,48.14,910.06,828.15,239423.0,496746.0,0.4819827436959734
2026-02-01,0.0,169.92,51.81,70.12,87.84,36.03,1002.74,912.49,285559.0,402819.0,0.7089015165620292
2026-02-02,0.0,186.67,251.7,276.17,299.98,48.28,1092.02,993.74,127993.0,228478.0,0.5601983560780469
2026-02-03,0.0,67.73,-20.77,-6.84,14.13,34.9,1200.0,536.25,-48370.0,300875.0,-0.16076443705857915
2026-02-04,0.0,25.46,57.12,76.01,90.83,33.71,1160.06,1287.0,204291.0,163337.0,1.2507331468069085
2026-02-05,0.0,348.31,282.97,303.22,317.03,34.06,1200.0,1416.4,635738.0,647996.0,0.9810832165630652
2026-02-06,0.0,304.23,376.43,402.03,419.08,42.66,991.25,902.04,20463.0,124580.0,0.16425589982340666
2026-02-07,0.0,83.54,55.25,67.61,81.49,26.24,1200.0,1092.0,295872.0,376042.0,0.7868057291472761
2026-02-08,0.0,71.13,85.06,98.52,114.53,29.47,1017.2,925.65,87313.0,133576.0,0.6536578427262383
2026-02-09,0.0,-8.61,-18.21,2.13,14.24,32.45,1200.0,328.85,-1701.0,185945.0,-0.00914786630455242
2026-02-10,0.0,178.38,137.5,155.84,172.43,34.94,1033.63,1703.75,407785.0,550067.0,0.7413369644061542
2026-02-11,0.0,23.69,34.91,50.38,63.97,29.06,1200.0,1047.64,134125.0,238868.0,0.5615025872029741
2026-02-12,0.0,107.33,127.22,137.3,154.19,26.97,1082.38,1029.33,119024.0,275406.0,0.43217649579166756
2026-02-13,0.0,10.83,24.59,45.98,58.93,34.35,1049.88,955.39,81858.0,193813.0,0.4223555695438386
2026-02-14,0.0,-42.23,19.25,34.15,52.08,32.84,1200.0,328.85,49475.0,70252.0,0.7042504127996356
2026-02-15,0.0,158.85,189.1,209.08,223.6,34.5,942.5,1620.83,484096.0,539198.0,0.8978074844491263
2026-02-16,0.0,195.21,297.28,323.69,349.8,52.52,984.88,896.24,215491.0,282953.0,0.7615787781009566
2026-02-17,0.0,-8.96,76.74,92.37,108.32,31.58,1052.91,958.15,4855.0,50689.0,0.09578014953934778
2026-02-18,0.0,-45.33,33.34,50.73,65.92,32.59,1200.0,1072.99,21539.0,27996.0,0.7693599085583654
2026-02-19,0.0,-50.05,-22.21,-10.68,-0.92,21.29,1200.0,1111.01,4848.0,6306.0,0.768791627021884
2026-02-20,0.0,-50.0,-21.45,-0.03,8.78,30.23,1200.0,1092.0,6052.0,6051.0,1.000165261940175
2026-02-21,0.0,21.31,-20.95,-3.22,5.77,26.72,1200.0,328.85,31535.0,211792.0,0.14889608672659968
2026-02-22,0.0,15.12,160.08,184.69,203.12,43.04,1160.06,1818.8,125880.0,216056.0,0.5826267264042656
2026-02-23,0.0,106.77,105.29,115.37,125.55,20.25,1200.0,1092.0,280815.0,347143.0,0.8089317658717012
2026-02-24,0.0,28.69,69.19,83.72,93.25,24.05,1200.0,341.25,57254.0,74406.0,0.7694809558368949
2026-02-25,0.0,66.02,83.29,104.88,119.33,36.04,891.13,1561.68,263677.0,271393.0,0.9715689056092088
2026-02-26,0.0,236.91,225.58,253.64,272.24,46.66,936.13,851.88,-50581.0,97133.0,-0.5207396044598643
2026-02-27,0.0,227.56,124.99,142.63,159.9,34.91,1200.0,682.5,-304882.0,375163.0,-0.8126654280939218
2026-02-28,0.0,217.54,166.13,194.87,217.08,50.95,1184.88,1487.74,22916.0,440326.0,0.0520432588582096
2026-03-01,0.0,411.2,307.81,341.93,364.73,56.92,1126.79,1025.38,-111107.0,21669.0,-5.1274631962711705
2026-03-02,0.0,19.94,13.87,37.43,48.63,34.76,1200.0,328.85,20099.0,265495.0,0.07570387389593024
2026-03-03,0.0,146.31,136.6,155.71,169.23,32.63,999.34,1672.55,395412.0,401710.0,0.984322023350178
2026-03-04,0.0,327.65,285.88,295.17,307.24,21.36,536.25,487.99,-39862.0,164946.0,-0.24166696979617572
2026-03-05,0.0,111.8,219.63,234.58,248.73,29.1,910.06,828.15,254323.0,323021.0,0.7873265205667743
2026-03-06,0.0,367.51,272.2,293.68,309.12,36.92,1200.0,1092.0,-20241.0,207048.0,-0.09775993972412195
2026-03-07,0.0,62.98,69.14,79.61,101.12,31.98,1200.0,346.4,11162.0,226298.0,0.0493243422389946
2026-03-08,0.0,181.48,228.12,255.77,272.5,44.38,857.91,1526.3,484981.0,287107.0,1.689199497051622
2026-03-09,0.0,80.91,125.18,141.76,156.79,31.61,1200.0,328.85,61850.0,101417.0,0.6098583077787748
2026-03-10,0.0,149.94,255.85,298.66,339.22,83.37,910.06,1591.3,437830.0,523096.0,0.8369974153883799
2026-03-11,0.0,339.18,174.66,196.43,222.12,47.46,1043.27,949.38,-92516.0,249197.0,-0.3712564758002705
2026-03-12,0.0,-12.03,-26.14,-11.7,3.03,29.17,1200.0,328.85,25766.0,125605.0,0.20513514589387366
2026-03-13,0.0,210.82,151.56,173.53,195.47,43.91,1200.0,1092.0,-189302.0,490585.0,-0.38586993079690574
2026-03-14,0.0,373.89,558.05,632.47,682.8,124.75,838.63,1526.3,409197.0,-142890.0,-2.8637203443208064
2026-03-15,0.0,322.58,292.65,332.61,359.03,66.39,999.34,909.4,-50862.0,456638.0,-0.11138363430113131
2026-03-16,0.0,41.61,81.25,95.59,113.85,32.6,1200.0,958.91,82387.0,164508.0,0.5008084713205437
2026-03-17,0.0,196.14,20.19,35.25,57.74,37.55,1200.0,461.94,-25306.0,567396.0,-0.044600243921352985
2026-03-18,0.0,120.09,162.64,173.52,182.83,20.19,984.88,1659.39,416727.0,309720.0,1.3454959318093762
2026-03-19,0.0,180.32,222.52,260.37,283.69,61.18,910.06,828.15,344460.0,449492.0,0.7663317700871206
2026-03-20,0.0,122.4,147.07,167.66,190.33,43.26,1200.0,1085.34,118480.0,206542.0,0.5736363548333995
2026-03-21,0.0,-13.45,-33.0,-19.48,-3.82,29.18,1200.0,335.51,34924.0,104658.0,0.333696420722735
2026-03-22,0.0,322.63,184.66,208.99,225.26,40.6,874.34,1558.8,422569.0,433793.0,0.9741259079791513
2026-03-23,0.0,74.19,149.84,160.68,174.13,24.28,945.77,860.65,58642.0,131273.0,0.44671790848079956
2026-03-24,0.0,62.7,54.77,67.85,77.66,22.89,1200.0,1092.0,209140.0,331329.0,0.6312154987942499
2026-03-25,0.0,189.55,236.57,245.23,261.25,24.68,1023.75,931.61,311639.0,416792.0,0.7477086892262808
2026-03-26,0.0,389.23,265.58,296.16,321.0,55.43,1131.13,266.18,-153805.0,461338.0,-0.33338896860869904
2026-03-27,0.0,450.4,532.26,603.96,636.27,104.02,838.63,1526.3,548030.0,339334.0,1.6150164734450423
2026-03-28,0.0,323.76,349.37,380.56,401.78,52.41,1200.0,781.46,-88382.0,46602.0,-1.8965280460066092
2026-03-29,0.0,287.65,254.9,272.99,294.66,39.75,1200.0,1402.54,-5912.0,226968.0,-0.026047724789397625
2026-03-30,0.0,393.88,244.49,260.39,275.31,30.82,838.63,763.15,-117625.0,277231.0,-0.42428516291468127
2026-03-31,0.0,90.76,139.21,166.06,185.05,45.84,1121.25,1020.34,262371.0,303016.0,0.8658651688359691
2026-04-01,0.0,311.49,187.53,206.87,226.37,38.84,1052.91,958.15,241635.0,313165.0,0.7715900563600658
2026-04-02,0.0,40.93,53.44,69.95,85.75,32.31,1200.0,328.85,66673.0,142623.0,0.4674771951228063
2026-04-03,0.0,76.77,131.16,158.48,185.08,53.92,1131.13,1792.48,352515.0,388270.0,0.9079120199860922
2026-04-04,0.0,12.26,27.26,49.28,60.44,33.18,1197.74,1089.94,141759.0,184104.0,0.7699941337504889
2026-04-05,0.0,71.19,94.16,108.26,119.03,24.87,1199.16,1091.24,247477.0,366455.0,0.6753271206560151
2026-04-06,0.0,144.06,153.44,168.47,180.58,27.14,838.63,763.15,202092.0,325634.0,0.6206108698723106
2026-04-07,0.0,180.2,99.1,110.47,129.72,30.62,1200.0,585.0,33032.0,222430.0,0.14850514768691273
2026-04-08,0.0,39.25,79.22,98.25,124.29,45.08,1200.0,1599.0,104825.0,193140.0,0.5427410168789479
2026-04-09,0.0,151.64,88.78,100.54,122.01,33.23,1200.0,1092.0,135829.0,360684.0,0.37658726198001574
2026-04-10,0.0,185.0,54.42,75.54,90.18,35.76,1052.91,958.15,392392.0,656345.0,0.5978441216128713
2026-04-11,0.0,125.69,22.7,40.64,51.16,28.46,1200.0,328.85,9086.0,162819.0,0.05580429802418636
2026-04-12,0.0,109.56,109.69,132.08,151.12,41.42,1125.0,1786.9,218496.0,363781.0,0.6006251013659317
2026-04-13,0.0,179.02,114.51,128.84,146.28,31.77,1131.13,1029.33,150764.0,255649.0,0.5897304507351877
2026-04-14,0.0,270.87,113.07,131.33,145.83,32.76,1199.16,1091.24,130909.0,315924.0,0.414368645623631
2026-04-15,0.0,26.18,30.87,48.1,62.37,31.51,1200.0,328.85,-9684.0,189631.0,-0.05106759970679899
2026-04-16,0.0,161.68,130.94,153.38,175.4,44.46,1160.06,1818.8,320382.0,250819.0,1.2773434229464276
2026-04-17,0.0,34.82,40.53,59.63,81.34,40.81,1200.0,1092.0,174169.0,345417.0,0.5042282226989407
