date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,0.5,471.7,159.85,477.83,757.63,597.77,0.0,0.0,-6146.0,475018.0,-0.01293845706899528
2026-01-28,0.5,750.33,170.86,450.96,678.11,507.25,838.63,0.0,-449664.0,598879.0,-0.750842824677439
2026-01-29,0.5,751.84,220.3,600.57,949.09,728.79,0.0,763.15,747813.0,666540.0,1.1219326672067693
2026-01-30,0.5,416.66,218.37,591.94,939.0,720.63,0.0,0.0,-5429.0,57067.0,-0.0951337901063662
2026-01-31,0.5,181.89,126.69,363.78,678.41,551.72,0.0,0.0,-2370.0,496746.0,-0.004771049993356766
2026-02-01,0.5,169.92,19.63,229.26,537.22,517.59,536.25,0.0,24598.0,402819.0,0.06106464690096545
2026-02-02,0.5,186.67,62.4,294.68,619.16,556.75,97.5,576.71,237288.0,228478.0,1.038559511200203
2026-02-03,0.5,67.73,-103.13,35.17,330.65,433.77,838.63,0.0,-97471.0,300875.0,-0.3239584545076859
2026-02-04,0.5,25.46,-8.38,120.76,396.28,404.66,0.0,763.15,75077.0,163337.0,0.45964478348445237
2026-02-05,0.5,348.31,-27.1,108.64,371.51,398.61,838.63,0.0,10482.0,647996.0,0.016176025777936903
2026-02-06,0.5,304.23,66.13,318.28,657.1,590.97,0.0,763.15,372676.0,124580.0,2.9914593032589503
2026-02-07,0.5,83.54,-41.09,88.33,396.97,438.06,838.63,0.0,40843.0,376042.0,0.1086128677115854
2026-02-08,0.5,71.13,28.11,196.02,495.12,467.01,286.37,1023.75,105529.0,133576.0,0.7900296460441996
2026-02-09,0.5,-8.61,-68.91,15.99,287.19,356.1,482.14,438.75,-14344.0,185945.0,-0.07714109010728978
2026-02-10,0.5,178.38,-71.17,-10.59,289.71,360.88,838.63,0.0,-123057.0,550067.0,-0.22371274771982322
2026-02-11,0.5,23.69,-36.5,123.93,461.16,497.66,0.0,146.25,-2031.0,238868.0,-0.008502603948624345
2026-02-12,0.5,107.33,-8.94,145.07,479.31,488.25,146.25,749.99,185354.0,275406.0,0.6730209218390304
2026-02-13,0.5,10.83,-33.15,109.41,438.38,471.53,267.86,243.75,16267.0,193813.0,0.08393141842910434
2026-02-14,0.5,-42.23,-48.5,32.15,315.05,363.55,214.29,195.0,1515.0,70252.0,0.021565222342424414
2026-02-15,0.5,158.85,-56.71,-16.08,194.43,251.14,838.63,0.0,-11163.0,539198.0,-0.02070296996650581
2026-02-16,0.5,195.21,17.03,208.57,543.89,526.86,585.0,763.15,286178.0,282953.0,1.011397652613685
2026-02-17,0.5,-8.96,21.5,174.67,432.65,411.15,682.5,1153.43,131569.0,50689.0,2.595612460297106
2026-02-18,0.5,-45.33,-59.59,-29.22,179.56,239.15,97.5,0.0,5466.0,27996.0,0.195242177453922
2026-02-19,0.5,-50.05,-56.79,-32.23,143.67,200.46,0.0,0.0,652.0,6306.0,0.10339359340310815
2026-02-20,0.5,-50.0,-59.81,-45.69,35.12,94.93,741.13,0.0,37708.0,6051.0,6.231697240125599
2026-02-21,0.5,21.31,-59.24,-47.62,38.04,97.28,0.0,0.0,-278.0,211792.0,-0.0013126085971141498
2026-02-22,0.5,15.12,-28.02,120.96,450.98,479.0,0.0,763.15,-35917.0,216056.0,-0.16623930832747066
2026-02-23,0.5,106.77,-47.58,53.1,323.45,371.02,838.63,0.0,40540.0,347143.0,0.11678184494574283
2026-02-24,0.5,28.69,-42.14,66.95,299.16,341.3,838.63,1526.3,217521.0,74406.0,2.9234335940649947
2026-02-25,0.5,66.02,-57.14,-37.11,124.38,181.51,838.63,0.0,41071.0,271393.0,0.1513340432509313
