date,pred_native_15m,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end,gross,aux_cost,net,pf_gross,pf_aux_cost,pf_net
2026-01-27,False,11:15–16:15,16:45–22:00,838.63,763.15,0.0,240817.0,6146.0,234671.0,481164.0,6146.0,475018.0
2026-01-28,False,11:00–16:00,–,838.63,0.0,800.0,-435774.0,9777.0,-445551.0,608656.0,9777.0,598879.0
2026-01-29,False,11:15–16:15,00:00–24:00,838.63,1526.3,0.0,959512.0,9796.0,949715.0,676336.0,9796.0,666540.0
2026-01-30,False,09:30–19:30,16:15–24:00,1033.63,940.6,0.0,108694.0,5429.0,103265.0,62496.0,5429.0,57067.0
2026-01-31,False,10:45–20:15,16:00–24:00,964.29,877.5,0.0,244454.0,2370.0,242084.0,499116.0,2370.0,496746.0
2026-02-01,False,11:00–16:00,17:00–24:00,838.63,763.15,0.0,346970.0,2214.0,344756.0,405033.0,2214.0,402819.0
2026-02-02,False,10:15–16:00,17:00–24:00,838.63,763.15,0.0,107069.0,2432.0,104637.0,230911.0,2432.0,228478.0
2026-02-03,False,00:00–15:15,04:00–24:00,1200.0,1092.0,0.0,73132.0,883.0,72250.0,301758.0,883.0,300875.0
2026-02-04,False,00:00–16:00,03:00–24:00,1200.0,1092.0,0.0,45152.0,332.0,44820.0,163669.0,332.0,163337.0
2026-02-05,False,09:45–20:15,17:00–18:00,945.77,97.5,800.0,-27132.0,4539.0,-31670.0,652534.0,4539.0,647996.0
2026-02-06,False,11:15–16:15,00:00–24:00,838.63,1526.3,0.0,282682.0,3964.0,278718.0,128544.0,3964.0,124580.0
2026-02-07,False,00:00–16:00,03:00–04:00,945.77,97.5,800.0,29576.0,1088.0,28488.0,377130.0,1088.0,376042.0
2026-02-08,False,10:30–15:30,00:00–24:00,838.63,1526.3,0.0,224061.0,927.0,223134.0,134503.0,927.0,133576.0
2026-02-09,False,00:00–15:15,02:45–24:00,1200.0,1092.0,0.0,-26304.0,-112.0,-26191.0,185833.0,-112.0,185945.0
2026-02-10,False,00:00–21:00,06:45–18:15,1200.0,328.85,800.0,79778.0,2324.0,77453.0,552391.0,2324.0,550067.0
2026-02-11,False,10:00–15:30,01:30–23:15,838.63,1526.3,-0.0,132863.0,309.0,132554.0,239177.0,309.0,238868.0
2026-02-12,False,11:00–16:00,17:00–24:00,838.63,763.15,0.0,143245.0,1399.0,141847.0,276805.0,1399.0,275406.0
2026-02-13,False,10:00–21:00,16:30–24:00,1017.86,926.25,0.0,57138.0,141.0,56997.0,193954.0,141.0,193813.0
2026-02-14,False,00:00–20:45,01:15–24:00,1147.38,1044.11,0.0,5715.0,-550.0,6265.0,69701.0,-550.0,70252.0
2026-02-15,False,00:00–16:00,03:45–08:00,1200.0,328.85,800.0,43441.0,2070.0,41372.0,541268.0,2070.0,539198.0
2026-02-16,False,10:00–21:00,00:00–24:00,964.29,1640.65,0.0,512238.0,2544.0,509694.0,285497.0,2544.0,282953.0
2026-02-17,False,10:00–20:45,17:00–24:00,903.63,822.3,0.0,4066.0,-117.0,4183.0,50572.0,-117.0,50689.0
2026-02-18,False,00:00–21:00,01:30–24:00,1200.0,1006.2,89.9,925.0,-591.0,1516.0,27406.0,-591.0,27996.0
2026-02-19,False,00:00–21:00,04:15–17:45,1200.0,414.65,800.0,39268.0,-652.0,39920.0,5653.0,-652.0,6306.0
2026-02-20,False,01:30–21:00,00:00–18:15,1200.0,1092.0,800.0,5400.0,-652.0,6051.0,5400.0,-652.0,6051.0
2026-02-21,False,02:00–19:30,00:00–18:00,1200.0,1092.0,800.0,-1110.0,278.0,-1388.0,212070.0,278.0,211792.0
2026-02-22,False,10:00–20:15,00:00–24:00,910.71,1591.9,0.0,166189.0,197.0,165992.0,216253.0,197.0,216056.0
2026-02-23,False,07:00–16:30,07:45–24:00,963.63,876.9,0.0,217709.0,1391.0,216318.0,348534.0,1391.0,347143.0
2026-02-24,False,09:00–21:00,11:15–24:00,998.34,908.49,0.0,27275.0,374.0,26901.0,74780.0,374.0,74406.0
2026-02-25,False,00:00–15:30,01:15–08:00,1200.0,328.85,800.0,43674.0,860.0,42813.0,272253.0,860.0,271393.0
2026-02-26,False,09:45–21:00,00:00–24:00,936.13,1615.03,0.0,243791.0,3087.0,240704.0,100220.0,3087.0,97133.0
