date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,0.0,471.7,186.4,480.8,764.26,577.86,838.63,763.15,234671.0,475018.0,0.4940254895603956
2026-01-28,0.0,750.33,207.0,471.54,711.83,504.83,838.63,0.0,-445551.0,598879.0,-0.7439749932791098
2026-01-29,0.0,751.84,267.87,618.13,967.77,699.9,838.63,1526.3,949715.0,666540.0,1.4248432202118402
2026-01-30,0.0,416.66,262.31,604.89,949.83,687.52,1033.63,940.6,103265.0,57067.0,1.8095396639038324
2026-01-31,0.0,181.89,139.66,371.12,693.09,553.43,964.29,877.5,242084.0,496746.0,0.4873396061568689
2026-02-01,0.0,169.92,10.17,197.66,504.42,494.25,838.63,763.15,344756.0,402819.0,0.855858338360405
2026-02-02,0.0,186.67,58.89,261.92,584.91,526.02,838.63,763.15,104637.0,228478.0,0.4579740719018899
2026-02-03,0.0,67.73,-73.88,62.22,337.73,411.61,1200.0,1092.0,72250.0,300875.0,0.24013294557540507
2026-02-04,0.0,25.46,-10.97,117.18,387.75,398.71,1200.0,1092.0,44820.0,163337.0,0.27440200322033587
2026-02-05,0.0,348.31,-29.42,86.12,326.61,356.03,945.77,97.5,-31670.0,647996.0,-0.04887375847999062
2026-02-06,0.0,304.23,69.14,291.86,625.2,556.07,838.63,1526.3,278718.0,124580.0,2.237261197624017
2026-02-07,0.0,83.54,-30.0,93.91,383.03,413.02,945.77,97.5,28488.0,376042.0,0.07575749517341147
2026-02-08,0.0,71.13,44.21,233.93,539.51,495.29,838.63,1526.3,223134.0,133576.0,1.6704647541474515
2026-02-09,0.0,-8.61,-57.22,32.5,308.89,366.11,1200.0,1092.0,-26191.0,185945.0,-0.14085347817903143
2026-02-10,0.0,178.38,-69.15,1.22,321.47,390.62,1200.0,328.85,77453.0,550067.0,0.1408064835738192
2026-02-11,0.0,23.69,-24.29,127.35,457.51,481.8,838.63,1526.3,132554.0,238868.0,0.5549257330408427
2026-02-12,0.0,107.33,-10.07,131.21,461.12,471.19,838.63,763.15,141847.0,275406.0,0.5150468762481573
2026-02-13,0.0,10.83,-30.66,102.83,427.67,458.33,1017.86,926.25,56997.0,193813.0,0.294082440290383
2026-02-14,0.0,-42.23,-47.51,33.87,328.59,376.1,1147.38,1044.11,6265.0,70252.0,0.08917895575926664
2026-02-15,0.0,158.85,-55.69,-13.23,208.1,263.79,1200.0,328.85,41372.0,539198.0,0.07672877124915152
2026-02-16,0.0,195.21,14.73,195.17,520.54,505.81,964.29,1640.65,509694.0,282953.0,1.8013380314045089
2026-02-17,0.0,-8.96,22.01,161.53,413.41,391.41,903.63,822.3,4183.0,50689.0,0.08252283532916412
2026-02-18,0.0,-45.33,-60.48,-26.56,207.24,267.73,1200.0,1006.2,1516.0,27996.0,0.05415059294184883
2026-02-19,0.0,-50.05,-58.51,-35.9,142.51,201.03,1200.0,414.65,39920.0,6306.0,6.330478908975579
2026-02-20,0.0,-50.0,-64.03,-50.04,33.43,97.46,1200.0,1092.0,6051.0,6051.0,1.0
2026-02-21,0.0,21.31,-64.85,-52.92,41.85,106.69,1200.0,1092.0,-1388.0,211792.0,-0.0065535997582533805
2026-02-22,0.0,15.12,-28.91,106.06,409.87,438.77,910.71,1591.9,165992.0,216056.0,0.768282297182212
2026-02-23,0.0,106.77,-54.38,30.05,278.0,332.38,963.63,876.9,216318.0,347143.0,0.623138015169541
2026-02-24,0.0,28.69,-47.47,58.51,274.4,321.86,998.34,908.49,26901.0,74406.0,0.361543423917426
2026-02-25,0.0,66.02,-60.3,-37.25,119.73,180.04,1200.0,328.85,42813.0,271393.0,0.15775277918000832
2026-02-26,0.0,236.91,-22.3,115.65,360.39,382.69,936.13,1615.03,240704.0,97133.0,2.478086747037567
2026-02-27,0.0,227.56,-50.15,57.69,391.18,441.33,871.13,468.32,-215080.0,375163.0,-0.5732974733649108
2026-02-28,0.0,217.54,-43.14,97.63,416.42,459.56,1106.49,568.15,-121115.0,440326.0,-0.2750575709815001
2026-03-01,0.0,411.2,11.62,266.92,472.62,461.0,838.63,1526.3,502436.0,21669.0,23.18685680003692
2026-03-02,0.0,19.94,-23.53,218.92,479.43,502.96,838.63,763.15,57898.0,265495.0,0.21807566997495245
2026-03-03,0.0,146.31,-46.21,42.12,356.92,403.13,1049.88,192.24,33578.0,401710.0,0.0835876627417789
2026-03-04,0.0,327.65,-11.37,164.12,443.69,455.06,838.63,1526.3,168649.0,164946.0,1.0224497714403502
2026-03-05,0.0,111.8,-31.14,134.69,456.74,487.88,838.63,763.15,270883.0,323021.0,0.8385925373272946
2026-03-06,0.0,367.51,-28.72,95.02,386.45,415.16,838.63,-0.0,-277041.0,207048.0,-1.3380520459023995
2026-03-07,0.0,62.98,-27.63,196.24,476.32,503.95,838.63,1526.3,318259.0,226298.0,1.4063712449955368
2026-03-08,0.0,181.48,-18.48,105.33,403.06,421.54,838.63,763.15,280694.0,287107.0,0.9776633798548973
2026-03-09,0.0,80.91,-11.86,120.74,356.63,368.49,856.49,779.4,63073.0,101417.0,0.6219174300166639
2026-03-10,0.0,149.94,-56.27,-0.55,235.74,292.01,1200.0,328.85,52942.0,523096.0,0.10120895590866687
2026-03-11,0.0,339.18,-5.06,133.55,349.25,354.32,838.63,1526.3,283322.0,249197.0,1.136939850800772
2026-03-12,0.0,-12.03,-49.36,21.21,308.77,358.13,1200.0,1092.0,130823.0,125605.0,1.0415429322081127
2026-03-13,0.0,210.82,-50.32,38.67,368.85,419.17,854.88,14.79,-52947.0,490585.0,-0.1079262513122089
2026-03-14,0.0,373.89,-2.5,227.26,504.79,507.29,838.63,1526.3,384028.0,-142890.0,-2.687577857092869
2026-03-15,0.0,322.58,15.79,261.85,484.54,468.76,838.63,763.15,-52530.0,456638.0,-0.11503641834450921
2026-03-16,0.0,41.61,64.01,272.32,530.01,466.0,838.63,763.15,51362.0,164508.0,0.312215819291463
2026-03-17,0.0,196.14,-57.14,-33.21,200.33,257.47,1200.0,328.85,-157568.0,567396.0,-0.277703755401871
2026-03-18,0.0,120.09,-31.73,96.92,431.57,463.3,838.63,1526.3,417434.0,309720.0,1.3477786387705024
