date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,1.0,471.7,563.9,711.1,852.83,288.93,341.25,310.54,135205.0,475018.0,0.28463131923421847
2026-01-28,1.0,750.33,298.32,430.59,550.74,252.41,838.63,0.0,-439027.0,598879.0,-0.7330813069084072
2026-01-29,1.0,751.84,375.41,550.54,725.36,349.95,0.0,763.15,721125.0,666540.0,1.0818930596813394
2026-01-30,1.0,416.66,300.21,471.5,643.97,343.76,0.0,0.0,-5429.0,57067.0,-0.0951337901063662
2026-01-31,1.0,181.89,86.65,202.38,363.36,276.72,0.0,0.0,-2370.0,496746.0,-0.004771049993356766
2026-02-01,1.0,169.92,26.01,119.75,273.13,247.13,838.63,146.25,69765.0,402819.0,0.1731919298742115
2026-02-02,1.0,186.67,164.46,265.97,427.47,263.01,642.86,1201.9,425179.0,228478.0,1.8609187755495058
2026-02-03,1.0,67.73,-30.95,37.09,174.85,205.8,0.0,0.0,-883.0,300875.0,-0.002934773577066888
2026-02-04,1.0,25.46,-4.4,59.68,194.96,199.36,838.63,0.0,12837.0,163337.0,0.07859211323827424
2026-02-05,1.0,348.31,262.79,320.56,440.81,178.01,838.63,1526.3,760502.0,647996.0,1.1736214421076674
2026-02-06,1.0,304.23,216.56,327.92,494.59,278.03,0.0,0.0,-3964.0,124580.0,-0.031818911542783754
2026-02-07,1.0,83.54,10.14,72.09,216.65,206.51,838.63,763.15,272093.0,376042.0,0.7235707713500088
2026-02-08,1.0,71.13,9.06,103.92,256.71,247.65,0.0,0.0,-927.0,133576.0,-0.0069398694376235255
2026-02-09,1.0,-8.61,-55.73,-10.87,127.33,183.05,838.63,0.0,12384.0,185945.0,0.06660033880986313
2026-02-10,1.0,178.38,124.55,159.73,319.86,195.31,838.63,1526.3,465158.0,550067.0,0.8456388040002399
2026-02-11,1.0,23.69,-11.28,64.54,229.62,240.9,428.57,390.0,56967.0,238868.0,0.23848736540683557
2026-02-12,1.0,107.33,52.47,123.11,288.06,235.59,195.0,177.45,7276.0,275406.0,0.02641917750521049
2026-02-13,1.0,10.83,-32.68,34.06,196.48,229.16,160.71,146.25,5833.0,193813.0,0.03009602039078906
2026-02-14,1.0,-42.23,-19.8,20.89,168.25,188.05,838.63,0.0,42482.0,70252.0,0.6047087627398509
2026-02-15,1.0,158.85,212.15,233.38,344.05,131.89,838.63,1526.3,475606.0,539198.0,0.8820618770841138
2026-02-16,1.0,195.21,182.9,273.13,435.81,252.91,438.75,399.26,123984.0,282953.0,0.4381787788077879
2026-02-17,1.0,-8.96,18.35,88.11,214.06,195.7,0.0,0.0,117.0,50689.0,0.002308193099094478
2026-02-18,1.0,-45.33,41.22,58.19,175.09,133.86,609.11,554.29,17940.0,27996.0,0.6408058294042006
2026-02-19,1.0,-50.05,-27.97,-16.67,72.54,100.51,0.0,0.0,652.0,6306.0,0.10339359340310815
2026-02-20,1.0,-50.0,-13.42,-6.43,35.31,48.73,838.63,763.15,4425.0,6051.0,0.7312840852751611
2026-02-21,1.0,21.31,-9.94,-3.98,43.4,53.35,838.63,341.25,139154.0,211792.0,0.6570314270605122
2026-02-22,1.0,15.12,94.43,161.91,313.81,219.39,838.63,1185.05,142005.0,216056.0,0.657260154774688
2026-02-23,1.0,106.77,88.78,130.99,254.97,166.19,838.63,763.15,241814.0,347143.0,0.6965832524348755
2026-02-24,1.0,28.69,52.26,105.24,213.19,160.93,838.63,0.0,41558.0,74406.0,0.5585302260570384
2026-02-25,1.0,66.02,85.82,97.34,175.84,90.02,482.14,1201.9,248541.0,271393.0,0.9157973860784914
2026-02-26,1.0,236.91,251.8,320.77,443.14,191.34,0.0,0.0,-3087.0,97133.0,-0.031781166030082464
2026-02-27,1.0,227.56,149.48,203.4,370.14,220.67,750.0,682.5,-206594.0,375163.0,-0.5506779719748482
2026-02-28,1.0,217.54,96.48,166.87,326.26,229.78,945.77,487.5,-106730.0,440326.0,-0.2423885939054246
2026-03-01,1.0,411.2,187.87,315.52,418.37,230.5,0.0,373.15,260717.0,21669.0,12.031796575753381
2026-03-02,1.0,19.94,-100.51,20.71,150.97,251.48,682.5,0.0,21472.0,265495.0,0.08087534605171472
2026-03-03,1.0,146.31,85.23,129.4,286.8,201.57,316.84,828.75,246598.0,401710.0,0.6138707027457618
2026-03-04,1.0,327.65,182.63,270.37,410.16,227.53,0.0,80.65,20817.0,164946.0,0.1262049397984795
2026-03-05,1.0,111.8,129.9,212.81,373.84,243.94,838.63,146.25,84350.0,323021.0,0.26112853343900244
2026-03-06,1.0,367.51,306.67,368.54,514.25,207.58,97.5,705.63,257922.0,207048.0,1.2457111394459255
2026-03-07,1.0,62.98,-12.41,99.53,239.57,251.97,838.63,0.0,41111.0,226298.0,0.18166753572722694
2026-03-08,1.0,181.48,146.69,208.6,357.46,210.77,838.63,1526.3,496232.0,287107.0,1.728386977677312
2026-03-09,1.0,80.91,70.78,137.08,255.03,184.24,838.63,0.0,40877.0,101417.0,0.4030586588047369
2026-03-10,1.0,149.94,222.19,250.05,368.2,146.01,589.29,1299.4,368753.0,523096.0,0.704943260892838
2026-03-11,1.0,339.18,168.98,238.29,346.14,177.16,472.5,429.98,-75097.0,249197.0,-0.30135595532851517
2026-03-12,1.0,-12.03,-46.53,-11.24,132.54,179.07,838.63,0.0,42137.0,125605.0,0.33547231400023886
2026-03-13,1.0,210.82,98.7,143.19,308.28,209.58,0.0,0.0,-2747.0,490585.0,-0.005599437406361793
2026-03-14,1.0,373.89,456.29,571.18,709.94,253.65,838.63,1526.3,393882.0,-142890.0,-2.7565399958009658
2026-03-15,1.0,322.58,212.32,335.35,446.7,234.38,642.86,585.0,-34332.0,456638.0,-0.07518428164103733
2026-03-16,1.0,41.61,29.75,133.9,262.75,233.0,0.0,0.0,-542.0,164508.0,-0.0032946725995088386
2026-03-17,1.0,196.14,40.74,52.7,169.47,128.74,1179.88,310.54,-94391.0,567396.0,-0.16635824010038844
2026-03-18,1.0,120.09,101.42,165.75,333.07,231.65,838.63,1055.65,307061.0,309720.0,0.9914148262947178
2026-03-19,1.0,180.32,215.32,270.47,421.97,206.65,682.5,1091.73,461545.0,449492.0,1.0268147152785811
2026-03-20,1.0,122.4,41.53,148.16,283.39,241.86,0.0,0.0,-1595.0,206542.0,-0.007722400286624512
2026-03-21,1.0,-13.45,-77.51,-26.45,105.06,182.58,838.63,0.0,-27747.0,104658.0,-0.26512067878231954
2026-03-22,1.0,322.63,248.63,289.14,430.78,182.15,682.5,1384.23,429475.0,433793.0,0.9900459435721646
2026-03-23,1.0,74.19,43.91,159.89,311.04,267.12,0.0,0.0,-967.0,131273.0,-0.007366328186298782
2026-03-24,1.0,62.7,22.67,71.48,210.03,187.37,838.63,0.0,41114.0,331329.0,0.12408814199783297
2026-03-25,1.0,189.55,140.83,217.7,371.93,231.1,214.29,958.15,403680.0,416792.0,0.9685406629685791
2026-03-26,1.0,389.23,171.78,261.29,396.62,224.84,945.77,97.5,-114688.0,461338.0,-0.2485986413432234
2026-03-27,1.0,450.4,424.76,533.6,708.09,283.33,428.57,1153.15,500815.0,339334.0,1.47587627529219
2026-03-28,1.0,323.76,281.36,385.46,538.24,256.88,0.0,0.0,-4219.0,46602.0,-0.09053259516758938
2026-03-29,1.0,287.65,184.39,235.22,356.03,171.65,838.63,763.15,-76968.0,226968.0,-0.3391138838955271
2026-03-30,1.0,393.88,170.03,266.62,382.09,212.07,0.0,0.0,-5132.0,277231.0,-0.018511638308847136
2026-03-31,1.0,90.76,89.34,189.22,337.58,248.24,838.63,763.15,264195.0,303016.0,0.8718846529556195
2026-04-01,1.0,311.49,97.32,179.01,309.32,212.0,292.5,266.18,110088.0,313165.0,0.35153353663404274
2026-04-02,1.0,40.93,2.28,83.29,220.23,217.95,0.0,0.0,-533.0,142623.0,-0.003737125148117765
2026-04-03,1.0,76.77,46.8,99.96,251.18,204.38,838.63,763.15,389726.0,388270.0,1.0037499678059083
2026-04-04,1.0,12.26,6.24,61.59,196.52,190.28,838.63,0.0,41772.0,184104.0,0.22689349498109765
2026-04-05,1.0,71.19,103.89,145.25,276.52,172.63,838.63,1526.3,347386.0,366455.0,0.9479635971674557
2026-04-06,1.0,144.06,106.08,169.43,319.37,213.3,838.63,763.15,200976.0,325634.0,0.6171837093178231
