date,alpha,actual_mean,p10_mean,p50_mean,p90_mean,interval_width,charge_mwh,discharge_mwh,net,pf_net,ratio
2026-01-27,0.45,471.7,575.77,711.1,886.45,310.68,838.63,763.15,249432.0,475018.0,0.525100101469839
2026-01-28,0.45,750.33,324.21,430.59,578.38,254.17,1200.0,328.85,-505048.0,598879.0,-0.8433222737815151
2026-01-29,0.45,751.84,426.84,550.54,731.94,305.09,243.75,984.96,832067.0,666540.0,1.2483376841599905
2026-01-30,0.45,416.66,341.71,471.5,624.39,282.68,487.5,443.62,86757.0,57067.0,1.520265652653898
2026-01-31,0.45,181.89,121.93,202.38,299.24,177.31,984.88,536.25,150024.0,496746.0,0.30201350388327236
2026-02-01,0.45,169.92,34.15,119.75,206.33,172.17,838.63,1123.14,443870.0,402814.0,1.1019229718927346
2026-02-02,0.45,186.67,159.04,265.97,420.68,261.64,838.63,763.15,139850.0,228478.0,0.6120939433993645
2026-02-03,0.45,67.73,-28.58,37.09,148.03,176.61,838.63,390.0,41943.0,300875.0,0.13940340673036974
2026-02-04,0.45,25.46,-3.28,59.68,166.29,169.57,838.63,373.15,121430.0,163337.0,0.7434322902955239
2026-02-05,0.45,348.31,262.14,320.56,407.94,145.8,838.63,1526.3,730651.0,647996.0,1.1275547997209858
2026-02-06,0.45,304.23,233.03,327.92,442.02,208.99,243.75,221.81,-22479.0,124580.0,-0.1804382725959223
2026-02-07,0.45,83.54,8.75,72.09,161.65,152.9,838.63,763.15,272146.0,376042.0,0.7237117130533292
2026-02-08,0.45,71.13,37.56,103.92,190.76,153.2,750.0,682.5,90852.0,133576.0,0.6801521231358927
2026-02-09,0.45,-8.61,-59.6,-10.87,59.13,118.73,838.63,0.0,7725.0,185945.0,0.04154454274113313
2026-02-10,0.45,178.38,130.49,159.73,237.77,107.27,838.63,1526.3,467003.0,554268.0,0.8425581126819517
2026-02-11,0.45,23.69,4.1,64.54,176.67,172.57,838.63,763.15,96144.0,233546.0,0.4116705060245091
2026-02-12,0.45,107.33,54.8,123.11,242.9,188.1,838.63,763.15,64836.0,275406.0,0.23541970763164202
2026-02-13,0.45,10.83,-25.19,34.06,136.94,162.13,838.63,763.15,73190.0,193813.0,0.37763204738588224
2026-02-14,0.45,-42.23,-5.27,20.89,78.39,83.66,1179.88,310.54,51718.0,70252.0,0.7361783294425781
2026-02-15,0.45,158.85,216.92,233.38,259.29,42.37,838.63,1526.3,463108.0,539198.0,0.8588830077262898
2026-02-16,0.45,195.21,210.36,273.13,375.17,164.82,838.63,763.15,234774.0,282953.0,0.8297279053411697
2026-02-17,0.45,-8.96,30.0,88.11,160.62,130.62,838.63,633.75,10361.0,50689.0,0.204403322219811
2026-02-18,0.45,-45.33,46.98,58.19,162.14,115.16,920.89,967.41,20139.0,27996.0,0.7193527646806687
2026-02-19,0.45,-50.05,-20.75,-16.67,-2.79,17.96,1200.0,328.85,44096.0,6306.0,6.992705359974627
2026-02-20,0.45,-50.0,-9.1,-6.43,70.34,79.44,747.5,1443.38,-34142.0,6051.0,-5.642373161460916
2026-02-21,0.45,21.31,-5.27,-3.98,56.44,61.7,936.13,429.97,139593.0,211808.0,0.6590544266505515
2026-02-22,0.45,15.12,101.3,161.91,258.69,157.39,838.63,1185.05,141496.0,216056.0,0.6549042840744992
2026-02-23,0.45,106.77,98.73,130.99,210.23,111.5,838.63,763.15,241814.0,347143.0,0.6965832524348755
2026-02-24,0.45,28.69,64.15,105.24,210.04,145.89,1200.0,328.85,43060.0,74406.0,0.5787167701529446
2026-02-25,0.45,66.02,96.22,97.34,149.2,52.98,936.13,1615.03,256922.0,271393.0,0.9466788015903137
2026-02-26,0.45,236.91,258.78,320.77,486.81,228.03,146.25,133.09,-1173.0,97133.0,-0.012076225381693142
2026-02-27,0.45,227.56,183.64,203.4,325.36,141.73,838.63,763.15,-236719.0,375163.0,-0.6309764022571522
2026-02-28,0.45,217.54,151.96,166.87,318.46,166.5,1200.0,1092.0,-33177.0,440326.0,-0.07534644785908622
2026-03-01,0.45,411.2,244.32,315.52,412.72,168.41,458.04,416.81,-11678.0,21669.0,-0.5389265771378466
2026-03-02,0.45,19.94,-47.94,20.71,145.03,192.97,1033.63,177.45,37810.0,265495.0,0.1424132281210569
2026-03-03,0.45,146.31,121.36,129.4,226.36,105.0,838.63,1526.3,445058.0,401710.0,1.1079086903487592
