feature,importance
reserve_neg_capacity,7393462714.0
reserve_pos_capacity,4745882230.296875
wind_forecast,1412969085.796875
price_roll7d_mean,1020746079.0
price_roll24h_mean,943852821.203125
renewable_ramp_24h,895240436.0
price_roll24h_std,859565773.0
renewable_ratio,554803436.1015625
month,504236530.0
renewable_forecast,362279702.0
price_unified_lag7d,359680165.0
east_send_forecast,345387547.0
net_load_forecast,331532236.0
price_hbx_lag24h,299281674.0
wind_solar_ratio,286491704.0
day_of_week,271547189.0
price_ratio_24h_7d,234126470.0
wind_actual_lag48h,225889980.0
solar_actual_lag48h,222470281.0
solar_forecast,221346148.0
price_hbd_lag24h,219961544.0
price_unified_lag24h,218470268.0
renewable_actual_lag48h,207619316.3984375
load_actual_lag48h,202415244.0
spread_hbd_unified_lag24h,186039212.0
hour,184670824.0
load_forecast,183222766.0
load_ramp_24h,162123974.0
renewable_ramp_15min,161430502.6015625
price_diff_24h,135170840.5
spread_hbx_unified_lag24h,69873077.0
is_weekend,12241083.0
valley_flag,9716742.0
peak_flag,8636506.0
load_ramp_15min,1709910.0
quarter_in_hour,1336639.0
template_dev_q62,0.0
template_dev_q63,0.0
template_dev_q64,0.0
template_dev_q68,0.0
template_dev_q65,0.0
template_dev_q66,0.0
template_dev_q67,0.0
template_dev_q60,0.0
template_dev_q69,0.0
template_dev_q61,0.0
template_dev_q56,0.0
template_dev_q59,0.0
template_dev_q58,0.0
template_dev_q57,0.0
template_dev_q55,0.0
template_dev_q54,0.0
template_dev_q53,0.0
template_dev_q52,0.0
template_dev_q51,0.0
template_dev_q50,0.0
template_dev_q71,0.0
template_dev_q70,0.0
template_dev_q89,0.0
template_dev_q72,0.0
template_dev_q73,0.0
template_dev_q94,0.0
template_dev_q93,0.0
template_dev_q92,0.0
template_dev_q91,0.0
template_dev_q90,0.0
template_dev_q48,0.0
template_dev_q88,0.0
template_dev_q87,0.0
template_dev_q86,0.0
template_dev_q85,0.0
template_dev_q84,0.0
template_dev_q83,0.0
template_dev_q82,0.0
template_dev_q81,0.0
template_dev_q80,0.0
template_dev_q79,0.0
template_dev_q78,0.0
template_dev_q77,0.0
template_dev_q76,0.0
template_dev_q75,0.0
template_dev_q74,0.0
template_dev_q49,0.0
template_dev_q30,0.0
template_dev_q47,0.0
template_dev_q46,0.0
template_dev_q20,0.0
template_dev_q19,0.0
template_dev_q18,0.0
template_dev_q17,0.0
template_dev_q16,0.0
template_dev_q15,0.0
template_dev_q14,0.0
template_dev_q13,0.0
template_dev_q12,0.0
template_dev_q11,0.0
template_dev_q10,0.0
template_dev_q9,0.0
template_dev_q8,0.0
template_dev_q7,0.0
template_dev_q6,0.0
template_dev_q5,0.0
template_dev_q4,0.0
template_dev_q3,0.0
template_dev_q2,0.0
template_dev_q1,0.0
template_dev_q0,0.0
template_dev_q21,0.0
template_dev_q22,0.0
template_dev_q23,0.0
template_dev_q36,0.0
template_dev_q45,0.0
template_dev_q44,0.0
template_dev_q43,0.0
template_dev_q42,0.0
template_dev_q41,0.0
template_dev_q40,0.0
template_dev_q39,0.0
template_dev_q38,0.0
template_dev_q37,0.0
template_dev_q35,0.0
template_dev_q24,0.0
template_dev_q34,0.0
template_dev_q33,0.0
template_dev_q32,0.0
template_dev_q31,0.0
template_dev_q29,0.0
template_dev_q28,0.0
template_dev_q27,0.0
template_dev_q26,0.0
template_dev_q25,0.0
template_dev_q95,0.0
