fold,train_start,train_end,val_start,val_end,test_start,test_end,train_rows,val_rows,test_rows,best_iter,val_MAE,val_RMSE,val_MAPE(%),val_sMAPE(%),val_wMAPE(%),val_MAPE_filtered(%),val_count,test_MAE,test_RMSE,test_MAPE(%),test_sMAPE(%),test_wMAPE(%),test_MAPE_filtered(%),test_count
1,2025-02-18,2025-08-17 23:45:00,2025-08-18,2025-08-31 23:45:00,2025-09-01,2025-09-07 23:45:00,17195,1330,665,20,82.5723,123.2326,1358.32,44.86,30.85,21.52,1330,116.801,158.0778,1028.42,89.1,70.63,45.65,665
2,2025-02-25,2025-08-24 23:45:00,2025-08-25,2025-09-07 23:45:00,2025-09-08,2025-09-14 23:45:00,17195,1330,665,223,74.0305,100.1501,1042.17,68.59,37.09,30.87,1330,88.0958,142.9172,427.21,71.49,45.92,41.89,665
3,2025-03-01,2025-08-31 23:45:00,2025-09-01,2025-09-14 23:45:00,2025-09-15,2025-09-21 23:45:00,17480,1330,665,133,81.2353,125.638,526.6,78.26,45.48,39.88,1330,192.6502,327.9193,63.55,41.82,41.41,35.23,665
4,2025-03-08,2025-09-07 23:45:00,2025-09-08,2025-09-21 23:45:00,2025-09-22,2025-09-28 23:45:00,17480,1330,665,96,139.6555,251.7932,222.52,58.95,42.51,36.98,1330,121.6496,175.8306,48.88,50.73,34.65,33.36,665
5,2025-03-15,2025-09-14 23:45:00,2025-09-15,2025-09-28 23:45:00,2025-09-29,2025-10-05 23:45:00,17480,1330,665,38,152.863,277.4526,220.51,42.58,37.45,27.87,1330,133.2559,205.8113,337.32,69.92,41.78,27.47,665
6,2025-03-22,2025-09-21 23:45:00,2025-09-22,2025-10-05 23:45:00,2025-10-06,2025-10-12 23:45:00,17480,1330,665,173,113.6285,169.1973,109.78,52.57,33.92,32.46,1330,290.3236,379.8284,39.6,42.03,39.84,39.6,665
7,2025-03-29,2025-09-28 23:45:00,2025-09-29,2025-10-12 23:45:00,2025-10-13,2025-10-19 23:45:00,17480,1330,665,272,192.8875,295.9512,128.68,49.41,36.82,31.65,1330,136.9042,200.2729,84.0,43.99,28.26,29.43,665
8,2025-04-06,2025-10-05 23:45:00,2025-10-06,2025-10-19 23:45:00,2025-10-20,2025-10-26 23:45:00,17385,1330,665,200,213.9438,305.2461,67.08,41.76,35.27,34.43,1330,242.4569,292.9577,6427.1,43.02,43.93,44.5,665
9,2025-04-13,2025-10-12 23:45:00,2025-10-13,2025-10-26 23:45:00,2025-10-27,2025-11-02 23:45:00,17385,1330,665,33,161.1224,229.3074,3608.57,39.44,31.1,27.54,1330,135.0287,161.6406,88.1,49.91,35.32,34.34,665
10,2025-04-20,2025-10-19 23:45:00,2025-10-20,2025-11-02 23:45:00,2025-11-03,2025-11-09 23:45:00,17385,1330,665,18,133.972,192.956,4417.4,37.0,28.68,26.59,1330,83.2184,107.5823,196.72,49.59,36.32,32.27,665
11,2025-04-27,2025-10-26 23:45:00,2025-10-27,2025-11-09 23:45:00,2025-11-10,2025-11-16 23:45:00,17385,1330,665,26,98.2424,130.2675,129.49,45.31,32.14,29.2,1330,112.1179,130.5512,906.03,88.84,71.2,57.2,665
12,2025-05-03,2025-11-02 23:45:00,2025-11-03,2025-11-16 23:45:00,2025-11-17,2025-11-23 23:45:00,17480,1330,665,76,83.8302,102.3293,288.82,68.59,43.37,35.15,1330,118.6142,137.103,551.25,109.12,89.54,82.16,665
13,2025-05-10,2025-11-09 23:45:00,2025-11-10,2025-11-23 23:45:00,2025-11-24,2025-11-30 23:45:00,17480,1330,665,172,97.0533,118.5295,440.52,97.18,66.95,67.78,1330,169.7718,183.9579,611.3,150.09,185.83,226.18,665
14,2025-05-17,2025-11-16 23:45:00,2025-11-17,2025-11-30 23:45:00,2025-12-01,2025-12-07 23:45:00,17480,1330,665,228,84.9799,104.6185,401.4,111.36,75.94,96.34,1330,92.8755,118.7918,1397.88,81.39,43.68,44.11,665
15,2025-05-24,2025-11-23 23:45:00,2025-11-24,2025-12-07 23:45:00,2025-12-08,2025-12-14 23:45:00,17480,1330,665,225,69.8557,93.8493,450.01,89.29,45.96,57.09,1330,122.4716,203.5396,287.63,79.88,46.92,40.06,665
16,2025-06-01,2025-11-30 23:45:00,2025-12-01,2025-12-14 23:45:00,2025-12-15,2025-12-21 23:45:00,17385,1330,665,128,106.7741,167.2079,653.95,82.02,45.09,40.02,1330,80.7303,98.4207,157.31,81.46,46.66,42.81,665
