fold,train_start,test_start,test_end,train_n,val_n,test_n,val_MAE,test_MAE,test_RMSE
1,2025-02-18,2025-09-01,2025-09-07,4344,336,168,75.96,101.8,132.35
2,2025-02-25,2025-09-08,2025-09-14,4344,336,168,80.9,94.74,140.43
3,2025-03-01,2025-09-15,2025-09-21,4416,336,168,81.98,189.49,318.04
4,2025-03-08,2025-09-22,2025-09-28,4416,336,168,139.61,125.73,183.09
5,2025-03-15,2025-09-29,2025-10-05,4416,336,168,153.31,119.85,198.16
6,2025-03-22,2025-10-06,2025-10-12,4416,336,168,114.18,328.54,451.52
7,2025-03-29,2025-10-13,2025-10-19,4416,336,168,203.19,195.26,273.54
8,2025-04-06,2025-10-20,2025-10-26,4392,336,168,225.39,175.63,255.62
9,2025-04-13,2025-10-27,2025-11-02,4392,336,168,163.02,120.87,158.07
10,2025-04-20,2025-11-03,2025-11-09,4392,336,168,126.33,62.15,90.08
11,2025-04-27,2025-11-10,2025-11-16,4392,336,168,88.94,65.45,84.1
12,2025-05-03,2025-11-17,2025-11-23,4416,336,168,75.65,162.34,183.89
13,2025-05-10,2025-11-24,2025-11-30,4416,336,168,80.16,159.58,178.38
14,2025-05-17,2025-12-01,2025-12-07,4416,336,168,83.98,110.48,138.64
15,2025-05-24,2025-12-08,2025-12-14,4416,336,168,79.89,135.4,233.19
16,2025-06-01,2025-12-15,2025-12-21,4392,336,168,106.37,81.96,103.66
