fold,train_start,train_end,test_start,test_end,train_n,val_n,test_n,val_MAE,test_MAE,test_RMSE,test_corr,test_dir_acc
1,2025-02-18,2025-08-17,2025-09-01,2025-09-07,4344,336,168,73.27,89.99,121.52,0.7869,0.6894
2,2025-02-25,2025-08-24,2025-09-08,2025-09-14,4344,336,168,70.14,94.43,151.04,0.6962,0.646
3,2025-03-01,2025-08-31,2025-09-15,2025-09-21,4416,336,168,77.57,192.97,339.64,0.6663,0.6149
4,2025-03-08,2025-09-07,2025-09-22,2025-09-28,4416,336,168,140.83,135.36,192.51,0.7088,0.6335
5,2025-03-15,2025-09-14,2025-09-29,2025-10-05,4416,336,168,149.4,117.62,199.77,0.7038,0.6025
6,2025-03-22,2025-09-21,2025-10-06,2025-10-12,4416,336,168,113.39,341.32,466.38,0.347,0.5839
7,2025-03-29,2025-09-28,2025-10-13,2025-10-19,4416,336,168,199.65,212.17,273.02,0.4483,0.5404
8,2025-04-06,2025-10-05,2025-10-20,2025-10-26,4392,336,168,230.2,243.74,332.19,0.6436,0.5901
9,2025-04-13,2025-10-12,2025-10-27,2025-11-02,4392,336,168,153.65,155.58,181.96,0.8223,0.6708
10,2025-04-20,2025-10-19,2025-11-03,2025-11-09,4392,336,168,142.14,96.78,132.7,0.6664,0.6398
11,2025-04-27,2025-10-26,2025-11-10,2025-11-16,4392,336,168,86.58,50.86,61.65,0.9317,0.6335
12,2025-05-03,2025-11-02,2025-11-17,2025-11-23,4416,336,168,58.04,111.74,134.99,0.8268,0.6087
13,2025-05-10,2025-11-09,2025-11-24,2025-11-30,4416,336,168,70.31,117.37,143.69,0.7348,0.5342
14,2025-05-17,2025-11-16,2025-12-01,2025-12-07,4416,336,168,64.5,91.04,119.07,0.8024,0.5839
15,2025-05-24,2025-11-23,2025-12-08,2025-12-14,4416,336,168,76.33,120.6,220.52,0.5829,0.5404
16,2025-06-01,2025-11-30,2025-12-15,2025-12-21,4392,336,168,99.11,84.08,107.36,0.737,0.5652
