fold,train_start,test_start,test_end,train_n,val_n,test_n,val_MAE,test_MAE,test_RMSE,test_dir_acc
1,2024-08-18,2025-09-01,2025-09-07,8592,336,168,99.98,120.32,161.61,0.4286
2,2024-08-25,2025-09-08,2025-09-14,8592,336,168,86.48,131.88,243.36,0.4464
3,2024-09-01,2025-09-15,2025-09-21,8592,336,168,109.13,211.09,360.03,0.4286
4,2024-09-08,2025-09-22,2025-09-28,8592,336,168,164.41,125.77,189.2,0.4405
5,2024-09-15,2025-09-29,2025-10-05,8616,336,0,164.27,,,0.0
6,2024-09-22,2025-10-06,2025-10-12,8640,168,72,115.75,301.3,466.82,0.4722
7,2024-09-29,2025-10-13,2025-10-19,8640,72,168,301.86,211.78,293.45,0.4107
8,2024-10-06,2025-10-20,2025-10-26,8472,240,168,229.14,193.6,269.57,0.375
9,2024-10-13,2025-10-27,2025-11-02,8376,336,168,173.31,159.98,208.94,0.4167
10,2024-10-20,2025-11-03,2025-11-09,8376,336,168,165.3,74.63,100.1,0.5
11,2024-10-27,2025-11-10,2025-11-16,8376,336,72,117.37,88.31,166.15,0.5139
12,2024-11-03,2025-11-17,2025-11-23,8376,240,24,65.14,125.74,150.14,0.2083
13,2024-11-10,2025-11-24,2025-11-30,8400,96,168,58.34,90.33,107.81,0.3452
14,2024-11-17,2025-12-01,2025-12-07,8328,192,168,75.76,127.59,176.13,0.4464
15,2024-11-24,2025-12-08,2025-12-14,8184,336,168,82.7,142.8,235.96,0.3929
16,2024-12-01,2025-12-15,2025-12-21,8184,336,168,116.53,102.79,134.34,0.4881
