fold,train_start,test_start,test_end,train_n,val_n,test_n,val_MAE,test_MAE,test_RMSE,test_dir_acc
1,2024-08-18,2025-09-01,2025-09-07,8592,336,168,101.27,123.87,169.42,0.4345
2,2024-08-25,2025-09-08,2025-09-14,8592,336,168,93.07,147.59,261.71,0.4583
3,2024-09-01,2025-09-15,2025-09-21,8592,336,168,110.76,204.52,359.81,0.4107
4,2024-09-08,2025-09-22,2025-09-28,8592,336,168,164.76,130.62,191.74,0.4643
5,2024-09-15,2025-09-29,2025-10-05,8616,336,0,165.5,,,0.0
6,2024-09-22,2025-10-06,2025-10-12,8640,168,72,107.45,344.72,511.94,0.4167
7,2024-09-29,2025-10-13,2025-10-19,8640,72,168,287.23,208.57,291.15,0.369
8,2024-10-06,2025-10-20,2025-10-26,8472,240,168,227.91,197.67,265.24,0.3512
9,2024-10-13,2025-10-27,2025-11-02,8376,336,168,170.76,170.32,220.95,0.3869
10,2024-10-20,2025-11-03,2025-11-09,8376,336,168,164.75,79.08,105.51,0.506
11,2024-10-27,2025-11-10,2025-11-16,8376,336,72,111.41,69.97,115.14,0.5
12,2024-11-03,2025-11-17,2025-11-23,8376,240,24,62.72,147.24,164.4,0.1667
13,2024-11-10,2025-11-24,2025-11-30,8400,96,168,65.99,76.23,98.73,0.3571
14,2024-11-17,2025-12-01,2025-12-07,8328,192,168,61.16,117.17,164.95,0.4643
15,2024-11-24,2025-12-08,2025-12-14,8184,336,168,78.91,126.44,225.84,0.4048
16,2024-12-01,2025-12-15,2025-12-21,8184,336,168,110.61,93.74,123.33,0.4226
