fold,train_start,test_start,test_end,train_n,val_n,test_n,val_MAE,test_MAE,test_RMSE,test_dir_acc
1,2024-12-14,2025-12-28,2026-01-03,8760,336,168,71.81,103.7,188.75,0.4821
2,2024-12-21,2026-01-04,2026-01-10,8760,336,168,87.38,105.48,145.62,0.4524
3,2024-12-28,2026-01-11,2026-01-17,8760,336,168,102.59,98.85,135.87,0.4762
4,2025-01-04,2026-01-18,2026-01-24,8760,336,168,94.0,93.07,120.24,0.6012
5,2025-01-11,2026-01-25,2026-01-31,8760,336,168,92.37,192.11,263.83,0.5774
6,2025-01-18,2026-02-01,2026-02-07,8760,336,168,124.66,107.52,142.4,0.5238
7,2025-01-25,2026-02-08,2026-02-14,8760,336,168,134.65,94.96,119.99,0.5
8,2025-02-01,2026-02-15,2026-02-21,8760,336,168,85.14,74.8,99.93,0.3869
9,2025-02-08,2026-02-22,2026-02-28,8760,336,168,74.2,124.53,159.55,0.5833
10,2025-02-15,2026-03-01,2026-03-07,8760,336,168,89.2,113.33,148.91,0.5179
11,2025-02-22,2026-03-08,2026-03-14,8760,336,168,95.64,121.26,167.43,0.5595
12,2025-03-01,2026-03-15,2026-03-21,8760,336,168,99.88,93.23,124.86,0.625
13,2025-03-08,2026-03-22,2026-03-28,8760,336,168,91.36,92.12,127.29,0.6012
14,2025-03-15,2026-03-29,2026-04-04,8760,336,168,94.48,100.22,137.91,0.5655
15,2025-03-22,2026-04-05,2026-04-11,8760,336,168,93.45,99.12,166.95,0.5714
16,2025-03-29,2026-04-12,2026-04-18,8760,336,168,89.49,126.2,170.38,0.4821
