fold,train_start,test_start,test_end,train_n,val_n,test_n,val_MAE,test_MAE,test_RMSE,test_dir_acc
1,2024-12-14,2025-12-28,2026-01-03,8760,336,168,64.19,105.04,192.15,0.5893
2,2024-12-21,2026-01-04,2026-01-10,8760,336,168,81.91,82.94,110.23,0.6488
3,2024-12-28,2026-01-11,2026-01-17,8760,336,168,86.94,94.06,126.26,0.5417
4,2025-01-04,2026-01-18,2026-01-24,8760,336,168,79.48,71.73,90.74,0.6548
5,2025-01-11,2026-01-25,2026-01-31,8760,336,168,79.11,153.16,217.96,0.625
6,2025-01-18,2026-02-01,2026-02-07,8760,336,168,107.66,87.14,114.55,0.5238
7,2025-01-25,2026-02-08,2026-02-14,8760,336,168,111.6,82.84,103.67,0.5536
8,2025-02-01,2026-02-15,2026-02-21,8760,336,168,74.56,87.57,113.86,0.3333
9,2025-02-08,2026-02-22,2026-02-28,8760,336,168,67.44,105.56,126.78,0.4643
10,2025-02-15,2026-03-01,2026-03-07,8760,336,168,73.22,86.57,110.66,0.5417
11,2025-02-22,2026-03-08,2026-03-14,8760,336,168,80.13,88.23,116.77,0.5714
12,2025-03-01,2026-03-15,2026-03-21,8760,336,168,78.29,74.18,98.47,0.5298
13,2025-03-08,2026-03-22,2026-03-28,8760,336,168,74.51,98.86,139.78,0.5238
14,2025-03-15,2026-03-29,2026-04-04,8760,336,168,79.69,80.07,107.14,0.6012
15,2025-03-22,2026-04-05,2026-04-11,8760,336,144,79.3,78.1,154.17,0.625
16,2025-03-29,2026-04-12,2026-04-18,8760,312,168,71.77,128.58,172.74,0.6369
