fold,train_start,test_start,test_end,train_n,val_n,test_n,val_MAE,test_MAE,test_RMSE,test_dir_acc
1,2024-12-14,2025-12-28,2026-01-03,8760,336,168,61.47,109.74,204.94,0.619
2,2024-12-21,2026-01-04,2026-01-10,8760,336,168,82.31,81.62,107.97,0.6369
3,2024-12-28,2026-01-11,2026-01-17,8760,336,168,93.06,94.79,132.01,0.5595
4,2025-01-04,2026-01-18,2026-01-24,8760,336,168,79.96,73.06,92.73,0.631
5,2025-01-11,2026-01-25,2026-01-31,8760,336,168,78.41,163.08,224.0,0.6071
6,2025-01-18,2026-02-01,2026-02-07,8760,336,168,110.54,93.59,120.27,0.5
7,2025-01-25,2026-02-08,2026-02-14,8760,336,168,122.44,82.55,106.12,0.4464
8,2025-02-01,2026-02-15,2026-02-21,8760,336,168,81.61,92.88,116.98,0.3452
9,2025-02-08,2026-02-22,2026-02-28,8760,336,168,66.57,117.05,143.58,0.4821
10,2025-02-15,2026-03-01,2026-03-07,8760,336,168,79.59,99.63,127.09,0.4821
11,2025-02-22,2026-03-08,2026-03-14,8760,336,168,86.28,101.33,127.12,0.5357
12,2025-03-01,2026-03-15,2026-03-21,8760,336,168,85.61,83.11,110.0,0.5357
13,2025-03-08,2026-03-22,2026-03-28,8760,336,168,76.59,102.09,141.42,0.5774
14,2025-03-15,2026-03-29,2026-04-04,8760,336,168,91.42,80.31,105.44,0.5476
15,2025-03-22,2026-04-05,2026-04-11,8760,336,144,84.15,87.71,166.33,0.5764
16,2025-03-29,2026-04-12,2026-04-18,8760,312,168,75.7,125.74,161.25,0.5238
