fold,train_start,test_start,test_end,train_n,val_n,test_n,val_MAE,test_MAE,test_RMSE,test_dir_acc
1,2024-12-14,2025-12-28,2026-01-03,35040,1344,672,78.42,126.07,235.16,0.3943
2,2024-12-21,2026-01-04,2026-01-10,35040,1344,672,93.82,115.27,163.34,0.3482
3,2024-12-28,2026-01-11,2026-01-17,35040,1344,672,110.68,113.7,167.62,0.3661
4,2025-01-04,2026-01-18,2026-01-24,35040,1344,672,101.55,95.1,132.03,0.3929
5,2025-01-11,2026-01-25,2026-01-31,35040,1344,672,95.68,220.07,319.35,0.3765
6,2025-01-18,2026-02-01,2026-02-07,35040,1344,672,144.64,120.53,169.1,0.4107
7,2025-01-25,2026-02-08,2026-02-14,35040,1344,672,152.82,115.84,149.52,0.4405
8,2025-02-01,2026-02-15,2026-02-21,35040,1344,672,97.69,80.04,115.69,0.4524
9,2025-02-08,2026-02-22,2026-02-28,35040,1344,672,80.05,138.98,201.77,0.4405
10,2025-02-15,2026-03-01,2026-03-07,35040,1344,672,92.16,112.25,158.19,0.4167
11,2025-02-22,2026-03-08,2026-03-14,35040,1344,672,108.18,117.06,164.87,0.4762
12,2025-03-01,2026-03-15,2026-03-21,35040,1344,672,107.05,112.32,159.37,0.4568
13,2025-03-08,2026-03-22,2026-03-28,35040,1344,672,102.72,127.23,187.85,0.4018
14,2025-03-15,2026-03-29,2026-04-04,35040,1344,672,106.79,114.78,163.92,0.4583
15,2025-03-22,2026-04-05,2026-04-11,35040,1344,672,109.93,109.71,196.25,0.5
16,2025-03-29,2026-04-12,2026-04-18,35040,1344,672,101.47,134.13,186.1,0.4137
