date,charge_mwh,discharge_mwh,gross,aux_cost,net,pf_gross,pf_net,soc_end
2026-01-25,1200.0,328.85,-39908.0,1651.0,-41559.0,135106.0,133455.0,800.0
2026-01-26,936.13,1290.63,389402.0,5022.0,384380.0,929373.0,924351.0,340.0650278882583
2026-01-27,1200.0,1416.4,315806.0,6146.0,309660.0,481164.0,475018.0,0.0
2026-01-28,1200.0,1060.1,334649.0,9777.0,324872.0,608656.0,598879.0,33.44171314709729
2026-01-29,1200.0,1008.36,-86549.0,9796.0,-96346.0,676336.0,666540.0,121.11620932275862
2026-01-30,1200.0,1207.54,13256.0,5429.0,7827.0,62496.0,57067.0,0.0
2026-01-31,838.63,763.15,248546.0,2370.0,246176.0,499116.0,496746.0,0.0
2026-02-01,1200.0,1092.0,336023.0,2214.0,333809.0,405033.0,402819.0,0.0
2026-02-02,1200.0,1092.0,113769.0,2432.0,111337.0,230911.0,228478.0,0.0
2026-02-03,1200.0,958.91,-70680.0,883.0,-71562.0,301758.0,300875.0,139.5136082072283
2026-02-04,1200.0,461.94,-49110.0,332.0,-49442.0,163669.0,163337.0,800.0
2026-02-05,1106.49,1770.05,664811.0,4539.0,660273.0,652534.0,647996.0,0.0
2026-02-06,1160.06,1055.65,-130173.0,3964.0,-134137.0,128544.0,124580.0,-0.0
2026-02-07,1200.0,1092.0,217164.0,1088.0,216076.0,377130.0,376042.0,0.0
2026-02-08,1200.0,709.8,27975.0,927.0,27048.0,134503.0,133576.0,400.65446459511713
2026-02-09,1200.0,1003.28,100237.0,-112.0,100349.0,185833.0,185945.0,493.6635367332694
2026-02-10,1071.13,1445.65,454120.0,2324.0,451796.0,552391.0,550067.0,-0.0
2026-02-11,1200.0,1092.0,134747.0,309.0,134439.0,239177.0,238868.0,0.0
2026-02-12,1200.0,1092.0,-3551.0,1399.0,-4950.0,276805.0,275406.0,0.0
2026-02-13,1200.0,1092.0,73675.0,141.0,73534.0,193954.0,193813.0,0.0
2026-02-14,1200.0,328.85,43459.0,-550.0,44009.0,69701.0,70252.0,800.0
