date,charge_mwh,discharge_mwh,gross,aux_cost,net,pf_gross,pf_net,soc_end
2026-01-25,1200.0,328.85,-26819.0,1651.0,-28470.0,135106.0,133455.0,800.0
2026-01-26,1082.38,1082.46,224585.0,5022.0,219563.0,929373.0,924351.0,697.792228419613
2026-01-27,1082.38,1650.62,491537.0,6146.0,485391.0,481164.0,475018.0,-0.0
2026-01-28,1200.0,1092.0,432425.0,9777.0,422648.0,608656.0,598879.0,0.0
2026-01-29,941.79,857.02,-94274.0,9796.0,-104071.0,676336.0,666540.0,0.0
2026-01-30,1071.43,975.0,143158.0,5429.0,137729.0,62496.0,57067.0,0.0
2026-01-31,936.13,851.88,256709.0,2370.0,254339.0,499116.0,496746.0,-0.0
2026-02-01,1200.0,1092.0,307650.0,2214.0,305436.0,405033.0,402819.0,0.0
2026-02-02,1200.0,1092.0,67950.0,2432.0,65518.0,230911.0,228478.0,-0.0
2026-02-03,1200.0,913.85,79362.0,883.0,78479.0,301758.0,300875.0,186.75337051767792
2026-02-04,1200.0,507.0,25368.0,332.0,25036.0,163669.0,163337.0,800.0
2026-02-05,1033.63,1703.75,662375.0,4539.0,657837.0,652534.0,647996.0,0.0
2026-02-06,1082.38,984.96,-85896.0,3964.0,-89860.0,128544.0,124580.0,0.0
2026-02-07,1200.0,1092.0,202550.0,1088.0,201462.0,377130.0,376042.0,-0.0
2026-02-08,1200.0,495.62,40820.0,927.0,39893.0,134503.0,133576.0,625.1708695000344
2026-02-09,1200.0,1434.66,78362.0,-112.0,78474.0,185833.0,185945.0,265.9643934924778
2026-02-10,1200.0,1345.71,283545.0,2324.0,281221.0,552391.0,550067.0,-0.0
2026-02-11,1200.0,1092.0,84160.0,309.0,83851.0,239177.0,238868.0,0.0
2026-02-12,1200.0,1092.0,140808.0,1399.0,139410.0,276805.0,275406.0,-0.0
2026-02-13,1200.0,1092.0,55253.0,141.0,55112.0,193954.0,193813.0,-0.0
2026-02-14,1200.0,328.85,50771.0,-550.0,51321.0,69701.0,70252.0,800.0
2026-02-15,856.49,1542.55,478174.0,2070.0,476104.0,544388.0,542318.0,0.0
2026-02-16,1179.88,1073.69,227783.0,2544.0,225240.0,285497.0,282953.0,0.0
2026-02-17,1007.56,836.22,7754.0,-117.0,7871.0,50572.0,50689.0,84.54559893729092
2026-02-18,1200.0,409.5,61462.0,-591.0,62053.0,27406.0,27996.0,800.0
2026-02-19,1200.0,1250.65,-2786.0,-652.0,-2134.0,5653.0,6306.0,633.6881837983998
2026-02-20,1200.0,933.35,13333.0,-652.0,13984.0,5400.0,6051.0,800.0
2026-02-21,1035.24,1185.81,74534.0,278.0,74256.0,212086.0,211808.0,544.4805710490324
2026-02-22,1131.13,1548.73,134391.0,197.0,134194.0,216253.0,216056.0,0.0
2026-02-23,1049.88,955.39,228641.0,1391.0,227250.0,348534.0,347143.0,0.0
