date,charge_window,discharge_window,charge_mwh,discharge_mwh,gross,aux_cost,net,pf_gross,pf_aux_cost,pf_net
2026-01-27,04–21,06–22,1228.63,1118.05,295336.0,6146.0,289190.0,527856.0,6146.0,521709.0
2026-01-28,09–16,11–23,975.0,887.25,120475.0,9777.0,110699.0,686392.0,9777.0,676615.0
2026-01-29,00–16,08–17,1052.14,957.45,-207118.0,9796.0,-216914.0,668159.0,9796.0,658362.0
2026-01-30,02–20,10–24,1208.57,1099.8,89047.0,5429.0,83618.0,195794.0,5429.0,190365.0
2026-01-31,12–20,17–24,1033.63,940.6,286872.0,2370.0,284502.0,333010.0,2370.0,330640.0
2026-02-01,00–21,01–24,1188.51,1081.55,338105.0,2214.0,335891.0,388919.0,2214.0,386704.0
2026-02-02,00–23,01–24,1423.63,1295.5,48689.0,2432.0,46256.0,297101.0,2432.0,294669.0
2026-02-03,00–23,01–24,1657.2,1508.05,56267.0,883.0,55384.0,172207.0,883.0,171324.0
2026-02-04,00–17,03–24,1579.29,1437.15,90148.0,332.0,89817.0,151858.0,332.0,151526.0
2026-02-05,01–16,05–22,1052.91,958.15,516470.0,4539.0,511931.0,663428.0,4539.0,658889.0
2026-02-06,00–17,01–20,1266.43,1152.45,-93352.0,3964.0,-97316.0,242227.0,3964.0,238263.0
2026-02-07,04–16,05–21,1423.63,1295.5,265055.0,1088.0,263967.0,377924.0,1088.0,376835.0
2026-02-08,01–17,04–21,1598.57,1454.7,53063.0,927.0,52136.0,167465.0,927.0,166538.0
2026-02-09,00–18,02–24,2145.0,1951.95,-82416.0,-112.0,-82304.0,173290.0,-112.0,173402.0
2026-02-10,00–15,01–21,1618.63,1472.95,354217.0,2324.0,351892.0,456701.0,2324.0,454377.0
2026-02-11,04–22,07–24,1870.71,1702.35,138590.0,309.0,138281.0,212680.0,309.0,212372.0
2026-02-12,10–15,18–23,838.63,763.15,74159.0,1399.0,72760.0,314796.0,1399.0,313397.0
2026-02-13,00–21,01–23,1832.91,1667.95,94403.0,141.0,94262.0,125337.0,141.0,125196.0
2026-02-14,00–21,01–24,2065.71,1879.8,39224.0,-550.0,39774.0,46853.0,-550.0,47403.0
2026-02-15,00–16,04–24,1617.86,1472.25,315270.0,2070.0,313200.0,351915.0,2070.0,349846.0
2026-02-16,00–15,02–23,1228.63,1118.05,210421.0,2544.0,207878.0,285427.0,2544.0,282883.0
2026-02-17,09–16,13–23,1052.91,958.15,4738.0,-117.0,4855.0,17652.0,-117.0,17769.0
2026-02-18,00–21,02–22,1560.0,1419.6,16770.0,-591.0,17361.0,32612.0,-591.0,33203.0
2026-02-19,00–23,04–24,2027.91,1845.4,8872.0,-652.0,9525.0,10860.0,-652.0,11513.0
2026-02-20,00–16,02–22,1755.0,1597.05,7897.0,-652.0,8549.0,10607.0,-652.0,11259.0
2026-02-21,00–22,03–24,2027.91,1845.4,198216.0,278.0,197939.0,250783.0,278.0,250505.0
2026-02-22,00–16,05–23,1365.0,1242.15,175693.0,197.0,175496.0,213605.0,197.0,213408.0
2026-02-23,05–16,07–22,1189.29,1082.25,262963.0,1391.0,261572.0,367940.0,1391.0,366549.0
2026-02-24,01–17,03–22,1228.63,1118.05,41137.0,374.0,40763.0,47189.0,374.0,46815.0
2026-02-25,00–21,02–24,2066.49,1880.5,278501.0,860.0,277641.0,314182.0,860.0,313322.0
2026-02-26,11–17,18–23,838.63,763.15,-82969.0,3087.0,-86056.0,223766.0,3087.0,220679.0
2026-02-27,00–21,03–23,1832.14,1667.25,137192.0,2965.0,134227.0,416678.0,2965.0,413713.0
2026-02-28,01–17,03–24,1774.29,1614.6,32080.0,2835.0,29245.0,326763.0,2835.0,323929.0
2026-03-01,00–22,08–23,1423.63,1295.5,-300179.0,5358.0,-305537.0,143334.0,5358.0,137976.0
2026-03-02,05–20,07–24,1637.91,1490.5,91712.0,260.0,91452.0,181702.0,260.0,181442.0
2026-03-03,00–15,05–24,1677.26,1526.3,298741.0,1906.0,296834.0,381408.0,1906.0,379501.0
2026-03-04,14–23,18–24,857.14,780.0,-34729.0,4269.0,-38998.0,159303.0,4269.0,155034.0
2026-03-05,10–17,12–24,1052.91,958.15,273304.0,1457.0,271847.0,332291.0,1457.0,330835.0
2026-03-06,08–16,12–21,1052.91,958.15,55923.0,4789.0,51134.0,221188.0,4789.0,216399.0
2026-03-07,00–21,02–24,1637.91,1490.5,211768.0,821.0,210948.0,250301.0,821.0,249480.0
2026-03-08,00–17,03–24,1267.2,1153.15,260132.0,2365.0,257768.0,284183.0,2365.0,281818.0
2026-03-09,01–20,02–23,1383.51,1259.0,74447.0,1054.0,73392.0,134634.0,1054.0,133580.0
2026-03-10,00–17,03–24,1618.63,1472.95,325658.0,1954.0,323704.0,362804.0,1954.0,360851.0
2026-03-11,00–17,02–24,1247.91,1135.6,-187469.0,4419.0,-191888.0,317377.0,4419.0,312958.0
2026-03-12,03–23,04–24,1852.2,1685.5,101862.0,-157.0,102019.0,146402.0,-157.0,146559.0
2026-03-13,01–17,04–24,1852.2,1685.5,150294.0,2747.0,147547.0,506137.0,2747.0,503390.0
2026-03-14,00–16,03–21,1052.91,958.15,9881.0,4872.0,5009.0,97079.0,4872.0,92207.0
2026-03-15,00–16,02–23,1462.2,1330.6,7421.0,4203.0,3218.0,250020.0,4203.0,245816.0
2026-03-16,02–22,03–24,1618.63,1472.95,65224.0,542.0,64682.0,126555.0,542.0,126013.0
2026-03-17,00–21,05–24,1384.29,1259.7,61067.0,2556.0,58511.0,509228.0,2556.0,506673.0
2026-03-18,00–16,01–22,1423.63,1295.5,180507.0,1565.0,178942.0,222365.0,1565.0,220800.0
2026-03-19,01–17,06–24,1442.91,1313.05,348690.0,2350.0,346341.0,459620.0,2350.0,457270.0
2026-03-20,09–17,11–22,1052.91,958.15,124589.0,1595.0,122994.0,212912.0,1595.0,211317.0
2026-03-21,01–18,02–24,2008.63,1827.85,29054.0,-175.0,29229.0,107709.0,-175.0,107885.0
2026-03-22,00–22,04–24,1813.63,1650.4,261753.0,4204.0,257549.0,382405.0,4204.0,378202.0
2026-03-23,08–19,11–24,1285.71,1170.0,101009.0,967.0,100042.0,140631.0,967.0,139665.0
2026-03-24,05–21,06–24,1266.43,1152.45,243736.0,817.0,242919.0,257784.0,817.0,256967.0
2026-03-25,00–23,01–24,1423.63,1295.5,259253.0,2470.0,256783.0,420936.0,2470.0,418466.0
2026-03-26,10–15,18–23,838.63,763.15,242528.0,5072.0,237456.0,413179.0,5072.0,408107.0
2026-03-27,00–15,02–23,1442.91,1313.05,68096.0,5869.0,62227.0,340413.0,5869.0,334544.0
2026-03-28,00–20,01–22,1852.2,1685.5,-110920.0,4219.0,-115139.0,119873.0,4219.0,115654.0
2026-03-29,01–17,02–24,1462.2,1330.6,-77390.0,3748.0,-81138.0,124327.0,3748.0,120579.0
2026-03-30,00–23,04–24,1637.91,1490.5,-22176.0,5132.0,-27308.0,287335.0,5132.0,282202.0
2026-03-31,02–16,03–24,1462.2,1330.6,221735.0,1183.0,220553.0,270147.0,1183.0,268964.0
2026-04-01,00–23,02–24,1423.63,1295.5,196416.0,4059.0,192357.0,310708.0,4059.0,306649.0
2026-04-02,00–17,05–23,1052.91,958.15,34993.0,533.0,34460.0,117409.0,533.0,116876.0
2026-04-03,00–17,01–23,1890.77,1720.6,394641.0,1000.0,393641.0,396538.0,1000.0,395538.0
2026-04-04,09–15,12–23,975.0,887.25,131031.0,160.0,130872.0,177358.0,160.0,177198.0
2026-04-05,00–17,04–24,1442.91,1313.05,349740.0,928.0,348812.0,397346.0,928.0,396418.0
2026-04-06,03–15,04–24,1365.0,1242.15,181153.0,1877.0,179276.0,329526.0,1877.0,327649.0
2026-04-07,08–18,11–23,1228.63,1118.05,-110233.0,2348.0,-112581.0,265983.0,2348.0,263635.0
2026-04-08,00–16,02–23,1481.49,1348.15,147531.0,511.0,147020.0,240340.0,511.0,239829.0
2026-04-09,00–17,02–24,1462.2,1330.6,134554.0,1976.0,132578.0,371640.0,1976.0,369664.0
2026-04-10,03–17,05–24,1247.91,1135.6,631142.0,2411.0,628732.0,661087.0,2411.0,658677.0
2026-04-11,10–22,13–24,1365.0,1242.15,86237.0,1638.0,84599.0,162981.0,1638.0,161343.0
2026-04-12,00–16,04–21,1403.57,1277.25,-18228.0,1428.0,-19656.0,295900.0,1428.0,294472.0
2026-04-13,04–15,06–24,1267.2,1153.15,99829.0,2333.0,97497.0,242321.0,2333.0,239988.0
2026-04-14,10–22,18–23,857.14,780.0,203428.0,3529.0,199898.0,383448.0,3529.0,379919.0
2026-04-15,02–19,04–24,1676.49,1525.6,111642.0,341.0,111301.0,126543.0,341.0,126202.0
2026-04-16,00–22,03–24,1636.37,1489.1,-41452.0,2107.0,-43558.0,97136.0,2107.0,95029.0
2026-04-17,04–17,07–22,1423.63,1295.5,99138.0,454.0,98684.0,249615.0,454.0,249161.0
