date,charge_start,charge_end,discharge_start,discharge_end,cross_midnight,charge_actual_mean,discharge_actual_mean,spread_actual,charge_pred_mean,discharge_pred_mean,revenue_pred_yuan,revenue_actual_yuan,revenue_pf_yuan
2026-01-25,13,16,0,3,1,86.58,236.54,149.96,8.37,145.58,109767.0,119966.0,219387.0
2026-01-26,10,13,18,21,0,181.0,771.25,590.25,65.15,612.46,437847.0,472200.0,674671.0
2026-01-27,10,13,0,3,1,364.6,786.31,421.71,372.39,341.83,-24443.0,337372.0,434103.0
2026-01-28,12,15,17,20,0,501.44,562.0,60.56,182.8,414.04,184993.0,48450.0,138459.0
2026-01-29,20,23,10,13,1,1021.0,342.0,-679.0,353.13,426.85,58977.0,-543202.0,448049.0
2026-01-30,13,16,20,23,0,208.75,390.62,181.88,334.7,531.39,157356.0,145500.0,152000.0
2026-01-31,12,15,0,3,1,-50.0,330.31,380.31,33.53,166.44,106335.0,304250.0,261950.0
2026-02-01,13,16,20,23,0,-50.0,391.25,441.25,-15.81,403.93,335793.0,353000.0,393000.0
2026-02-02,12,15,1,4,1,-34.38,194.38,228.75,-1.19,122.88,99250.0,183000.0,183000.0
2026-02-03,10,13,0,3,1,-50.0,180.0,230.0,-9.93,143.09,122421.0,184000.0,143000.0
2026-02-04,13,16,20,23,0,-50.0,89.43,139.43,-3.73,282.78,229210.0,111542.0,264320.0
2026-02-05,12,15,18,21,0,-50.0,571.54,621.54,60.8,403.41,274086.0,497233.0,581000.0
2026-02-06,13,16,1,4,1,83.1,29.38,-53.73,160.04,94.93,-52091.0,-42982.0,11013.0
2026-02-07,11,14,17,20,0,-50.0,301.84,351.84,-30.28,301.45,265389.0,281474.0,292500.0
2026-02-08,13,16,1,4,1,-49.87,-32.49,17.38,8.83,-18.19,-21614.0,13906.0,30420.0
2026-02-09,14,17,20,23,0,82.5,-49.32,-131.82,-36.04,70.3,85069.0,-105455.0,106229.0
2026-02-10,11,14,17,20,0,-50.0,387.42,437.42,5.05,364.11,287253.0,349939.0,425130.0
2026-02-11,13,16,21,0,0,-50.0,215.65,265.65,-19.03,154.91,139147.0,212519.0,212519.0
2026-02-12,10,13,18,21,0,-50.0,44.38,94.38,14.97,261.29,197058.0,75500.0,158577.0
