date,charge_start,charge_end,discharge_start,discharge_end,charge_actual_mean,discharge_actual_mean,spread_actual,charge_pred_mean,discharge_pred_mean,revenue_pred_yuan,revenue_actual_yuan,maint_cost_yuan,net_revenue_yuan,revenue_pf_yuan,net_pf_yuan
2026-01-25,13,16,17,20,86.58,81.76,-4.82,8.37,86.83,62765.0,-3857.0,12164.0,-16021.0,124364.0,112200.0
2026-01-26,10,13,18,21,181.0,771.25,590.25,65.15,612.46,437847.0,472200.0,37003.0,435197.0,674671.0,637669.0
2026-01-27,10,13,16,19,364.6,658.64,294.04,372.39,627.78,204313.0,235232.0,45284.0,189949.0,340003.0,294719.0
2026-01-28,12,15,17,20,501.44,562.0,60.56,182.8,414.04,184993.0,48450.0,72032.0,-23582.0,366150.0,294118.0
2026-01-29,0,3,10,13,990.19,790.73,-199.45,390.32,755.15,291860.0,-159563.0,72177.0,-231740.0,424449.0,352272.0
2026-01-30,13,16,20,23,208.75,390.62,181.88,334.7,531.39,157356.0,145500.0,39999.0,105501.0,148500.0,108501.0
2026-01-31,12,15,17,20,-50.0,280.56,330.56,33.53,164.78,105001.0,264448.0,17461.0,246987.0,264448.0,246987.0
2026-02-01,13,16,20,23,-50.0,391.25,441.25,-15.81,403.93,335793.0,353000.0,16312.0,336688.0,353000.0,336688.0
2026-02-02,12,15,17,20,-34.38,175.31,209.69,-1.19,375.74,301542.0,167751.0,17920.0,149831.0,169750.0,151830.0
2026-02-03,10,13,17,20,-50.0,54.08,104.08,-9.93,129.34,111420.0,83262.0,6502.0,76760.0,157182.0,150680.0
2026-02-04,13,16,20,23,-50.0,89.43,139.43,-3.73,282.78,229210.0,111542.0,2445.0,109097.0,111542.0,109097.0
2026-02-05,12,15,18,21,-50.0,571.54,621.54,60.8,403.41,274086.0,497233.0,33438.0,463795.0,581000.0,547562.0
2026-02-06,13,16,17,20,83.1,80.23,-2.87,160.04,364.1,163248.0,-2298.0,29206.0,-31504.0,101955.0,72749.0
2026-02-07,11,14,17,20,-50.0,301.84,351.84,-30.28,301.45,265389.0,281474.0,8019.0,273455.0,292500.0,284481.0
2026-02-08,13,16,17,20,-49.87,81.12,130.99,8.83,152.75,115142.0,104794.0,6828.0,97966.0,104900.0,98072.0
2026-02-09,14,17,20,23,82.5,-49.32,-131.82,-36.04,70.3,85069.0,-105455.0,-827.0,-104628.0,106229.0,107055.0
2026-02-10,11,14,17,20,-50.0,387.42,437.42,5.05,364.11,287253.0,349939.0,17125.0,332814.0,425130.0,408006.0
2026-02-11,13,16,17,20,-50.0,50.0,100.0,-19.03,128.04,117655.0,80000.0,2274.0,77726.0,171469.0,169195.0
2026-02-12,10,13,18,21,-50.0,44.38,94.38,14.97,261.29,197058.0,75500.0,10304.0,65196.0,234691.0,224387.0
2026-02-13,8,11,19,22,-50.0,53.69,103.69,-16.47,58.21,59746.0,82951.0,1039.0,81911.0,87069.0,86029.0
2026-02-14,15,18,20,23,-49.12,-50.0,-0.88,-35.57,66.13,81366.0,-704.0,-4054.0,3350.0,28899.0,32953.0
2026-02-15,12,15,18,21,-50.0,319.38,369.38,-17.88,452.07,375955.0,295500.0,15250.0,280250.0,309500.0,294250.0
2026-02-16,9,12,19,22,-15.62,269.38,285.0,35.63,377.87,273793.0,228000.0,18740.0,209260.0,257500.0,238760.0
2026-02-17,9,12,18,21,-50.0,-50.0,0.0,-13.28,204.45,174178.0,0.0,-860.0,860.0,0.0,860.0
2026-02-18,9,12,13,16,-50.0,-50.0,0.0,22.3,40.71,14726.0,0.0,-4351.0,4351.0,22500.0,26851.0
