date,old_charge_mwh,old_discharge_mwh,old_cycles,old_net,old_pf_net,new_charge_mwh,new_discharge_mwh,new_cycles,new_arb_net,new_cap_comp,new_net_total,new_pf_net_total
2026-01-27,984.88,896.24,1.23,266958.0,474463.0,1666.84,1516.83,4.17,151798.0,530890.0,682688.0,854473.0
2026-01-28,1200.0,503.75,1.5,-510768.0,598879.0,1671.81,1521.35,4.18,78929.0,532472.0,611402.0,997258.0
2026-01-29,689.34,860.65,0.86,-91493.0,666540.0,1554.64,1414.72,3.89,2371.0,495152.0,497523.0,1028652.0
2026-01-30,1056.43,1316.25,1.32,218644.0,57067.0,1588.63,1445.65,3.97,-30185.0,505978.0,475793.0,709370.0
2026-01-31,828.75,621.07,1.04,159662.0,496746.0,1725.0,1569.75,4.31,83140.0,549412.0,632552.0,711344.0
2026-02-01,1200.0,1225.09,1.5,333493.0,402172.0,1715.98,1561.54,4.29,120271.0,546539.0,666810.0,727035.0
2026-02-02,1200.0,1092.0,1.5,80801.0,228478.0,1349.85,1228.36,3.37,22576.0,429926.0,452502.0,697625.0
2026-02-03,1200.0,536.25,1.5,33347.0,300874.0,1822.74,1396.9,4.56,-65412.0,488915.0,423503.0,655282.0
2026-02-04,1042.91,1180.4,1.3,192145.0,163337.0,1423.09,1556.8,3.56,120970.0,544880.0,665850.0,639507.0
2026-02-05,838.63,1087.55,1.05,494093.0,647996.0,1720.56,1565.71,4.3,199480.0,547998.0,747478.0,859680.0
2026-02-06,1200.0,1092.0,1.5,-128160.0,124580.0,1569.34,1428.1,3.92,-109041.0,499835.0,390794.0,713979.0
2026-02-07,1150.41,1046.88,1.44,309999.0,375691.0,1671.66,1521.21,4.18,141298.0,532424.0,673722.0,678874.0
2026-02-08,1200.0,870.19,1.5,44049.0,133576.0,1724.85,1569.61,4.31,-18364.0,549364.0,531000.0,640025.0
2026-02-09,1200.0,550.66,1.5,49226.0,185945.0,1755.0,1596.07,4.39,-26690.0,558624.0,531934.0,675586.0
2026-02-10,1200.0,1855.15,1.5,460722.0,550067.0,1521.13,1385.2,3.8,101401.0,484820.0,586221.0,704436.0
2026-02-11,1033.63,940.6,1.29,160500.0,238858.0,1724.85,1569.61,4.31,73842.0,549364.0,623206.0,673227.0
2026-02-12,1010.77,919.8,1.26,72273.0,275406.0,1583.96,1441.4,3.96,57029.0,504490.0,561519.0,793482.0
2026-02-13,1066.13,907.08,1.33,78373.0,193357.0,1715.59,1561.19,4.29,-16978.0,546416.0,529438.0,583910.0
2026-02-14,1200.0,391.95,1.5,53581.0,70252.0,1676.49,1481.24,4.19,4375.0,518434.0,522809.0,567822.0
2026-02-15,838.63,1526.3,1.05,442405.0,541760.0,1656.28,1551.58,4.14,154601.0,543053.0,697654.0,718091.0
2026-02-16,1033.63,940.6,1.29,231480.0,282953.0,1651.99,1503.31,4.13,136309.0,526158.0,662468.0,679246.0
2026-02-17,1092.68,994.34,1.37,2596.0,50689.0,1647.17,1498.93,4.12,-79896.0,524626.0,444730.0,532838.0
2026-02-18,1200.0,1073.69,1.5,26734.0,27996.0,1671.81,1521.35,4.18,8143.0,532472.0,540616.0,537462.0
2026-02-19,1200.0,347.16,1.5,43415.0,6306.0,1755.0,1591.69,4.39,8564.0,557092.0,565656.0,531442.0
2026-02-20,1200.0,1114.8,1.5,4911.0,6052.0,1752.71,1600.33,4.38,8271.0,560116.0,568386.0,570930.0
2026-02-21,1058.68,1184.35,1.32,75502.0,211808.0,1755.0,1587.3,4.39,83611.0,555555.0,639166.0,601138.0
2026-02-22,838.63,1282.55,1.05,148876.0,215555.0,1563.45,1432.49,3.91,70939.0,501372.0,572310.0,648758.0
2026-02-23,1052.91,958.15,1.32,269860.0,347143.0,1686.81,1535.0,4.22,196744.0,537250.0,733994.0,754302.0
2026-02-24,1200.0,328.85,1.5,46732.0,74406.0,1940.44,1384.23,4.85,14397.0,484480.0,498878.0,566146.0
2026-02-25,838.63,1396.9,1.05,223825.0,271393.0,1554.88,1796.51,3.89,141571.0,628778.0,770350.0,725852.0
2026-02-26,975.0,1016.65,1.22,-31198.0,97133.0,1583.04,1440.56,3.96,-88983.0,504196.0,415213.0,658968.0
2026-02-27,1200.0,1072.5,1.5,-54379.0,373115.0,1666.84,1516.83,4.17,145656.0,530890.0,676546.0,843056.0
2026-02-28,1200.0,1111.5,1.5,73521.0,441572.0,1657.58,1508.4,4.14,-47585.0,527940.0,480355.0,778886.0
2026-03-01,1200.0,1092.0,1.5,-326935.0,4452.0,1521.13,1384.23,3.8,-177600.0,484480.0,306880.0,480106.0
2026-03-02,1200.0,328.85,1.5,30475.0,266681.0,1852.5,1330.87,4.63,50776.0,465804.0,516580.0,699074.0
2026-03-03,910.0,1591.25,1.14,464484.0,401710.0,1559.31,1773.88,3.9,199421.0,620858.0,820279.0,766420.0
2026-03-04,1179.88,1073.69,1.47,-6238.0,162989.0,1647.94,1499.63,4.12,-6565.0,524870.0,518306.0,628212.0
2026-03-05,945.77,860.65,1.18,271365.0,322652.0,1667.38,1517.31,4.17,118758.0,531058.0,649816.0,620975.0
2026-03-06,1033.63,940.6,1.29,-14707.0,207024.0,1735.56,1579.36,4.34,101722.0,552776.0,654498.0,730972.0
2026-03-07,936.13,673.73,1.17,132545.0,222874.0,1686.51,1534.73,4.22,46229.0,537156.0,583384.0,641292.0
2026-03-08,964.29,1055.65,1.21,313733.0,287107.0,1554.88,1414.94,3.89,90330.0,495229.0,585559.0,659196.0
2026-03-09,1200.0,328.85,1.5,41552.0,99276.0,1618.63,1459.3,4.05,-6227.0,510755.0,504528.0,565149.0
2026-03-10,874.34,1558.8,1.09,478479.0,525818.0,1521.13,1397.88,3.8,168235.0,489258.0,657493.0,748920.0
2026-03-11,854.88,777.94,1.07,-208769.0,245126.0,1598.81,1454.91,4.0,-193640.0,509218.0,315578.0,688394.0
2026-03-12,1200.0,328.85,1.5,49241.0,124850.0,1769.16,1543.15,4.42,-316.0,540102.0,539786.0,654920.0
2026-03-13,993.75,1489.31,1.24,186543.0,489545.0,1686.81,1601.79,4.22,-25406.0,560626.0,535220.0,741918.0
2026-03-14,945.77,1038.8,1.18,58161.0,-142890.0,1476.81,1343.9,3.69,-88155.0,470365.0,382210.0,572830.0
2026-03-15,1179.88,1073.69,1.47,-650.0,456638.0,1593.6,1450.18,3.98,77706.0,507563.0,585269.0,742584.0
2026-03-16,1200.0,328.85,1.5,73246.0,164508.0,1671.81,1503.31,4.18,7243.0,526158.0,533402.0,591740.0
2026-03-17,1200.0,1092.0,1.5,351473.0,567396.0,1710.62,1534.38,4.28,114888.0,537033.0,651921.0,805672.0
2026-03-18,1200.0,1770.05,1.5,404675.0,309720.0,1603.63,1499.63,4.01,39327.0,524870.0,564198.0,567684.0
2026-03-19,1200.0,1177.1,1.5,401916.0,449492.0,1343.6,1222.68,3.36,181531.0,427938.0,609469.0,749876.0
2026-03-20,854.88,777.94,1.07,127588.0,206542.0,1559.46,1419.11,3.9,1922.0,496688.0,498610.0,557478.0
2026-03-21,1200.0,328.85,1.5,27740.0,104658.0,1872.26,1322.18,4.68,-47967.0,462763.0,414796.0,555883.0
2026-03-22,945.77,1623.8,1.18,467386.0,433793.0,1588.63,1827.23,3.97,259489.0,639530.0,899020.0,768538.0
2026-03-23,968.63,881.45,1.21,56402.0,131183.0,1535.36,1397.18,3.84,42219.0,489013.0,531232.0,598897.0
2026-03-24,1183.09,459.71,1.48,87409.0,331329.0,1632.94,1485.98,4.08,75891.0,520093.0,595984.0,619118.0
2026-03-25,952.14,1483.35,1.19,587191.0,416483.0,1466.64,1334.64,3.67,2214.0,467124.0,469338.0,674414.0
