date,charge_start,charge_end,discharge_start,discharge_end,cross_midnight,charge_actual_mean,discharge_actual_mean,spread_actual,charge_pred_mean,discharge_pred_mean,revenue_pred_yuan,revenue_actual_yuan,revenue_pf_yuan
2026-03-09,13,16,0,3,1,-50.0,236.89,286.89,-48.13,100.89,119218.0,229511.0,223831.0
2026-03-10,12,15,20,23,0,-50.0,304.7,354.7,-16.64,425.62,353810.0,283758.0,370200.0
2026-03-11,13,16,0,3,1,315.13,-50.06,-365.2,-33.96,57.12,72862.0,-292158.0,-72502.0
2026-03-12,10,13,23,2,0,-50.0,223.17,273.17,-39.58,34.1,58946.0,218539.0,136826.0
2026-03-13,0,3,20,23,0,261.97,489.38,227.4,27.33,477.56,360182.0,181923.0,414672.0
2026-03-14,12,15,0,3,1,266.25,286.25,20.0,-26.11,348.62,299780.0,16000.0,101891.0
2026-03-15,12,15,17,20,0,328.04,331.85,3.81,145.26,363.17,174329.0,3044.0,164955.0
2026-03-16,10,13,0,3,1,-50.0,118.79,168.79,-34.51,152.89,149927.0,135035.0,135171.0
2026-03-17,15,18,5,8,1,21.06,79.73,58.67,-4.54,218.44,178386.0,46935.0,45195.0
2026-03-18,13,16,18,21,0,-40.25,212.61,252.86,-33.45,364.79,318595.0,202286.0,263638.0
2026-03-19,12,15,18,21,0,-50.0,415.81,465.81,-26.25,470.6,397475.0,372652.0,415500.0
2026-03-20,12,15,0,3,1,-50.0,39.24,89.24,-43.49,5.06,38837.0,71395.0,71395.0
2026-03-21,9,12,19,22,0,-50.0,-3.47,46.53,-60.76,27.18,70348.0,37227.0,187750.0
2026-03-22,11,14,17,20,0,212.5,556.81,344.31,-39.73,550.46,472151.0,275450.0,356450.0
2026-03-23,13,16,0,3,1,-50.0,197.98,247.98,-48.45,193.29,193397.0,198387.0,198387.0
2026-03-24,12,15,22,1,0,-50.0,386.25,436.25,-47.45,220.64,214474.0,349000.0,316750.0
2026-03-25,12,15,20,23,0,-50.0,453.75,503.75,4.1,507.77,402933.0,403000.0,475500.0
2026-03-26,11,14,22,1,0,95.03,592.87,497.84,13.62,474.53,368732.0,398268.0,441349.0
2026-03-27,8,11,1,4,1,275.62,381.25,105.62,321.77,361.25,31587.0,84500.0,297500.0
2026-03-28,15,18,9,12,1,289.27,284.44,-4.83,242.6,43.23,-159492.0,-3865.0,44937.0
2026-03-29,11,14,20,23,0,285.98,271.37,-14.61,21.87,333.37,249199.0,-11684.0,141323.0
2026-03-30,10,13,2,5,1,384.88,98.97,-285.9,79.83,117.66,30267.0,-228720.0,-197820.0
2026-03-31,7,10,20,23,0,-48.32,292.24,340.56,-8.13,385.39,314816.0,272448.0,310008.0
2026-04-01,13,16,1,4,1,40.51,260.69,220.18,8.31,323.55,252186.0,176142.0,176142.0
2026-04-02,13,16,0,3,1,-50.26,-50.24,0.02,-30.11,3.48,26874.0,18.0,18.0
2026-04-03,11,14,19,22,0,-50.0,453.81,503.81,-28.6,465.64,395391.0,403050.0,404189.0
2026-04-04,11,14,23,2,0,-50.0,60.7,110.7,-63.73,161.76,180390.0,88558.0,144578.0
2026-04-05,13,16,20,23,0,-50.0,273.88,323.88,-41.62,264.34,244772.0,259100.0,259100.0
2026-04-06,12,15,19,22,0,-50.0,251.33,301.33,-50.23,401.66,361505.0,241061.0,472200.0
2026-04-07,12,15,0,3,1,-12.5,-51.91,-39.41,-33.84,9.74,34863.0,-31531.0,-27842.0
2026-04-08,7,10,17,20,0,-49.65,157.35,207.01,-8.1,271.74,223871.0,165606.0,189260.0
2026-04-09,12,15,2,5,1,150.25,220.42,70.17,-18.26,96.47,91783.0,56134.0,270122.0
2026-04-10,9,12,20,23,0,-50.0,767.12,817.12,-25.45,282.49,246354.0,653699.0,653699.0
2026-04-11,13,16,0,3,1,-50.0,139.46,189.46,-35.23,93.22,102757.0,151564.0,151564.0
2026-04-12,10,13,17,20,0,40.88,202.0,161.12,-12.47,632.58,516037.0,128896.0,191250.0
2026-04-13,7,10,20,23,0,11.07,281.25,270.18,18.07,247.69,183695.0,216143.0,224157.0
2026-04-14,11,14,0,3,1,-50.0,188.13,238.13,-34.16,216.92,200865.0,190502.0,131636.0
2026-04-15,14,17,0,3,1,-51.58,413.0,464.58,-25.98,320.72,277360.0,371665.0,320193.0
2026-04-16,13,16,3,6,1,-27.5,-12.3,15.2,15.69,150.89,108154.0,12159.0,105367.0
2026-04-17,13,16,18,21,0,-49.79,87.23,137.02,99.88,337.47,190066.0,109616.0,5823.0
2026-04-18,18,21,9,12,1,0.34,-13.77,-14.12,96.35,44.36,-41593.0,-11293.0,214955.0
2026-04-19,13,16,19,22,0,-47.81,221.75,269.56,16.19,212.81,157298.0,215652.0,215652.0
