date,charge_start,charge_end,discharge_start,discharge_end,charge_actual_mean,discharge_actual_mean,spread_actual,charge_pred_mean,discharge_pred_mean,revenue_pred_yuan,revenue_actual_yuan,maint_cost_yuan,net_revenue_yuan,revenue_pf_yuan,net_pf_yuan
2026-03-09,13,16,17,20,-50.0,31.93,81.93,-48.13,65.93,91251.0,65541.0,7768.0,57773.0,75700.0,67932.0
2026-03-10,12,15,20,23,-50.0,304.7,354.7,-16.64,425.62,353810.0,283758.0,14394.0,269364.0,283758.0,269364.0
2026-03-11,13,16,18,21,315.13,102.75,-212.38,-33.96,88.39,97878.0,-169908.0,32561.0,-202468.0,154253.0,121692.0
2026-03-12,10,13,20,23,-50.0,109.63,159.63,-39.58,47.19,69414.0,127708.0,-1155.0,128863.0,136826.0,137981.0
2026-03-13,0,3,20,23,261.97,489.38,227.4,27.33,477.56,360182.0,181923.0,20239.0,161684.0,414672.0,394433.0
2026-03-14,12,15,17,20,266.25,324.88,58.62,-26.11,578.49,483680.0,46900.0,35894.0,11006.0,78791.0,42898.0
2026-03-15,12,15,17,20,328.04,331.85,3.81,145.26,363.17,174329.0,3044.0,30968.0,-27924.0,164955.0,133987.0
2026-03-16,10,13,20,23,-50.0,-37.25,12.75,-34.51,71.46,84782.0,10200.0,3994.0,6206.0,79986.0,75991.0
2026-03-17,0,3,5,8,118.79,448.86,330.07,152.89,243.41,72410.0,264052.0,18830.0,245222.0,264552.0,245722.0
2026-03-18,13,16,18,21,-40.25,212.61,252.86,-33.45,364.79,318595.0,202286.0,11528.0,190758.0,219875.0,208347.0
2026-03-19,12,15,18,21,-50.0,415.81,465.81,-26.25,470.6,397475.0,372652.0,17310.0,355342.0,415500.0,398190.0
2026-03-20,12,15,18,21,-50.0,146.5,196.5,-43.49,199.51,194395.0,157200.0,11750.0,145450.0,157400.0,145650.0
2026-03-21,9,12,19,22,-50.0,-3.47,46.53,-60.76,27.18,70348.0,37227.0,-1291.0,38519.0,65876.0,67167.0
2026-03-22,11,14,17,20,212.5,556.81,344.31,-39.73,550.46,472151.0,275450.0,30973.0,244477.0,356450.0,325477.0
2026-03-23,13,16,20,23,-50.0,69.07,119.07,-48.45,130.51,143174.0,95253.0,7122.0,88131.0,95253.0,88131.0
2026-03-24,12,15,20,23,-50.0,274.38,324.38,-47.45,147.05,155602.0,259500.0,6019.0,253481.0,259750.0,253731.0
2026-03-25,12,15,20,23,-50.0,453.75,503.75,4.1,507.77,402933.0,403000.0,18197.0,384803.0,403000.0,384803.0
2026-03-26,11,14,20,23,95.03,526.22,431.19,13.62,420.99,325898.0,344949.0,37366.0,307583.0,344949.0,307583.0
2026-03-27,8,11,15,18,275.62,321.05,45.43,321.77,412.79,72815.0,36340.0,43238.0,-6898.0,317500.0,274262.0
2026-03-28,15,18,20,23,289.27,202.92,-86.35,242.6,319.21,61291.0,-69081.0,31081.0,-100162.0,93314.0,62233.0
2026-03-29,11,14,20,23,285.98,271.37,-14.61,21.87,333.37,249199.0,-11684.0,27614.0,-39298.0,141323.0,113708.0
2026-03-30,10,13,18,21,384.88,296.25,-88.62,79.83,228.12,118633.0,-70900.0,37813.0,-108713.0,144927.0,107114.0
2026-03-31,7,10,20,23,-48.32,292.24,340.56,-8.13,385.39,314816.0,272448.0,8713.0,263735.0,273799.0,265086.0
2026-04-01,13,16,19,22,40.51,399.46,358.95,8.31,145.44,109698.0,287163.0,29903.0,257260.0,287163.0,257260.0
2026-04-02,13,16,17,20,-50.26,80.83,131.09,-30.11,42.91,58419.0,104870.0,3929.0,100940.0,104870.0,100940.0
2026-04-03,11,14,19,22,-50.0,453.81,503.81,-28.6,465.64,395391.0,403050.0,7370.0,395680.0,404189.0,396819.0
2026-04-04,11,14,19,22,-50.0,114.0,164.0,-63.73,154.78,174810.0,131200.0,1177.0,130023.0,144578.0,143401.0
2026-04-05,13,16,20,23,-50.0,273.88,323.88,-41.62,264.34,244772.0,259100.0,6834.0,252266.0,259100.0,252266.0
2026-04-06,12,15,19,22,-50.0,251.33,301.33,-50.23,401.66,361505.0,241061.0,13830.0,227231.0,291261.0,277431.0
2026-04-07,12,15,19,22,-12.5,-2.52,9.98,-33.84,27.77,49283.0,7985.0,17300.0,-9315.0,72350.0,55050.0
2026-04-08,7,10,17,20,-49.65,157.35,207.01,-8.1,271.74,223871.0,165606.0,3768.0,161838.0,189260.0,185492.0
2026-04-09,12,15,20,23,150.25,303.28,153.03,-18.26,155.67,139146.0,122422.0,14557.0,107864.0,270122.0,255564.0
2026-04-10,9,12,20,23,-50.0,767.12,817.12,-25.45,282.49,246354.0,653699.0,17760.0,635939.0,653699.0,635939.0
2026-04-11,13,16,19,22,-50.0,73.91,123.91,-35.23,30.31,52428.0,99125.0,12066.0,87059.0,150968.0,138902.0
2026-04-12,10,13,17,20,40.88,202.0,161.12,-12.47,632.58,516037.0,128896.0,10517.0,118379.0,191250.0,180733.0
2026-04-13,7,10,20,23,11.07,281.25,270.18,18.07,247.69,183695.0,216143.0,17186.0,198957.0,224157.0,206971.0
2026-04-14,11,14,18,21,-50.0,249.1,299.1,-34.16,188.0,177730.0,239279.0,26003.0,213276.0,246340.0,220336.0
2026-04-15,14,17,20,23,-51.58,100.17,151.75,-25.98,63.64,71702.0,121401.0,2514.0,118888.0,121401.0,118888.0
2026-04-16,13,16,18,21,-27.5,-34.98,-7.48,15.69,115.41,79776.0,-5986.0,15522.0,-21507.0,35042.0,19520.0
2026-04-17,13,16,18,21,-49.79,87.23,137.02,99.88,337.47,190066.0,109616.0,3343.0,106273.0,169346.0,166003.0
2026-04-18,5,8,9,12,-49.83,-50.0,-0.17,96.37,241.62,116194.0,-133.0,-3454.0,3321.0,50494.0,53948.0
2026-04-19,13,16,19,22,-47.81,221.75,269.56,16.19,212.81,157298.0,215652.0,4266.0,211386.0,215652.0,211386.0
