date,pred_native_15m,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end,gross,aux_cost,net,pf_gross,pf_aux_cost,pf_net
2026-01-27,False,01:00–16:30,03:00–21:30,1177.91,1071.9,-0.0,170537.0,6146.0,164390.0,481164.0,6146.0,475018.0
2026-01-28,False,01:30–16:30,05:30–23:15,1200.0,1092.0,-0.0,273298.0,9777.0,263521.0,608656.0,9777.0,598879.0
2026-01-29,False,01:45–23:00,06:00–24:00,1200.0,1092.0,0.0,-86635.0,9796.0,-96432.0,676336.0,9796.0,666540.0
2026-01-30,False,01:00–16:30,02:15–24:00,1200.0,1092.0,0.0,105942.0,5429.0,100513.0,62496.0,5429.0,57067.0
2026-01-31,False,01:45–24:00,03:45–22:00,1200.0,940.6,158.7,216011.0,2370.0,213641.0,499116.0,2370.0,496746.0
2026-02-01,False,02:45–16:30,00:30–24:00,1200.0,1243.4,0.0,370284.0,2214.0,368070.0,405033.0,2214.0,402819.0
2026-02-02,False,00:15–24:00,04:00–21:45,1200.0,781.46,325.5,104576.0,2432.0,102144.0,230911.0,2432.0,228478.0
2026-02-03,False,07:30–24:00,00:45–22:15,1200.0,639.39,800.0,115091.0,883.0,114208.0,301758.0,883.0,300875.0
2026-02-04,False,02:45–21:30,00:00–24:00,1200.0,1238.25,646.7,109210.0,332.0,108879.0,163669.0,332.0,163337.0
2026-02-05,False,04:30–16:15,00:00–24:00,1106.49,1623.8,0.0,629564.0,4539.0,625025.0,652534.0,4539.0,647996.0
2026-02-06,False,01:00–24:00,06:45–21:00,1200.0,860.44,242.7,-83163.0,3964.0,-87127.0,128544.0,3964.0,124580.0
2026-02-07,False,04:00–16:00,00:30–23:00,1200.0,1323.56,0.0,237269.0,1088.0,236181.0,377130.0,1088.0,376042.0
2026-02-08,False,11:45–24:00,17:15–19:30,1200.0,328.85,800.0,59487.0,927.0,58560.0,134503.0,927.0,133576.0
2026-02-09,False,09:45–24:00,05:45–19:45,1200.0,1092.0,800.0,85069.0,-112.0,85181.0,185833.0,-112.0,185945.0
2026-02-10,False,02:30–24:00,00:45–21:30,1200.0,1677.7,186.0,404819.0,2324.0,402495.0,552391.0,2324.0,550067.0
2026-02-11,False,04:30–22:30,00:00–19:30,1200.0,616.2,684.8,75148.0,309.0,74839.0,239177.0,309.0,238868.0
2026-02-12,False,11:00–24:00,00:00–21:30,1200.0,1416.4,344.7,268437.0,1399.0,267039.0,276805.0,1399.0,275406.0
2026-02-13,False,04:00–24:00,00:00–21:00,1200.0,657.7,800.0,77732.0,141.0,77591.0,193954.0,141.0,193813.0
2026-02-14,False,02:00–23:00,00:45–21:45,1200.0,1092.0,800.0,10772.0,-550.0,11322.0,69701.0,-550.0,70252.0
2026-02-15,False,10:00–15:00,01:45–24:00,838.63,1526.3,0.0,477247.0,2070.0,475177.0,541268.0,2070.0,539198.0
2026-02-16,False,02:00–16:15,04:15–21:15,1131.13,1029.33,0.0,229444.0,2544.0,226900.0,285497.0,2544.0,282953.0
2026-02-17,False,11:45–23:00,18:00–20:15,1200.0,328.85,800.0,43558.0,-117.0,43674.0,50572.0,-117.0,50689.0
2026-02-18,False,09:00–24:00,00:00–20:00,1200.0,1092.0,800.0,27286.0,-591.0,27877.0,27406.0,-591.0,27996.0
2026-02-19,False,11:00–24:00,00:45–20:00,1200.0,1092.0,800.0,5177.0,-652.0,5829.0,5653.0,-652.0,6306.0
2026-02-20,False,03:45–24:00,00:00–21:00,1200.0,1092.0,800.0,5400.0,-652.0,6051.0,5400.0,-652.0,6051.0
2026-02-21,False,03:45–22:00,00:00–24:00,1124.52,1218.31,595.6,53110.0,278.0,52833.0,212070.0,278.0,211792.0
2026-02-22,False,01:45–16:00,01:00–23:30,1100.24,1569.37,0.0,130470.0,197.0,130273.0,216253.0,197.0,216056.0
2026-02-23,False,01:00–15:45,02:15–23:00,1033.45,940.44,0.0,237271.0,1391.0,235880.0,348534.0,1391.0,347143.0
2026-02-24,False,12:15–24:00,17:45–20:00,1200.0,328.85,800.0,62207.0,374.0,61833.0,74780.0,374.0,74406.0
2026-02-25,False,01:15–15:15,00:00–24:00,708.04,1407.46,0.0,247965.0,860.0,247105.0,272253.0,860.0,271393.0
2026-02-26,False,04:30–22:45,06:00–24:00,964.29,877.5,0.0,-109159.0,3087.0,-112246.0,100220.0,3087.0,97133.0
2026-02-27,False,05:30–24:00,07:00–20:30,1200.0,780.0,327.1,-174530.0,2965.0,-177495.0,378128.0,2965.0,375163.0
2026-02-28,False,03:30–14:30,00:00–24:00,1200.0,1404.0,0.0,127357.0,2835.0,124523.0,443160.0,2835.0,440326.0
2026-03-01,False,04:45–24:00,06:45–18:00,1200.0,515.29,604.6,-148187.0,5358.0,-153545.0,27026.0,5358.0,21669.0
2026-03-02,False,07:00–23:00,00:00–20:00,1200.0,905.56,800.0,108575.0,260.0,108315.0,265755.0,260.0,265495.0
2026-03-03,False,01:30–16:15,01:00–22:15,944.11,1622.29,0.0,440639.0,1906.0,438733.0,403617.0,1906.0,401710.0
2026-03-04,False,00:00–17:30,03:00–22:15,1200.0,1092.0,-0.0,-58388.0,4269.0,-62658.0,169215.0,4269.0,164946.0
2026-03-05,False,00:00–17:15,05:45–24:00,1200.0,572.6,544.5,42919.0,1457.0,41463.0,324478.0,1457.0,323021.0
2026-03-06,False,00:00–16:15,01:45–22:00,1082.38,1504.37,0.0,183945.0,4789.0,179156.0,211836.0,4789.0,207048.0
2026-03-07,False,05:00–17:15,07:45–14:30,1200.0,328.85,800.0,6183.0,821.0,5362.0,227119.0,821.0,226298.0
2026-03-08,False,04:00–16:00,00:45–24:00,888.99,1572.13,0.0,480866.0,2365.0,478502.0,289472.0,2365.0,287107.0
2026-03-09,False,10:00–24:00,18:00–20:15,1200.0,328.85,800.0,51827.0,1054.0,50772.0,102471.0,1054.0,101417.0
2026-03-10,False,01:30–22:00,01:00–24:00,1021.25,1692.49,0.0,413372.0,1954.0,411418.0,525050.0,1954.0,523096.0
2026-03-11,False,00:00–24:00,01:30–20:00,1200.0,328.85,800.0,-282053.0,4419.0,-286473.0,253617.0,4419.0,249197.0
2026-03-12,False,05:30–21:30,00:00–19:15,1200.0,1092.0,800.0,-24232.0,-157.0,-24075.0,125448.0,-157.0,125605.0
2026-03-13,False,01:15–14:15,00:00–24:00,534.46,1071.36,186.8,372482.0,2747.0,369735.0,493332.0,2747.0,490585.0
2026-03-14,False,00:00–16:30,01:15–23:15,1056.31,1139.39,0.0,77995.0,4872.0,73123.0,-138018.0,4872.0,-142890.0
2026-03-15,False,00:15–23:00,02:30–24:00,1200.0,1092.0,0.0,-39611.0,4203.0,-43814.0,460841.0,4203.0,456638.0
2026-03-16,False,11:00–24:00,17:45–20:00,1200.0,328.85,800.0,93669.0,542.0,93127.0,165050.0,542.0,164508.0
2026-03-17,False,01:45–21:00,00:00–24:00,1200.0,1238.25,646.7,263602.0,2556.0,261047.0,569951.0,2556.0,567396.0
2026-03-18,False,00:00–16:30,01:15–22:15,1002.74,1529.39,0.0,358049.0,1565.0,356485.0,311284.0,1565.0,309720.0
2026-03-19,False,00:30–16:15,03:15–23:00,1200.0,1092.0,-0.0,316945.0,2350.0,314595.0,451842.0,2350.0,449492.0
2026-03-20,False,11:30–24:00,18:15–20:30,1200.0,328.85,800.0,50308.0,1595.0,48713.0,208137.0,1595.0,206542.0
2026-03-21,False,07:45–21:30,00:00–19:30,1200.0,1092.0,800.0,75143.0,-175.0,75318.0,104482.0,-175.0,104658.0
2026-03-22,False,02:00–22:45,01:00–24:00,1056.31,1724.39,0.0,440520.0,4204.0,436316.0,437997.0,4204.0,433793.0
2026-03-23,False,00:00–24:00,01:15–21:00,1200.0,328.85,800.0,5577.0,967.0,4611.0,132240.0,967.0,131273.0
2026-03-24,False,07:00–18:00,00:00–24:00,953.99,1631.28,0.0,386814.0,817.0,385997.0,332146.0,817.0,331329.0
2026-03-25,False,06:00–22:15,06:45–24:00,1194.82,1087.29,0.0,322882.0,2470.0,320412.0,419262.0,2470.0,416792.0
2026-03-26,False,09:00–21:00,09:45–24:00,1051.49,339.95,646.7,4047.0,5072.0,-1024.0,466409.0,5072.0,461338.0
2026-03-27,False,02:30–21:15,00:00–23:30,968.63,1498.35,-0.0,436246.0,5869.0,430377.0,345203.0,5869.0,339334.0
2026-03-28,False,04:00–24:00,08:30–15:45,1200.0,328.85,800.0,-203396.0,4219.0,-207615.0,50821.0,4219.0,46602.0
2026-03-29,False,02:15–23:00,01:00–19:30,1200.0,1092.0,800.0,-460.0,3748.0,-4208.0,230716.0,3748.0,226968.0
2026-03-30,False,11:15–24:00,01:45–22:30,984.88,1526.3,139.5,278379.0,5132.0,273246.0,282363.0,5132.0,277231.0
2026-03-31,False,00:00–16:00,01:15–24:00,1200.0,1225.09,0.0,294901.0,1183.0,293718.0,304199.0,1183.0,303016.0
2026-04-01,False,12:15–24:00,18:45–21:15,1200.0,390.0,735.9,11290.0,4059.0,7231.0,317224.0,4059.0,313165.0
2026-04-02,False,00:30–24:00,01:30–19:45,1200.0,1030.85,800.0,158781.0,533.0,158248.0,143156.0,533.0,142623.0
2026-04-03,False,07:00–17:00,01:45–24:00,1200.0,1855.15,0.0,331873.0,1000.0,330872.0,389270.0,1000.0,388270.0
2026-04-04,False,06:45–23:00,10:30–21:00,1200.0,328.85,800.0,53137.0,160.0,52977.0,184264.0,160.0,184104.0
2026-04-05,False,01:30–18:00,00:00–24:00,1066.13,1733.33,0.0,347716.0,928.0,346789.0,367383.0,928.0,366455.0
2026-04-06,False,06:00–18:00,07:15–24:00,960.41,873.98,0.0,296454.0,1877.0,294577.0,327511.0,1877.0,325634.0
2026-04-07,False,11:45–24:00,18:00–20:15,1200.0,328.85,800.0,47721.0,2348.0,45373.0,224778.0,2348.0,222430.0
2026-04-08,False,01:45–16:00,00:00–23:00,894.82,1577.44,0.0,88390.0,511.0,87879.0,193651.0,511.0,193140.0
2026-04-09,False,11:15–24:00,18:30–20:45,1200.0,328.85,800.0,-137020.0,1976.0,-138996.0,362660.0,1976.0,360684.0
2026-04-10,False,05:00–17:00,00:00–23:15,890.59,1573.59,0.0,607388.0,2411.0,604977.0,658756.0,2411.0,656345.0
2026-04-11,False,08:00–24:00,09:30–22:45,1200.0,328.85,800.0,4131.0,1638.0,2493.0,164456.0,1638.0,162819.0
2026-04-12,False,07:00–14:30,01:00–22:00,856.49,1542.55,0.0,149663.0,1428.0,148236.0,365209.0,1428.0,363781.0
2026-04-13,False,04:30–16:15,08:45–24:00,1200.0,1092.0,0.0,-13535.0,2333.0,-15867.0,257982.0,2333.0,255649.0
2026-04-14,False,09:00–18:00,09:45–24:00,874.34,795.65,0.0,226034.0,3529.0,222504.0,319453.0,3529.0,315924.0
2026-04-15,False,05:00–23:15,06:15–21:45,1200.0,328.85,800.0,23447.0,341.0,23106.0,189972.0,341.0,189631.0
2026-04-16,False,11:45–24:00,03:00–20:15,1200.0,1092.0,800.0,267507.0,2107.0,265400.0,252926.0,2107.0,250819.0
2026-04-17,False,04:45–16:15,00:00–21:30,1200.0,1855.15,0.0,247709.0,454.0,247255.0,345871.0,454.0,345417.0
