date,pred_native_15m,charge_window,discharge_window,charge_mwh,discharge_mwh,soc_end,gross,aux_cost,net,pf_gross,pf_aux_cost,pf_net
2026-01-27,False,01:00–16:15,05:45–22:00,1200.0,1092.0,0.0,219849.0,6146.0,213703.0,481164.0,6146.0,475018.0
2026-01-28,False,00:30–16:15,05:00–24:00,1200.0,1092.0,0.0,437167.0,9777.0,427391.0,608656.0,9777.0,598879.0
2026-01-29,False,03:00–22:45,06:00–24:00,941.79,857.02,0.0,-95142.0,9796.0,-104939.0,676336.0,9796.0,666540.0
2026-01-30,False,04:15–19:00,06:45–24:00,1071.43,975.0,0.0,142245.0,5429.0,136816.0,62496.0,5429.0,57067.0
2026-01-31,False,02:00–16:30,03:15–21:15,936.13,851.88,0.0,256709.0,2370.0,254339.0,499116.0,2370.0,496746.0
2026-02-01,False,04:45–17:00,07:15–24:00,1200.0,1092.0,0.0,307650.0,2214.0,305436.0,405033.0,2214.0,402819.0
2026-02-02,False,00:00–15:30,03:45–22:15,1200.0,1092.0,-0.0,67950.0,2432.0,65518.0,230911.0,2432.0,228478.0
2026-02-03,False,06:00–18:30,09:15–24:00,1200.0,913.85,186.8,79362.0,883.0,78479.0,301758.0,883.0,300875.0
2026-02-04,False,02:30–17:15,00:00–10:30,1200.0,507.0,800.0,25368.0,332.0,25036.0,163669.0,332.0,163337.0
2026-02-05,False,05:00–16:15,00:30–24:00,1033.63,1703.75,0.0,659260.0,4539.0,654721.0,652534.0,4539.0,647996.0
2026-02-06,False,01:00–16:30,03:00–22:00,1082.38,984.96,0.0,-85896.0,3964.0,-89860.0,128544.0,3964.0,124580.0
2026-02-07,False,00:00–15:00,01:15–22:15,1200.0,1092.0,-0.0,206548.0,1088.0,205460.0,377130.0,1088.0,376042.0
2026-02-08,False,06:15–24:00,09:15–20:15,1200.0,495.62,625.2,40820.0,927.0,39893.0,134503.0,927.0,133576.0
2026-02-09,False,04:00–24:00,00:00–22:15,1200.0,1434.66,266.0,78362.0,-112.0,78474.0,185833.0,-112.0,185945.0
2026-02-10,False,00:00–16:00,02:00–21:15,1200.0,1345.71,-0.0,284349.0,2324.0,282025.0,552391.0,2324.0,550067.0
2026-02-11,False,04:00–23:00,06:15–24:00,1200.0,1092.0,0.0,84160.0,309.0,83851.0,239177.0,309.0,238868.0
2026-02-12,False,00:00–16:15,01:15–21:30,1200.0,1092.0,-0.0,140808.0,1399.0,139410.0,276805.0,1399.0,275406.0
2026-02-13,False,03:30–15:30,06:15–22:45,1200.0,1092.0,-0.0,53720.0,141.0,53579.0,193954.0,141.0,193813.0
2026-02-14,False,00:00–23:00,05:45–21:45,1200.0,328.85,800.0,50771.0,-550.0,51321.0,69701.0,-550.0,70252.0
2026-02-15,False,09:00–16:00,03:30–24:00,856.49,1542.55,0.0,478172.0,2070.0,476102.0,541268.0,2070.0,539198.0
2026-02-16,False,01:45–16:15,04:15–21:30,1179.88,1073.69,0.0,227289.0,2544.0,224746.0,285497.0,2544.0,282953.0
2026-02-17,False,05:00–17:30,06:15–24:00,1007.56,836.22,84.5,7754.0,-117.0,7871.0,50572.0,-117.0,50689.0
2026-02-18,False,01:00–24:00,05:00–12:00,1200.0,409.5,800.0,61462.0,-591.0,62053.0,27406.0,-591.0,27996.0
2026-02-19,False,10:45–24:00,00:30–21:00,1200.0,1250.65,633.7,-2786.0,-652.0,-2134.0,5653.0,-652.0,6306.0
2026-02-20,False,03:30–16:00,00:00–11:15,1200.0,933.35,800.0,13333.0,-652.0,13984.0,5400.0,-652.0,6051.0
2026-02-21,False,02:00–17:00,00:00–24:00,1035.24,1185.81,544.5,74534.0,278.0,74256.0,212070.0,278.0,211792.0
2026-02-22,False,01:45–15:30,00:00–22:15,1131.13,1548.73,0.0,134391.0,197.0,134194.0,216253.0,197.0,216056.0
2026-02-23,False,06:00–16:15,07:15–23:00,1049.88,955.39,0.0,228799.0,1391.0,227408.0,348534.0,1391.0,347143.0
2026-02-24,False,06:30–24:00,08:30–19:15,1200.0,328.85,800.0,51546.0,374.0,51172.0,74780.0,374.0,74406.0
2026-02-25,False,01:45–15:15,00:00–24:00,578.21,1289.33,0.0,244963.0,860.0,244102.0,272253.0,860.0,271393.0
2026-02-26,False,03:30–16:45,05:45–22:15,1106.49,1006.9,-0.0,-110175.0,3087.0,-113262.0,100220.0,3087.0,97133.0
2026-02-27,False,02:15–24:00,06:45–22:45,1200.0,854.75,248.7,-173810.0,2965.0,-176775.0,378128.0,2965.0,375163.0
